Date,Forecast
2023-05-03,0.70611006
2023-05-04,0.7030895
2023-05-05,0.6913891
2023-05-06,0.70730054
2023-05-07,0.7033545
2023-05-08,0.7076723
2023-05-09,0.7064574
2023-05-10,0.7012877
2023-05-11,0.71299356
2023-05-12,0.7019756
2023-05-13,0.7510138
2023-05-14,0.7087219
2023-05-15,0.71224344
2023-05-16,0.7190449
2023-05-17,0.71217567
2023-05-18,0.71622527
2023-05-19,0.7178968
2023-05-20,0.72345316
2023-05-21,0.7228695
2023-05-22,0.7240834
2023-05-23,0.70889914
2023-05-24,0.70314324
2023-05-25,0.6939595
2023-05-26,0.7123789
2023-05-27,0.682976
2023-05-28,0.7065142
2023-05-29,0.69970816
2023-05-30,0.6999503
2023-05-31,0.70680755
2023-06-01,0.710738
2023-06-02,0.67138433
2023-06-03,0.6791803
2023-06-04,0.66497636
2023-06-05,0.68084
2023-06-06,0.6765959
2023-06-07,0.6720256
2023-06-08,0.6686489
2023-06-09,0.6660602
2023-06-10,0.6678649
2023-06-11,0.6477974
2023-06-12,0.6872311
2023-06-13,0.6492733
2023-06-14,0.68088484
2023-06-15,0.663744
2023-06-16,0.66796905
2023-06-17,0.66627157
2023-06-18,0.6707158
2023-06-19,0.6791463
2023-06-20,0.6703694
2023-06-21,0.6674521
2023-06-22,0.6511959
2023-06-23,0.655096
2023-06-24,0.67039657
2023-06-25,0.6565068
2023-06-26,0.66115165
2023-06-27,0.6542091
2023-06-28,0.6595757
2023-06-29,0.6576957
2023-06-30,0.6443648
2023-07-01,0.6496805
2023-07-02,0.68150824
2023-07-03,0.68295664
2023-07-04,0.6751148
2023-07-05,0.67706144
2023-07-06,0.6856567
2023-07-07,0.68639624
2023-07-08,0.6428812
2023-07-09,0.69628686
2023-07-10,0.670479
2023-07-11,0.6832322
2023-07-12,0.66388667
2023-07-13,0.6728573
2023-07-14,0.67417836
2023-07-15,0.6735177
2023-07-16,0.6761911
2023-07-17,0.6683717
2023-07-18,0.66638285
2023-07-19,0.6730921
2023-07-20,0.66751635
2023-07-21,0.67524344
2023-07-22,0.65980124
2023-07-23,0.6683842
2023-07-24,0.67123705
2023-07-25,0.67345893
2023-07-26,0.6612405
2023-07-27,0.6705508
2023-07-28,0.65838104
2023-07-29,0.66488326
2023-07-30,0.66266066
2023-07-31,0.6605325
2023-08-01,0.6398115
2023-08-02,0.64571977
2023-08-03,0.65880334
2023-08-04,0.6397565
2023-08-05,0.66212004
2023-08-06,0.6378526
2023-08-07,0.6480858
2023-08-08,0.6464697
2023-08-09,0.6469163
2023-08-10,0.64825845
2023-08-11,0.6098417
2023-08-12,0.61544245
2023-08-13,0.62734985
2023-08-14,0.6162482
2023-08-15,0.6206949
2023-08-16,0.6117
2023-08-17,0.6139442
2023-08-18,0.60975546
2023-08-19,0.6070613
2023-08-20,0.61936873
2023-08-21,0.60814774
2023-08-22,0.6109768
2023-08-23,0.60765797
2023-08-24,0.6029099
2023-08-25,0.61099017
2023-08-26,0.6283657
2023-08-27,0.6174693
2023-08-28,0.61471367
2023-08-29,0.64197725
2023-08-30,0.61457205
2023-08-31,0.59240305
2023-09-01,0.60461766
2023-09-02,0.59328496
2023-09-03,0.5994013
2023-09-04,0.60309047
2023-09-05,0.59352815
2023-09-06,0.5943687
2023-09-07,0.6025446
2023-09-08,0.6005918
2023-09-09,0.5888557
2023-09-10,0.6197201
2023-09-11,0.6058557
2023-09-12,0.6073131
2023-09-13,0.60763544
2023-09-14,0.6031563
2023-09-15,0.616134
2023-09-16,0.6045423
2023-09-17,0.6148437
2023-09-18,0.6202558
2023-09-19,0.6151216
2023-09-20,0.6564623
2023-09-21,0.6485735
2023-09-22,0.6474231
2023-09-23,0.64672315
2023-09-24,0.6414736
2023-09-25,0.64091057
2023-09-26,0.64998716
2023-09-27,0.6379924
2023-09-28,0.6551419
2023-09-29,0.6412261
2023-09-30,0.6543728
2023-10-01,0.6597099
2023-10-02,0.65931106
2023-10-03,0.6460441
2023-10-04,0.65284723
2023-10-05,0.6571618
2023-10-06,0.655732
2023-10-07,0.6505163
2023-10-08,0.65152884
2023-10-09,0.6545528
2023-10-10,0.663424
2023-10-11,0.6593087
2023-10-12,0.66802317
2023-10-13,0.6669154
2023-10-14,0.66991335
2023-10-15,0.6641293
2023-10-16,0.66622114
2023-10-17,0.6693928
2023-10-18,0.6597378
2023-10-19,0.6725417
2023-10-20,0.6852414
2023-10-21,0.67583746
2023-10-22,0.6790393
2023-10-23,0.67885023
2023-10-24,0.6713678
2023-10-25,0.68158144
2023-10-26,0.6763971
2023-10-27,0.67399573
2023-10-28,0.68414205
2023-10-29,0.67356575
2023-10-30,0.6863055
2023-10-31,0.68595505
2023-11-01,0.6908204
2023-11-02,0.7102542
2023-11-03,0.6922641
2023-11-04,0.6707053
2023-11-05,0.6793158
2023-11-06,0.6749867
2023-11-07,0.6872904
2023-11-08,0.6537129
2023-11-09,0.7081361
2023-11-10,0.6960689
2023-11-11,0.6992183
2023-11-12,0.69394964
2023-11-13,0.70274985
2023-11-14,0.71476716
2023-11-15,0.70187026
2023-11-16,0.7021282
2023-11-17,0.69627
2023-11-18,0.7003161
2023-11-19,0.7166927
2023-11-20,0.705888
2023-11-21,0.7272189
2023-11-22,0.71474856
2023-11-23,0.7061215
2023-11-24,0.71809554
2023-11-25,0.7153441
2023-11-26,0.70648575
2023-11-27,0.70978075
2023-11-28,0.703883
2023-11-29,0.71030253
2023-11-30,0.7206856
