Date,Forecast
2023-05-03,-0.01802125
2023-05-04,-0.018847046
2023-05-05,-0.01879128
2023-05-06,-0.018922452
2023-05-07,-0.018877978
2023-05-08,-0.018571809
2023-05-09,-0.01885158
2023-05-10,-0.018560018
2023-05-11,-0.019809185
2023-05-12,-0.019946802
2023-05-13,-0.029528892
2023-05-14,-0.030062046
2023-05-15,-0.028640032
2023-05-16,-0.028116668
2023-05-17,-0.02881127
2023-05-18,-0.027251074
2023-05-19,-0.026151294
2023-05-20,-0.027642002
2023-05-21,-0.028146865
2023-05-22,-0.027366143
2023-05-23,-0.0144020505
2023-05-24,-0.014218707
2023-05-25,-0.015234456
2023-05-26,-0.014767959
2023-05-27,-0.013912103
2023-05-28,-0.014253501
2023-05-29,-0.01592721
2023-05-30,-0.01514138
2023-05-31,-0.014887329
2023-06-01,-0.014943277
2023-06-02,-0.050981484
2023-06-03,-0.050082013
2023-06-04,-0.050851732
2023-06-05,-0.049355384
2023-06-06,-0.0507211
2023-06-07,-0.048892844
2023-06-08,-0.048180677
2023-06-09,-0.05387952
2023-06-10,-0.05262092
2023-06-11,-0.05279498
2023-06-12,-0.038069975
2023-06-13,-0.03546636
2023-06-14,-0.034350205
2023-06-15,-0.035100494
2023-06-16,-0.03587599
2023-06-17,-0.03375388
2023-06-18,-0.035272457
2023-06-19,-0.0342773
2023-06-20,-0.03627051
2023-06-21,-0.03535586
2023-06-22,-0.025629207
2023-06-23,-0.025656791
2023-06-24,-0.025707895
2023-06-25,-0.02642273
2023-06-26,-0.02684462
2023-06-27,-0.027086604
2023-06-28,-0.02633823
2023-06-29,-0.026454668
2023-06-30,-0.027891569
2023-07-01,-0.02623245
2023-07-02,-0.06713425
2023-07-03,-0.021128073
2023-07-04,-0.026411094
2023-07-05,-0.01196605
2023-07-06,0.008753934
2023-07-07,0.003848306
2023-07-08,0.005464593
2023-07-09,0.0071876454
2023-07-10,0.0048054634
2023-07-11,0.006623379
2023-07-12,0.09571566
2023-07-13,0.095373414
2023-07-14,0.095505916
2023-07-15,0.096143335
2023-07-16,0.0963662
2023-07-17,0.09317976
2023-07-18,0.097194254
2023-07-19,0.093293875
2023-07-20,0.09699875
2023-07-21,0.09554661
2023-07-22,0.055584174
2023-07-23,0.05555548
2023-07-24,0.056041546
2023-07-25,0.056335177
2023-07-26,0.056680456
2023-07-27,0.05516992
2023-07-28,0.05653226
2023-07-29,0.056363396
2023-07-30,0.06364748
2023-07-31,0.05574663
2023-08-01,0.04063824
2023-08-02,0.03962975
2023-08-03,0.037224416
2023-08-04,0.03569543
2023-08-05,0.03883804
2023-08-06,0.04120737
2023-08-07,0.034208406
2023-08-08,0.03932084
2023-08-09,0.03911235
2023-08-10,0.022781152
2023-08-11,-0.045373246
2023-08-12,-0.044174924
2023-08-13,-0.04425079
2023-08-14,-0.042411774
2023-08-15,-0.044837087
2023-08-16,-0.04584108
2023-08-17,-0.04355943
2023-08-18,-0.04423853
2023-08-19,-0.044616148
2023-08-20,-0.04464413
2023-08-21,-0.51143944
2023-08-22,-0.5003894
2023-08-23,-0.5018685
2023-08-24,-0.5037972
2023-08-25,-0.54294455
2023-08-26,-0.52495635
2023-08-27,-0.5248328
2023-08-28,-0.5334484
2023-08-29,-0.53960437
2023-08-30,-0.5290565
2023-08-31,-0.68136895
2023-09-01,-0.6789153
2023-09-02,-0.6925006
2023-09-03,-0.64572096
2023-09-04,-0.657119
2023-09-05,-0.6617092
2023-09-06,-0.6816107
2023-09-07,-0.6702366
2023-09-08,-0.6643176
2023-09-09,-0.66676
2023-09-10,-0.49053657
2023-09-11,-0.5157083
2023-09-12,-0.5234881
2023-09-13,-0.5387459
2023-09-14,-0.52617216
2023-09-15,-0.5343277
2023-09-16,-0.5296738
2023-09-17,-0.5244896
2023-09-18,-0.52459633
2023-09-19,-0.5181848
