Date,Forecast
2023-05-03,-0.022070408
2023-05-04,-0.021445327
2023-05-05,-0.020499203
2023-05-06,-0.021027686
2023-05-07,-0.021497427
2023-05-08,-0.021538796
2023-05-09,-0.020941935
2023-05-10,-0.020577956
2023-05-11,-0.02099708
2023-05-12,-0.02038319
2023-05-13,-0.038185123
2023-05-14,-0.035041753
2023-05-15,-0.035548378
2023-05-16,-0.0400507
2023-05-17,-0.037180476
2023-05-18,-0.03718109
2023-05-19,-0.03875553
2023-05-20,-0.037692755
2023-05-21,-0.035921503
2023-05-22,-0.037008666
2023-05-23,-0.020153094
2023-05-24,-0.020003404
2023-05-25,-0.020262873
2023-05-26,-0.02023261
2023-05-27,-0.021338949
2023-05-28,-0.019323602
2023-05-29,-0.01932652
2023-05-30,-0.020514924
2023-05-31,-0.019789966
2023-06-01,-0.022022452
2023-06-02,-0.038501933
2023-06-03,-0.03756906
2023-06-04,-0.03684754
2023-06-05,-0.0373736
2023-06-06,-0.036493383
2023-06-07,-0.03768094
2023-06-08,-0.038523655
2023-06-09,-0.036869742
2023-06-10,-0.034579244
2023-06-11,-0.041011285
2023-06-12,-0.046021085
2023-06-13,-0.04545564
2023-06-14,-0.043401476
2023-06-15,-0.047225915
2023-06-16,-0.045976777
2023-06-17,-0.04663565
2023-06-18,-0.046884235
2023-06-19,-0.04525089
2023-06-20,-0.043471552
2023-06-21,-0.047484208
2023-06-22,-0.0402993
2023-06-23,-0.043172058
2023-06-24,-0.037546817
2023-06-25,-0.039675392
2023-06-26,-0.021079903
2023-06-27,-0.042075776
2023-06-28,-0.04347179
2023-06-29,-0.045916986
2023-06-30,-0.045410167
2023-07-01,-0.043586284
2023-07-02,0.13799173
2023-07-03,0.13703041
2023-07-04,0.13919798
2023-07-05,0.14101984
2023-07-06,0.13741694
2023-07-07,0.13572198
2023-07-08,0.13633242
2023-07-09,0.13738284
2023-07-10,0.13761973
2023-07-11,0.13805203
2023-07-12,0.14750654
2023-07-13,0.14542319
2023-07-14,0.14347658
2023-07-15,0.14491427
2023-07-16,0.14354186
2023-07-17,0.14737375
2023-07-18,0.14321546
2023-07-19,0.14470403
2023-07-20,0.13708045
2023-07-21,0.14543356
2023-07-22,0.07331067
2023-07-23,0.07274356
2023-07-24,0.06949165
2023-07-25,0.07198312
2023-07-26,0.07390827
2023-07-27,0.06941338
2023-07-28,0.07774338
2023-07-29,0.0849435
2023-07-30,0.074759215
2023-07-31,0.07362619
2023-08-01,-0.019759487
2023-08-02,-0.020698095
2023-08-03,-0.023089511
2023-08-04,-0.022595447
2023-08-05,-0.02349122
2023-08-06,-0.0218868
2023-08-07,-0.022522433
2023-08-08,-0.021862548
2023-08-09,-0.022324257
2023-08-10,-0.023186184
2023-08-11,-0.04334351
2023-08-12,-0.039516307
2023-08-13,-0.041786674
2023-08-14,-0.040386006
2023-08-15,-0.040277325
2023-08-16,-0.041483894
2023-08-17,-0.04191308
2023-08-18,-0.04289993
2023-08-19,-0.039273374
2023-08-20,-0.042446908
2023-08-21,-0.55459493
2023-08-22,-0.559821
2023-08-23,-0.53972805
2023-08-24,-0.5355823
2023-08-25,-0.5119567
2023-08-26,-0.55787313
2023-08-27,-0.5471433
2023-08-28,-0.53387284
2023-08-29,-0.53985006
2023-08-30,-0.52463925
2023-08-31,-0.7169451
2023-09-01,-0.7262134
2023-09-02,-0.738958
2023-09-03,-0.7009605
2023-09-04,-0.7242183
2023-09-05,-0.6685298
2023-09-06,-0.7448685
2023-09-07,-0.71891856
2023-09-08,-0.7422163
2023-09-09,-0.7167739
2023-09-10,-0.5519971
2023-09-11,-0.6072771
2023-09-12,-0.54893047
2023-09-13,-0.53151274
2023-09-14,-0.53766453
2023-09-15,-0.54186374
2023-09-16,-0.5535153
2023-09-17,-0.5558928
2023-09-18,-0.5610088
2023-09-19,-0.55062854
2023-09-20,-0.49504972
2023-09-21,-0.49494076
2023-09-22,-0.50603604
2023-09-23,-0.4930563
2023-09-24,-0.45433018
2023-09-25,-0.48396823
2023-09-26,-0.47893965
2023-09-27,-0.5085703
2023-09-28,-0.49808118
2023-09-29,-0.5036461
2023-09-30,-0.47156549
2023-10-01,-0.49435502
2023-10-02,-0.43211553
2023-10-03,-0.46385887
2023-10-04,-0.45222837
2023-10-05,-0.43812916
2023-10-06,-0.452854
2023-10-07,-0.45064732
2023-10-08,-0.4780919
2023-10-09,-0.4539686
2023-10-10,-0.37913018
2023-10-11,-0.34511387
2023-10-12,-0.38296926
2023-10-13,-0.36984333
2023-10-14,-0.36895478
2023-10-15,-0.3805084
2023-10-16,-0.37054738
2023-10-17,-0.35778654
2023-10-18,-0.37823477
2023-10-19,-0.36569583
2023-10-20,-0.29325062
2023-10-21,-0.30187938
2023-10-22,-0.31232607
2023-10-23,-0.29177636
2023-10-24,-0.2948394
2023-10-25,-0.2973593
2023-10-26,-0.30506447
2023-10-27,-0.29117045
2023-10-28,-0.2809846
2023-10-29,-0.30371597
2023-10-30,-0.20909663
2023-10-31,-0.20719741
2023-11-01,-0.21853289
2023-11-02,-0.20975149
2023-11-03,-0.2046669
2023-11-04,-0.19461115
2023-11-05,-0.20808835
2023-11-06,-0.19802618
2023-11-07,-0.19907814
2023-11-08,-0.20589326
2023-11-09,-0.14246619
2023-11-10,-0.14402083
2023-11-11,-0.15400183
2023-11-12,-0.14675985
2023-11-13,-0.14283502
2023-11-14,-0.15673065
2023-11-15,-0.1480815
2023-11-16,-0.1515406
2023-11-17,-0.15548858
2023-11-18,-0.15061134
2023-11-19,-0.13510676
2023-11-20,-0.13731636
2023-11-21,-0.13106103
2023-11-22,-0.14664403
2023-11-23,-0.13688429
2023-11-24,-0.13630497
2023-11-25,-0.13444796
2023-11-26,-0.14279407
2023-11-27,-0.13068184
2023-11-28,-0.13193788
2023-11-29,-0.15311983
2023-11-30,-0.15562986
2023-12-01,-0.16018538
2023-12-02,-0.16432962
2023-12-03,-0.15669245
2023-12-04,-0.16367535
2023-12-05,-0.17057057
2023-12-06,-0.15992802
2023-12-07,-0.1494563
2023-12-08,-0.15927844
2023-12-09,-0.17488526
2023-12-10,-0.19416463
2023-12-11,-0.18497452
2023-12-12,-0.17863193
2023-12-13,-0.1835081
2023-12-14,-0.18490484
2023-12-15,-0.18146524
2023-12-16,-0.17624147
2023-12-17,-0.18492031
2023-12-18,-0.17945053
2023-12-19,-0.44299993
2023-12-20,-0.46495822
2023-12-21,-0.4569033
2023-12-22,-0.38386852
2023-12-23,-0.25207764
2023-12-24,-0.46843308
2023-12-25,-0.46005857
2023-12-26,-0.48098806
2023-12-27,-0.45046437
2023-12-28,-0.48612213
