Date,Forecast
2023-05-03,0.7004626
2023-05-04,0.7093486
2023-05-05,0.7010059
2023-05-06,0.70970106
2023-05-07,0.70576406
2023-05-08,0.7158897
2023-05-09,0.7121871
2023-05-10,0.7159936
2023-05-11,0.7089487
2023-05-12,0.7084664
2023-05-13,0.7205551
2023-05-14,0.7168192
2023-05-15,0.7216889
2023-05-16,0.7219545
2023-05-17,0.72389364
2023-05-18,0.72766167
2023-05-19,0.70816386
2023-05-20,0.7252517
2023-05-21,0.7101377
2023-05-22,0.72278357
2023-05-23,0.6984024
2023-05-24,0.71060675
2023-05-25,0.7121413
2023-05-26,0.70699805
2023-05-27,0.70408446
2023-05-28,0.7024258
2023-05-29,0.71884066
2023-05-30,0.7178055
2023-05-31,0.696358
2023-06-01,0.69626
2023-06-02,0.66820353
2023-06-03,0.66221297
2023-06-04,0.674975
2023-06-05,0.672605
2023-06-06,0.66628593
2023-06-07,0.6708431
2023-06-08,0.67992485
2023-06-09,0.6683292
2023-06-10,0.66476095
2023-06-11,0.67021996
2023-06-12,0.6732613
2023-06-13,0.6780789
2023-06-14,0.6720451
2023-06-15,0.6698305
2023-06-16,0.67102027
2023-06-17,0.6651304
2023-06-18,0.68327546
2023-06-19,0.6682801
2023-06-20,0.6648388
2023-06-21,0.6732352
2023-06-22,0.65146583
2023-06-23,0.65035075
2023-06-24,0.6621804
2023-06-25,0.66427237
2023-06-26,0.66535914
2023-06-27,0.7027643
2023-06-28,0.6638664
2023-06-29,0.66590446
2023-06-30,0.6665919
2023-07-01,0.6620958
2023-07-02,0.69276845
2023-07-03,0.68119967
2023-07-04,0.6794574
2023-07-05,0.68975616
2023-07-06,0.67927223
2023-07-07,0.6870799
2023-07-08,0.6826683
2023-07-09,0.6796204
2023-07-10,0.6797848
2023-07-11,0.67667794
2023-07-12,0.6758779
2023-07-13,0.6860569
2023-07-14,0.6819561
2023-07-15,0.6627366
2023-07-16,0.6751333
2023-07-17,0.67772615
2023-07-18,0.6696186
2023-07-19,0.6760071
2023-07-20,0.6698404
2023-07-21,0.6675881
2023-07-22,0.66789186
2023-07-23,0.6679367
2023-07-24,0.6704733
2023-07-25,0.6600601
2023-07-26,0.67407966
2023-07-27,0.67021185
2023-07-28,0.664415
2023-07-29,0.6651326
2023-07-30,0.67052644
2023-07-31,0.6342676
2023-08-01,0.65755194
2023-08-02,0.64627874
2023-08-03,0.64794844
2023-08-04,0.6450801
2023-08-05,0.65668106
2023-08-06,0.6572333
2023-08-07,0.6475637
2023-08-08,0.6432225
2023-08-09,0.6576302
2023-08-10,0.6551461
2023-08-11,0.6211394
2023-08-12,0.6223459
2023-08-13,0.62336516
2023-08-14,0.6221734
2023-08-15,0.6272751
2023-08-16,0.62746084
2023-08-17,0.627256
2023-08-18,0.6217001
2023-08-19,0.61785215
2023-08-20,0.6150887
2023-08-21,0.6070891
2023-08-22,0.6105639
2023-08-23,0.6133413
2023-08-24,0.60775083
2023-08-25,0.61813253
2023-08-26,0.6112413
2023-08-27,0.61095226
2023-08-28,0.6131384
2023-08-29,0.6167373
2023-08-30,0.6008864
2023-08-31,0.60538304
2023-09-01,0.5944791
2023-09-02,0.6041224
2023-09-03,0.6102467
2023-09-04,0.5974076
2023-09-05,0.6036907
2023-09-06,0.5995015
2023-09-07,0.5949469
2023-09-08,0.62480545
2023-09-09,0.6067035
2023-09-10,0.61945456
2023-09-11,0.6229911
2023-09-12,0.6172457
2023-09-13,0.62351626
2023-09-14,0.6268216
2023-09-15,0.62141967
2023-09-16,0.62359995
2023-09-17,0.6236821
2023-09-18,0.6422046
2023-09-19,0.6236858
2023-09-20,0.6484719
2023-09-21,0.6442231
2023-09-22,0.65163285
2023-09-23,0.6636268
2023-09-24,0.6463492
2023-09-25,0.6499751
2023-09-26,0.6497429
2023-09-27,0.6530838
2023-09-28,0.63696694
2023-09-29,0.65214914
2023-09-30,0.66773355
2023-10-01,0.6594241
2023-10-02,0.68612826
2023-10-03,0.6622316
2023-10-04,0.67577064
2023-10-05,0.6651561
2023-10-06,0.66625154
2023-10-07,0.6704202
2023-10-08,0.665326
2023-10-09,0.6711758
2023-10-10,0.68173903
2023-10-11,0.6757214
2023-10-12,0.67286295
2023-10-13,0.6806079
2023-10-14,0.66306764
2023-10-15,0.67382616
2023-10-16,0.6734812
2023-10-17,0.6272526
2023-10-18,0.68681145
2023-10-19,0.8076595
2023-10-20,0.6860063
2023-10-21,0.698382
2023-10-22,0.69539976
2023-10-23,0.6701068
2023-10-24,0.6782317
2023-10-25,0.70601714
2023-10-26,0.69585156
2023-10-27,0.6987142
2023-10-28,0.6941237
2023-10-29,0.68422973
2023-10-30,0.6901967
2023-10-31,0.69424665
2023-11-01,0.687998
2023-11-02,0.694572
2023-11-03,0.6907485
2023-11-04,0.6888703
2023-11-05,0.69576573
2023-11-06,0.6950252
2023-11-07,0.68097955
2023-11-08,0.69747496
2023-11-09,0.71016496
2023-11-10,0.68615204
2023-11-11,0.7039135
2023-11-12,0.738143
2023-11-13,0.7020656
2023-11-14,0.66181856
2023-11-15,0.7240349
2023-11-16,0.7107805
2023-11-17,0.70096254
2023-11-18,0.7031245
2023-11-19,0.7074286
2023-11-20,0.712941
2023-11-21,0.72586054
2023-11-22,0.70433164
2023-11-23,0.7119982
2023-11-24,0.72504133
2023-11-25,0.7081726
2023-11-26,0.72310555
2023-11-27,0.71663684
2023-11-28,0.72621787
2023-11-29,0.71102107
2023-11-30,0.70966005
2023-12-01,0.7273707
2023-12-02,0.72056854
2023-12-03,0.71973306
2023-12-04,0.72177863
2023-12-05,0.7236292
2023-12-06,0.720238
2023-12-07,0.7132868
2023-12-08,0.7022116
2023-12-09,0.723853
2023-12-10,0.7074789
2023-12-11,0.7025177
2023-12-12,0.7085495
2023-12-13,0.7150611
2023-12-14,0.71127427
2023-12-15,0.6898389
2023-12-16,0.71099544
2023-12-17,0.70504117
2023-12-18,0.700631
2023-12-19,0.7059425
2023-12-20,0.693404
2023-12-21,0.71065444
2023-12-22,0.6965996
2023-12-23,0.6902471
2023-12-24,0.6870832
2023-12-25,0.7056861
2023-12-26,0.68990153
2023-12-27,0.7039637
2023-12-28,0.6997485
