Date,Forecast
2023-05-03,0.23648499
2023-05-04,0.2363846
2023-05-05,0.23465456
2023-05-06,0.2362194
2023-05-07,0.2396216
2023-05-08,0.23311277
2023-05-09,0.23359883
2023-05-10,0.23324876
2023-05-11,0.23438376
2023-05-12,0.2340661
2023-05-13,0.23275435
2023-05-14,0.23385264
2023-05-15,0.23259263
2023-05-16,0.23450564
2023-05-17,0.23467852
2023-05-18,0.23289269
2023-05-19,0.23166916
2023-05-20,0.23331517
2023-05-21,0.23322907
2023-05-22,0.23872286
2023-05-23,0.23422529
2023-05-24,0.23011495
2023-05-25,0.23196845
2023-05-26,0.22810215
2023-05-27,0.23444158
2023-05-28,0.23512775
2023-05-29,0.23665825
2023-05-30,0.23292896
2023-05-31,0.2285161
2023-06-01,0.22948676
2023-06-02,0.23390156
2023-06-03,0.23168907
2023-06-04,0.23307714
2023-06-05,0.23422247
2023-06-06,0.2332729
2023-06-07,0.23399879
2023-06-08,0.22745167
2023-06-09,0.23042317
2023-06-10,0.23388499
2023-06-11,0.23210292
2023-06-12,0.23149699
2023-06-13,0.23454536
2023-06-14,0.23365918
2023-06-15,0.23654968
2023-06-16,0.2292705
2023-06-17,0.23572227
2023-06-18,0.23223065
2023-06-19,0.2323958
2023-06-20,0.23826803
2023-06-21,0.23548809
2023-06-22,0.2367149
2023-06-23,0.23442948
2023-06-24,0.23379417
2023-06-25,0.2347354
2023-06-26,0.23244388
2023-06-27,0.23500387
2023-06-28,0.2344929
2023-06-29,0.23138589
2023-06-30,0.24062265
2023-07-01,0.2359447
2023-07-02,0.23662871
2023-07-03,0.23549324
2023-07-04,0.23542051
2023-07-05,0.22936033
2023-07-06,0.23086555
2023-07-07,0.23339328
2023-07-08,0.2312516
2023-07-09,0.23439838
2023-07-10,0.23509371
2023-07-11,0.22686763
2023-07-12,0.23240215
2023-07-13,0.23750699
2023-07-14,0.24286121
2023-07-15,0.23320368
2023-07-16,0.23534252
2023-07-17,0.23218507
2023-07-18,0.23585281
2023-07-19,0.23470443
2023-07-20,0.23419584
2023-07-21,0.23326035
2023-07-22,0.23040628
2023-07-23,0.23190035
2023-07-24,0.2345773
2023-07-25,0.23392652
2023-07-26,0.23349422
2023-07-27,0.2310088
2023-07-28,0.2282125
2023-07-29,0.23470737
2023-07-30,0.24156068
2023-07-31,0.23429142
2023-08-01,0.23836346
2023-08-02,0.23645191
2023-08-03,0.23286764
2023-08-04,0.23872748
2023-08-05,0.23189265
2023-08-06,0.22916071
2023-08-07,0.23501274
2023-08-08,0.23603085
2023-08-09,0.23478131
2023-08-10,0.23528056
2023-08-11,0.23551923
2023-08-12,0.23337686
2023-08-13,0.23436962
2023-08-14,0.23344761
2023-08-15,0.23465775
2023-08-16,0.23293522
2023-08-17,0.23504534
