Date,Forecast
2023-05-03,0.707158
2023-05-04,0.71225274
2023-05-05,0.7098321
2023-05-06,0.70831144
2023-05-07,0.70193475
2023-05-08,0.7078936
2023-05-09,0.7010776
2023-05-10,0.7108644
2023-05-11,0.70855707
2023-05-12,0.71064085
2023-05-13,0.7191423
2023-05-14,0.7130865
2023-05-15,0.7162307
2023-05-16,0.71770877
2023-05-17,0.72198844
2023-05-18,0.7170061
2023-05-19,0.7190824
2023-05-20,0.7217326
2023-05-21,0.7276162
2023-05-22,0.72416997
2023-05-23,0.69982445
2023-05-24,0.69817126
2023-05-25,0.7125827
2023-05-26,0.7166171
2023-05-27,0.70933586
2023-05-28,0.7048449
2023-05-29,0.70896333
2023-05-30,0.7096361
2023-05-31,0.6994098
2023-06-01,0.69890815
2023-06-02,0.68021464
2023-06-03,0.6789646
2023-06-04,0.68451446
2023-06-05,0.67301744
2023-06-06,0.67619425
2023-06-07,0.65910524
2023-06-08,0.67545134
2023-06-09,0.6728761
2023-06-10,0.68602717
2023-06-11,0.68029946
2023-06-12,0.66704065
2023-06-13,0.66285515
2023-06-14,0.67804533
2023-06-15,0.67562944
2023-06-16,0.6884412
2023-06-17,0.6669078
2023-06-18,0.67348266
2023-06-19,0.6743278
2023-06-20,0.67598015
2023-06-21,0.68968236
2023-06-22,0.67301774
2023-06-23,0.6661758
2023-06-24,0.66637015
2023-06-25,0.6686628
2023-06-26,0.6633824
2023-06-27,0.67258346
2023-06-28,0.66716874
2023-06-29,0.6677616
2023-06-30,0.66481036
2023-07-01,0.66840005
2023-07-02,0.6328571
2023-07-03,0.6881905
2023-07-04,0.6746849
2023-07-05,0.6827043
2023-07-06,0.6829813
2023-07-07,0.6855392
2023-07-08,0.6760888
2023-07-09,0.69594896
2023-07-10,0.6854333
2023-07-11,0.6848223
2023-07-12,0.6736381
2023-07-13,0.68924874
2023-07-14,0.6765801
2023-07-15,0.68031067
2023-07-16,0.67639077
2023-07-17,0.7138516
2023-07-18,0.6768801
2023-07-19,0.67094857
2023-07-20,0.6773379
2023-07-21,0.6741603
2023-07-22,0.6742265
