Date,Forecast
2023-05-03,-0.15010923
2023-05-04,-0.14872278
2023-05-05,-0.14763016
2023-05-06,-0.14446276
2023-05-07,-0.15680154
2023-05-08,-0.14804961
2023-05-09,-0.13974586
2023-05-10,-0.15317722
2023-05-11,-0.14558999
2023-05-12,-0.15189472
2023-05-13,-0.11128602
2023-05-14,-0.123048745
2023-05-15,-0.12222518
2023-05-16,-0.12323878
2023-05-17,-0.11768338
2023-05-18,-0.12676507
2023-05-19,-0.1176054
2023-05-20,-0.12410866
2023-05-21,-0.117705315
2023-05-22,-0.1192373
2023-05-23,-0.12298539
2023-05-24,-0.12243464
2023-05-25,-0.12639688
2023-05-26,-0.12728629
2023-05-27,-0.12203625
2023-05-28,-0.1175404
2023-05-29,-0.12069018
2023-05-30,-0.12121023
2023-05-31,-0.12196524
2023-06-01,-0.12614456
2023-06-02,-0.13784277
2023-06-03,-0.13449566
2023-06-04,-0.13534026
2023-06-05,-0.12633233
2023-06-06,-0.13241705
2023-06-07,-0.13251306
2023-06-08,-0.12969577
2023-06-09,-0.1308925
2023-06-10,-0.13155054
2023-06-11,-0.13817966
2023-06-12,-0.16208851
2023-06-13,-0.17719248
2023-06-14,-0.16278249
2023-06-15,-0.15123186
2023-06-16,-0.16927564
2023-06-17,-0.16804485
2023-06-18,-0.17101419
2023-06-19,-0.15132141
2023-06-20,-0.16620797
2023-06-21,-0.17011009
2023-06-22,-0.17792189
2023-06-23,-0.16838878
2023-06-24,-0.18312164
2023-06-25,-0.17196408
2023-06-26,-0.18185098
2023-06-27,-0.18009336
2023-06-28,-0.18090099
2023-06-29,-0.19651756
2023-06-30,-0.1872882
2023-07-01,-0.16919754
2023-07-02,-0.19961205
2023-07-03,-0.20650049
2023-07-04,-0.19737461
2023-07-05,-0.20743604
2023-07-06,-0.20442852
2023-07-07,-0.18929563
2023-07-08,-0.20277439
2023-07-09,-0.19169758
2023-07-10,-0.19149761
2023-07-11,-0.19419318
2023-07-12,-0.20631847
2023-07-13,-0.19661365
2023-07-14,-0.20845981
2023-07-15,-0.2027774
2023-07-16,-0.20282635
2023-07-17,-0.19877167
2023-07-18,-0.1900842
2023-07-19,-0.19780082
2023-07-20,-0.19465944
2023-07-21,-0.20374379
2023-07-22,-0.2170359
2023-07-23,-0.20211957
2023-07-24,-0.20565824
2023-07-25,-0.20614645
2023-07-26,-0.20428547
2023-07-27,-0.20384774
2023-07-28,-0.20507136
2023-07-29,-0.1960413
2023-07-30,-0.20577991
2023-07-31,-0.22233206
2023-08-01,-0.18715948
2023-08-02,-0.19350043
2023-08-03,-0.1939676
2023-08-04,-0.21089092
2023-08-05,-0.19958062
2023-08-06,-0.19361734
2023-08-07,-0.19911616
2023-08-08,-0.19524027
2023-08-09,-0.2026055
2023-08-10,-0.20010133
2023-08-11,-0.18143186
2023-08-12,-0.19408408
2023-08-13,-0.18778206
2023-08-14,-0.1850791
2023-08-15,-0.19086434
2023-08-16,-0.18821819
2023-08-17,-0.18329251
2023-08-18,-0.18694858
2023-08-19,-0.20254675
2023-08-20,-0.18087216
2023-08-21,-0.14002639
2023-08-22,-0.14684549
2023-08-23,-0.13862132
2023-08-24,-0.13780467
2023-08-25,-0.14422397
2023-08-26,-0.13378496
2023-08-27,-0.1373634
2023-08-28,-0.1366884
2023-08-29,-0.14511663
2023-08-30,-0.14164653
