Date,Forecast
2023-05-03,0.6451406
2023-05-04,0.64308226
2023-05-05,0.6549378
2023-05-06,0.65117544
2023-05-07,0.64834714
2023-05-08,0.6347487
2023-05-09,0.6422269
2023-05-10,0.6515527
2023-05-11,0.64629716
2023-05-12,0.6485828
2023-05-13,0.6540284
2023-05-14,0.6542469
2023-05-15,0.6556484
2023-05-16,0.6602404
2023-05-17,0.6506244
2023-05-18,0.6604334
2023-05-19,0.65935355
2023-05-20,0.6597937
2023-05-21,0.66204756
2023-05-22,0.6755703
2023-05-23,0.64534205
2023-05-24,0.6711344
2023-05-25,0.6525963
2023-05-26,0.6647446
2023-05-27,0.66107446
2023-05-28,0.6477446
2023-05-29,0.65230715
2023-05-30,0.6457866
2023-05-31,0.65581983
2023-06-01,0.6525503
2023-06-02,0.61298954
2023-06-03,0.6221065
2023-06-04,0.6275544
2023-06-05,0.6247461
2023-06-06,0.6216757
2023-06-07,0.6258373
2023-06-08,0.61170155
2023-06-09,0.6186831
2023-06-10,0.61828375
2023-06-11,0.60350454
2023-06-12,0.6381849
2023-06-13,0.636136
2023-06-14,0.6430975
2023-06-15,0.620538
2023-06-16,0.6380972
2023-06-17,0.63499665
2023-06-18,0.63418865
2023-06-19,0.6311896
2023-06-20,0.63835585
2023-06-21,0.6277037
2023-06-22,0.6165502
2023-06-23,0.61071
2023-06-24,0.6086716
2023-06-25,0.6109786
2023-06-26,0.6205233
2023-06-27,0.6035616
2023-06-28,0.6088786
2023-06-29,0.6124027
2023-06-30,0.6090564
2023-07-01,0.6227286
2023-07-02,0.6455234
2023-07-03,0.6429665
2023-07-04,0.6536927
2023-07-05,0.6439233
2023-07-06,0.63951707
2023-07-07,0.65996176
2023-07-08,0.6569601
2023-07-09,0.659154
2023-07-10,0.65367883
2023-07-11,0.6525515
2023-07-12,0.6389973
2023-07-13,0.6352372
2023-07-14,0.65129876
2023-07-15,0.64130694
2023-07-16,0.6339295
2023-07-17,0.63040304
2023-07-18,0.6323683
2023-07-19,0.6356875
2023-07-20,0.64286065
2023-07-21,0.64382696
2023-07-22,0.6283385
2023-07-23,0.6405158
2023-07-24,0.6406013
2023-07-25,0.6487716
2023-07-26,0.6329828
2023-07-27,0.6305773
2023-07-28,0.63849145
2023-07-29,0.6413215
2023-07-30,0.62149847
2023-07-31,0.64203244
2023-08-01,0.63059604
2023-08-02,0.61788636
2023-08-03,0.6177533
2023-08-04,0.6218042
2023-08-05,0.6157362
2023-08-06,0.62195295
2023-08-07,0.6063807
2023-08-08,0.6177958
2023-08-09,0.621027
2023-08-10,0.62853223
2023-08-11,0.5879174
2023-08-12,0.5969761
2023-08-13,0.58964735
2023-08-14,0.590105
2023-08-15,0.59244406
2023-08-16,0.59235114
2023-08-17,0.59485596
2023-08-18,0.5901278
2023-08-19,0.59100455
2023-08-20,0.6033572
2023-08-21,0.6103768
2023-08-22,0.60347545
2023-08-23,0.6034521
2023-08-24,0.5887162
2023-08-25,0.60558015
2023-08-26,0.6042073
2023-08-27,0.60095423
2023-08-28,0.5991468
2023-08-29,0.6126003
2023-08-30,0.59808075
2023-08-31,0.5871601
2023-09-01,0.5819715
2023-09-02,0.59729546
2023-09-03,0.59650767
2023-09-04,0.5933836
2023-09-05,0.5889024
2023-09-06,0.593403
2023-09-07,0.5903309
2023-09-08,0.5828532
2023-09-09,0.5891165
2023-09-10,0.6128606
2023-09-11,0.60577095
2023-09-12,0.607425
2023-09-13,0.6143835
2023-09-14,0.583193
2023-09-15,0.5884966
2023-09-16,0.61215097
2023-09-17,0.60964364
2023-09-18,0.6138257
2023-09-19,0.6344176
2023-09-20,0.63923335
2023-09-21,0.64840233
2023-09-22,0.64092684
2023-09-23,0.64370805
2023-09-24,0.64157534
2023-09-25,0.65248525
2023-09-26,0.64467615
2023-09-27,0.6530493
2023-09-28,0.6528942
2023-09-29,0.6441888
