Date,Forecast
2023-05-03,0.24029283
2023-05-04,0.24442911
2023-05-05,0.24009874
2023-05-06,0.2413813
2023-05-07,0.23827115
2023-05-08,0.2414516
2023-05-09,0.24226958
2023-05-10,0.2375061
2023-05-11,0.23339763
2023-05-12,0.23936224
2023-05-13,0.21118009
2023-05-14,0.22021805
2023-05-15,0.23742756
2023-05-16,0.21922466
2023-05-17,0.21528727
2023-05-18,0.22084817
2023-05-19,0.21539938
2023-05-20,0.21745606
2023-05-21,0.219193
2023-05-22,0.21896623
2023-05-23,0.3077782
2023-05-24,0.30257118
2023-05-25,0.30684966
2023-05-26,0.308384
2023-05-27,0.30897155
2023-05-28,0.3094109
2023-05-29,0.30711785
2023-05-30,0.30869207
2023-05-31,0.30674836
2023-06-01,0.306234
2023-06-02,0.1877679
2023-06-03,0.19353399
2023-06-04,0.18709108
2023-06-05,0.18883367
2023-06-06,0.1862707
2023-06-07,0.18720955
2023-06-08,0.18744734
2023-06-09,0.1853981
2023-06-10,0.18679804
2023-06-11,0.19393103
2023-06-12,0.25174755
2023-06-13,0.24335897
2023-06-14,0.2431539
2023-06-15,0.24636854
2023-06-16,0.2476768
2023-06-17,0.24441206
2023-06-18,0.246952
2023-06-19,0.24557121
2023-06-20,0.24187532
2023-06-21,0.24486282
2023-06-22,0.2646073
2023-06-23,0.26082486
2023-06-24,0.26361904
2023-06-25,0.26552323
2023-06-26,0.24216303
2023-06-27,0.26415467
2023-06-28,0.2630268
2023-06-29,0.25867236
2023-06-30,0.26212192
2023-07-01,0.26232255
2023-07-02,0.27438113
2023-07-03,0.2755384
2023-07-04,0.27493474
2023-07-05,0.27593893
2023-07-06,0.27603847
2023-07-07,0.27476045
2023-07-08,0.2749312
2023-07-09,0.2764881
2023-07-10,0.28040087
2023-07-11,0.29359475
2023-07-12,0.25747967
2023-07-13,0.2593556
2023-07-14,0.2572377
2023-07-15,0.25830686
2023-07-16,0.25629422
2023-07-17,0.25795755
2023-07-18,0.25887617
2023-07-19,0.26036087
2023-07-20,0.25945932
2023-07-21,0.26167557
2023-07-22,0.24560554
2023-07-23,0.24466759
2023-07-24,0.24662344
2023-07-25,0.2461316
2023-07-26,0.24028592
2023-07-27,0.2434736
2023-07-28,0.24280882
2023-07-29,0.24322174
2023-07-30,0.24520984
2023-07-31,0.24542505
2023-08-01,0.24256565
2023-08-02,0.24140471
2023-08-03,0.2463898
2023-08-04,0.25013083
2023-08-05,0.2426678
2023-08-06,0.23667805
2023-08-07,0.2429591
2023-08-08,0.24451578
2023-08-09,0.24266903
2023-08-10,0.24314085
2023-08-11,0.22176343
2023-08-12,0.23055309
2023-08-13,0.22147882
