Date,Forecast
2023-05-03,-0.21365914
2023-05-04,-0.21646658
2023-05-05,-0.22118324
2023-05-06,-0.21608046
2023-05-07,-0.21295996
2023-05-08,-0.21716195
2023-05-09,-0.22287233
2023-05-10,-0.21646678
2023-05-11,-0.22238007
2023-05-12,-0.2147952
2023-05-13,-0.20132399
2023-05-14,-0.19662613
2023-05-15,-0.19108658
2023-05-16,-0.19570425
2023-05-17,-0.19552961
2023-05-18,-0.19390194
2023-05-19,-0.1904305
2023-05-20,-0.19063337
2023-05-21,-0.19455971
2023-05-22,-0.1963845
2023-05-23,-0.16175522
2023-05-24,-0.15852107
2023-05-25,-0.14987825
2023-05-26,-0.15581565
2023-05-27,-0.16640459
2023-05-28,-0.1683145
2023-05-29,-0.16220057
2023-05-30,-0.15701272
2023-05-31,-0.16287489
2023-06-01,-0.16840541
2023-06-02,-0.13826102
2023-06-03,-0.13715982
2023-06-04,-0.13733044
2023-06-05,-0.15368935
2023-06-06,-0.14170314
2023-06-07,-0.1667607
2023-06-08,-0.16546175
2023-06-09,-0.16945955
2023-06-10,-0.1832761
2023-06-11,-0.17994833
2023-06-12,-0.1841744
2023-06-13,-0.1774689
2023-06-14,-0.18389423
2023-06-15,-0.17968191
2023-06-16,-0.17515923
2023-06-17,-0.18263966
2023-06-18,-0.18008707
2023-06-19,-0.1804253
2023-06-20,-0.18223685
2023-06-21,-0.18626985
2023-06-22,-0.20988384
2023-06-23,-0.21364847
2023-06-24,-0.21465568
2023-06-25,-0.21251135
2023-06-26,-0.20968963
2023-06-27,-0.21716554
2023-06-28,-0.20776774
2023-06-29,-0.20872223
2023-06-30,-0.21537869
2023-07-01,-0.21749443
2023-07-02,-0.19281685
2023-07-03,-0.19965735
2023-07-04,-0.19546667
2023-07-05,-0.1936314
2023-07-06,-0.19313663
2023-07-07,-0.18848482
2023-07-08,-0.18879014
2023-07-09,-0.19691513
2023-07-10,-0.19210872
2023-07-11,-0.19750668
2023-07-12,-0.1983691
2023-07-13,-0.19929427
2023-07-14,-0.20068355
2023-07-15,-0.20054238
2023-07-16,-0.20238706
2023-07-17,-0.20388183
2023-07-18,-0.1903315
2023-07-19,-0.19746754
2023-07-20,-0.19743368
2023-07-21,-0.20326976
2023-07-22,-0.18319255
2023-07-23,-0.1836981
2023-07-24,-0.17954879
2023-07-25,-0.1841373
2023-07-26,-0.1788405
2023-07-27,-0.18007572
2023-07-28,-0.18345517
2023-07-29,-0.18750013
2023-07-30,-0.18330643
2023-07-31,-0.18088782
2023-08-01,-0.22426562
2023-08-02,-0.21984747
2023-08-03,-0.21715675
2023-08-04,-0.22647747
2023-08-05,-0.20868124
2023-08-06,-0.22237112
2023-08-07,-0.21645913
2023-08-08,-0.22264017
2023-08-09,-0.22414905
2023-08-10,-0.2307483
2023-08-11,-0.1980423
2023-08-12,-0.19656286
2023-08-13,-0.19133526
2023-08-14,-0.19719438
2023-08-15,-0.18804641
2023-08-16,-0.1885555
2023-08-17,-0.19528888
2023-08-18,-0.18528715
2023-08-19,-0.1902559
2023-08-20,-0.18659802
2023-08-21,-0.21054481
2023-08-22,-0.21262003
2023-08-23,-0.22240032
2023-08-24,-0.21277449
2023-08-25,-0.21191768
2023-08-26,-0.21656752
2023-08-27,-0.21024583
2023-08-28,-0.20827715
2023-08-29,-0.20960659
2023-08-30,-0.21150056
2023-08-31,-0.25281113
2023-09-01,-0.25613463
2023-09-02,-0.25658283
2023-09-03,-0.25648475
2023-09-04,-0.25719607
2023-09-05,-0.26527292
2023-09-06,-0.25247586
2023-09-07,-0.25488293
2023-09-08,-0.24410349
2023-09-09,-0.26184297
2023-09-10,-0.23584457
2023-09-11,-0.24049635
2023-09-12,-0.23998357
2023-09-13,-0.23298441
2023-09-14,-0.23252451
2023-09-15,-0.22886887
2023-09-16,-0.23423372
2023-09-17,-0.22969866
2023-09-18,-0.23169903
2023-09-19,-0.22943197
2023-09-20,-0.21984726
2023-09-21,-0.22583632
2023-09-22,-0.21924968
2023-09-23,-0.22828025
2023-09-24,-0.2221013
2023-09-25,-0.22194254
2023-09-26,-0.21227884
2023-09-27,-0.21984324
2023-09-28,-0.22142579
2023-09-29,-0.22889
2023-09-30,-0.20304497
2023-10-01,-0.20501602
2023-10-02,-0.1961788
2023-10-03,-0.20275827
2023-10-04,-0.19609758
2023-10-05,-0.2063717
2023-10-06,-0.20685174
2023-10-07,-0.20861618
2023-10-08,-0.19754548
2023-10-09,-0.20562825
2023-10-10,-0.20692
2023-10-11,-0.20363812
2023-10-12,-0.212771
2023-10-13,-0.2098965
2023-10-14,-0.21169525
2023-10-15,-0.2075572
2023-10-16,-0.20262446
2023-10-17,-0.20871544
2023-10-18,-0.20167638
2023-10-19,-0.20666572
2023-10-20,-0.21820554
2023-10-21,-0.22339234
2023-10-22,-0.21376206
2023-10-23,-0.21963584
2023-10-24,-0.22214867
2023-10-25,-0.2195566
2023-10-26,-0.22291525
2023-10-27,-0.21413162
2023-10-28,-0.21809025
2023-10-29,-0.2122161
2023-10-30,-0.22204657
2023-10-31,-0.21666534
2023-11-01,-0.22104917
2023-11-02,-0.21058628
2023-11-03,-0.22124718
2023-11-04,-0.21364015
2023-11-05,-0.21861249
2023-11-06,-0.2188398
2023-11-07,-0.22180831
2023-11-08,-0.22999834
2023-11-09,-0.18965921
2023-11-10,-0.19252914
2023-11-11,-0.18673334
2023-11-12,-0.18079524
2023-11-13,-0.18608531
2023-11-14,-0.18145818
2023-11-15,-0.18200918
2023-11-16,-0.17933428
2023-11-17,-0.17635292
2023-11-18,-0.19044447
2023-11-19,-0.18672118
2023-11-20,-0.19835575
2023-11-21,-0.19073962
2023-11-22,-0.19200554
2023-11-23,-0.19463226
2023-11-24,-0.1876526
2023-11-25,-0.18946879
2023-11-26,-0.19078815
2023-11-27,-0.19114822
2023-11-28,-0.19046593
2023-11-29,-0.19719614
2023-11-30,-0.1897368
2023-12-01,-0.19609201
2023-12-02,-0.19462672
2023-12-03,-0.19876657
2023-12-04,-0.19946498
2023-12-05,-0.19476646
2023-12-06,-0.1949479
2023-12-07,-0.19651884
2023-12-08,-0.2026336
2023-12-09,-0.19260037
2023-12-10,-0.19367737
2023-12-11,-0.19381773
2023-12-12,-0.19544502
2023-12-13,-0.19528541
2023-12-14,-0.19554447
2023-12-15,-0.19222267
2023-12-16,-0.19260818
2023-12-17,-0.19622798
2023-12-18,-0.1896665
2023-12-19,-0.17074467
2023-12-20,-0.17430866
2023-12-21,-0.17308979
2023-12-22,-0.17268385
2023-12-23,-0.17658621
2023-12-24,-0.16865355
2023-12-25,-0.17695998
2023-12-26,-0.17058012
2023-12-27,-0.17165388
2023-12-28,-0.17486893
