Date,Forecast
2023-05-03,-0.21466221
2023-05-04,-0.2180921
2023-05-05,-0.21154837
2023-05-06,-0.21432126
2023-05-07,-0.20934309
2023-05-08,-0.20885767
2023-05-09,-0.2111552
2023-05-10,-0.21125993
2023-05-11,-0.2088243
2023-05-12,-0.21143511
2023-05-13,-0.18543054
2023-05-14,-0.18807463
2023-05-15,-0.18514137
2023-05-16,-0.1917294
2023-05-17,-0.18728687
2023-05-18,-0.19049937
2023-05-19,-0.1930956
2023-05-20,-0.18619542
2023-05-21,-0.18608879
2023-05-22,-0.19119875
2023-05-23,-0.16182947
2023-05-24,-0.1486777
2023-05-25,-0.14701396
2023-05-26,-0.14879824
2023-05-27,-0.15648983
2023-05-28,-0.16171293
2023-05-29,-0.16292265
2023-05-30,-0.15956898
2023-05-31,-0.16165005
2023-06-01,-0.16400546
2023-06-02,-0.13478713
2023-06-03,-0.14789802
2023-06-04,-0.14852458
2023-06-05,-0.15043943
2023-06-06,-0.15989374
2023-06-07,-0.16169329
2023-06-08,-0.16979885
2023-06-09,-0.16379188
2023-06-10,-0.17323641
2023-06-11,-0.17701522
2023-06-12,-0.17549463
2023-06-13,-0.18926212
2023-06-14,-0.18138926
2023-06-15,-0.18345457
2023-06-16,-0.17617469
2023-06-17,-0.17929876
2023-06-18,-0.18034397
2023-06-19,-0.18534918
2023-06-20,-0.1789976
2023-06-21,-0.17807665
2023-06-22,-0.21414414
2023-06-23,-0.22200271
2023-06-24,-0.20783736
2023-06-25,-0.20851661
2023-06-26,-0.21298908
2023-06-27,-0.21094708
2023-06-28,-0.21402626
2023-06-29,-0.21391958
2023-06-30,-0.2147877
2023-07-01,-0.21355529
2023-07-02,-0.20170157
2023-07-03,-0.1953315
2023-07-04,-0.19120497
2023-07-05,-0.2038165
2023-07-06,-0.1977644
2023-07-07,-0.19669718
2023-07-08,-0.19074726
2023-07-09,-0.20128244
2023-07-10,-0.19543868
2023-07-11,-0.19699967
2023-07-12,-0.2040408
2023-07-13,-0.20768413
2023-07-14,-0.20463154
2023-07-15,-0.20336105
2023-07-16,-0.20548157
2023-07-17,-0.2025477
2023-07-18,-0.2045665
2023-07-19,-0.2079096
2023-07-20,-0.20592828
2023-07-21,-0.20231049
2023-07-22,-0.19014329
2023-07-23,-0.18849374
2023-07-24,-0.1861742
2023-07-25,-0.18250465
2023-07-26,-0.1863498
2023-07-27,-0.18646358
2023-07-28,-0.18680322
2023-07-29,-0.18085644
2023-07-30,-0.18406214
2023-07-31,-0.18442741
2023-08-01,-0.23103285
2023-08-02,-0.23437084
2023-08-03,-0.22593416
2023-08-04,-0.23546512
2023-08-05,-0.22490686
2023-08-06,-0.23130196
2023-08-07,-0.2281266
2023-08-08,-0.23601247
2023-08-09,-0.21926165
2023-08-10,-0.22863136
2023-08-11,-0.20619583
2023-08-12,-0.2012233
2023-08-13,-0.20291738
2023-08-14,-0.20071676
2023-08-15,-0.19728243
2023-08-16,-0.20163569
2023-08-17,-0.19315904
2023-08-18,-0.1956353
2023-08-19,-0.1939504
2023-08-20,-0.19153933
2023-08-21,-0.22915225
2023-08-22,-0.22314602
2023-08-23,-0.22606692
2023-08-24,-0.22411379
2023-08-25,-0.22538824
2023-08-26,-0.22108737
2023-08-27,-0.21214527
2023-08-28,-0.22110878
2023-08-29,-0.22174712
2023-08-30,-0.22051962
2023-08-31,-0.26288423
2023-09-01,-0.26052943
2023-09-02,-0.26714563
2023-09-03,-0.26452056
2023-09-04,-0.27431208
2023-09-05,-0.26220968
2023-09-06,-0.26643926
2023-09-07,-0.2675095
2023-09-08,-0.26641822
2023-09-09,-0.26487553
2023-09-10,-0.25060576
2023-09-11,-0.25209752
2023-09-12,-0.25122082
2023-09-13,-0.24683519
2023-09-14,-0.24858366
2023-09-15,-0.24385124
2023-09-16,-0.2483657
2023-09-17,-0.24213295
2023-09-18,-0.25022185
2023-09-19,-0.2397157
2023-09-20,-0.2309069
2023-09-21,-0.23507896
2023-09-22,-0.22965334
2023-09-23,-0.2317259
2023-09-24,-0.2308625
2023-09-25,-0.23920128
2023-09-26,-0.23652852
2023-09-27,-0.23718101
2023-09-28,-0.2327355
2023-09-29,-0.2322995
2023-09-30,-0.2126174
2023-10-01,-0.20864235
2023-10-02,-0.21597633
2023-10-03,-0.21652399
2023-10-04,-0.21121845
2023-10-05,-0.21190439
2023-10-06,-0.21544904
2023-10-07,-0.20920429
2023-10-08,-0.20772392
2023-10-09,-0.20829114
2023-10-10,-0.22461408
2023-10-11,-0.22541736
2023-10-12,-0.2208566
2023-10-13,-0.21981125
2023-10-14,-0.22496387
2023-10-15,-0.22736405
2023-10-16,-0.21960238
2023-10-17,-0.2193458
2023-10-18,-0.2246891
2023-10-19,-0.2241617
2023-10-20,-0.22223288
2023-10-21,-0.2282306
2023-10-22,-0.23433031
2023-10-23,-0.23185347
2023-10-24,-0.2302702
2023-10-25,-0.22526824
2023-10-26,-0.22058003
2023-10-27,-0.23028074
2023-10-28,-0.22541124
2023-10-29,-0.23218402
2023-10-30,-0.23329334
2023-10-31,-0.2328431
2023-11-01,-0.23774162
2023-11-02,-0.22918354
2023-11-03,-0.22973491
2023-11-04,-0.22893728
2023-11-05,-0.22233698
2023-11-06,-0.22642422
2023-11-07,-0.23409137
2023-11-08,-0.22536673
2023-11-09,-0.18986763
2023-11-10,-0.18875165
2023-11-11,-0.19057095
2023-11-12,-0.19222517
2023-11-13,-0.19077097
2023-11-14,-0.18326223
2023-11-15,-0.19752774
2023-11-16,-0.19050483
2023-11-17,-0.18733595
2023-11-18,-0.18461642
2023-11-19,-0.1942881
2023-11-20,-0.19483976
2023-11-21,-0.19821528
2023-11-22,-0.19330727
2023-11-23,-0.18881135
2023-11-24,-0.19033806
2023-11-25,-0.19570698
2023-11-26,-0.1976588
2023-11-27,-0.1913442
2023-11-28,-0.19256604
2023-11-29,-0.1929611
2023-11-30,-0.19380604
2023-12-01,-0.19931932
2023-12-02,-0.19527239
2023-12-03,-0.18811306
2023-12-04,-0.19382298
2023-12-05,-0.20218031
2023-12-06,-0.19447161
2023-12-07,-0.19532518
2023-12-08,-0.19653992
2023-12-09,-0.18986839
2023-12-10,-0.20262879
2023-12-11,-0.18830279
2023-12-12,-0.19681646
2023-12-13,-0.18994787
2023-12-14,-0.19633551
2023-12-15,-0.19155277
2023-12-16,-0.19258071
2023-12-17,-0.19421788
2023-12-18,-0.19880451
2023-12-19,-0.16236278
2023-12-20,-0.1615095
2023-12-21,-0.16707191
2023-12-22,-0.16226222
2023-12-23,-0.16087621
2023-12-24,-0.16298677
2023-12-25,-0.16345942
2023-12-26,-0.16605875
2023-12-27,-0.1683201
2023-12-28,-0.16118738
