Date,Forecast
2023-05-03,-0.21763448
2023-05-04,-0.22014563
2023-05-05,-0.22997604
2023-05-06,-0.2275926
2023-05-07,-0.22195137
2023-05-08,-0.22870569
2023-05-09,-0.22153652
2023-05-10,-0.22409655
2023-05-11,-0.22457764
2023-05-12,-0.2199933
2023-05-13,-0.19694944
2023-05-14,-0.1991337
2023-05-15,-0.19709769
2023-05-16,-0.19473183
2023-05-17,-0.19976963
2023-05-18,-0.20076859
2023-05-19,-0.19199699
2023-05-20,-0.19863546
2023-05-21,-0.1937549
2023-05-22,-0.1965499
2023-05-23,-0.17671365
2023-05-24,-0.16234446
2023-05-25,-0.16287649
2023-05-26,-0.1576943
2023-05-27,-0.1722684
2023-05-28,-0.17155756
2023-05-29,-0.15383331
2023-05-30,-0.16160074
2023-05-31,-0.16219515
2023-06-01,-0.17217955
2023-06-02,-0.14798969
2023-06-03,-0.15946296
2023-06-04,-0.17559125
2023-06-05,-0.163209
2023-06-06,-0.16203943
2023-06-07,-0.16595177
2023-06-08,-0.14671363
2023-06-09,-0.16426586
2023-06-10,-0.17483465
2023-06-11,-0.16536182
2023-06-12,-0.1931914
2023-06-13,-0.19185802
2023-06-14,-0.19080871
2023-06-15,-0.19397368
2023-06-16,-0.1922961
2023-06-17,-0.19188903
2023-06-18,-0.19231576
2023-06-19,-0.19523007
2023-06-20,-0.19035548
2023-06-21,-0.1946003
2023-06-22,-0.21510725
2023-06-23,-0.21134914
2023-06-24,-0.20519096
2023-06-25,-0.21861151
2023-06-26,-0.21917902
2023-06-27,-0.21262628
2023-06-28,-0.21323863
2023-06-29,-0.21629709
2023-06-30,-0.20870997
2023-07-01,-0.21886943
2023-07-02,-0.19885154
2023-07-03,-0.19712979
2023-07-04,-0.20352829
2023-07-05,-0.20069027
2023-07-06,-0.20922491
2023-07-07,-0.19578809
2023-07-08,-0.19647476
2023-07-09,-0.19704007
2023-07-10,-0.19797195
2023-07-11,-0.20989868
2023-07-12,-0.19613983
2023-07-13,-0.20591612
2023-07-14,-0.20563051
2023-07-15,-0.20805357
2023-07-16,-0.2055163
2023-07-17,-0.19597171
2023-07-18,-0.20017129
2023-07-19,-0.20006661
2023-07-20,-0.20085166
2023-07-21,-0.19758667
2023-07-22,-0.19005623
2023-07-23,-0.18744972
2023-07-24,-0.18754123
2023-07-25,-0.18697414
2023-07-26,-0.18549663
2023-07-27,-0.18410172
2023-07-28,-0.1789749
2023-07-29,-0.18402338
2023-07-30,-0.18691151
2023-07-31,-0.18699019
2023-08-01,-0.23165026
2023-08-02,-0.24317598
2023-08-03,-0.22684596
2023-08-04,-0.22444806
2023-08-05,-0.22449806
2023-08-06,-0.22093348
2023-08-07,-0.22662628
2023-08-08,-0.22690567
2023-08-09,-0.2272511
2023-08-10,-0.22592646
2023-08-11,-0.2108787
2023-08-12,-0.19588244
2023-08-13,-0.19776745
2023-08-14,-0.19895947
2023-08-15,-0.19213948
2023-08-16,-0.19365574
2023-08-17,-0.1941771
2023-08-18,-0.20512743
2023-08-19,-0.2017099
2023-08-20,-0.20015875
2023-08-21,-0.22349669
2023-08-22,-0.22115807
2023-08-23,-0.21718958
2023-08-24,-0.2184313
2023-08-25,-0.21540941
2023-08-26,-0.21528621
2023-08-27,-0.21166581
2023-08-28,-0.21516618
2023-08-29,-0.21923424
2023-08-30,-0.23333801
2023-08-31,-0.26383713
2023-09-01,-0.2655082
2023-09-02,-0.26339683
2023-09-03,-0.25778958
2023-09-04,-0.26465338
2023-09-05,-0.2644937
2023-09-06,-0.26753378
2023-09-07,-0.26497707
2023-09-08,-0.26455295
2023-09-09,-0.27618018
2023-09-10,-0.23220487
2023-09-11,-0.23541905
2023-09-12,-0.2413241
2023-09-13,-0.23586407
2023-09-14,-0.23683739
2023-09-15,-0.23238613
2023-09-16,-0.23361528
2023-09-17,-0.23982568
2023-09-18,-0.23591287
2023-09-19,-0.24758345
2023-09-20,-0.22417504
2023-09-21,-0.22067225
2023-09-22,-0.21693367
2023-09-23,-0.22114025
2023-09-24,-0.22437659
2023-09-25,-0.22011237
2023-09-26,-0.22006927
2023-09-27,-0.2172182
2023-09-28,-0.22422743
2023-09-29,-0.21861923
2023-09-30,-0.20528275
2023-10-01,-0.20212601
2023-10-02,-0.21043156
2023-10-03,-0.21038385
2023-10-04,-0.2087927
2023-10-05,-0.20409702
2023-10-06,-0.20429106
2023-10-07,-0.20130667
2023-10-08,-0.20059423
2023-10-09,-0.20400554
2023-10-10,-0.2045252
2023-10-11,-0.19867279
2023-10-12,-0.21116354
2023-10-13,-0.2141624
2023-10-14,-0.20839779
2023-10-15,-0.21142067
2023-10-16,-0.22404107
2023-10-17,-0.20482601
2023-10-18,-0.20537464
2023-10-19,-0.2130574
2023-10-20,-0.2167126
2023-10-21,-0.22581916
2023-10-22,-0.22024341
2023-10-23,-0.22051877
2023-10-24,-0.2147142
2023-10-25,-0.21769325
2023-10-26,-0.22006534
2023-10-27,-0.21493351
2023-10-28,-0.21595635
2023-10-29,-0.21708311
2023-10-30,-0.22562836
2023-10-31,-0.22265576
2023-11-01,-0.2124862
2023-11-02,-0.21868339
2023-11-03,-0.21862125
2023-11-04,-0.21825895
2023-11-05,-0.22003785
2023-11-06,-0.22678594
2023-11-07,-0.21905795
2023-11-08,-0.22368093
2023-11-09,-0.18909052
2023-11-10,-0.18730536
2023-11-11,-0.18783134
2023-11-12,-0.19066054
2023-11-13,-0.18362072
2023-11-14,-0.18995504
2023-11-15,-0.18502158
2023-11-16,-0.19025297
2023-11-17,-0.18720421
2023-11-18,-0.18923795
2023-11-19,-0.20321643
2023-11-20,-0.19782756
2023-11-21,-0.19644469
2023-11-22,-0.19745556
2023-11-23,-0.19494659
2023-11-24,-0.20108128
2023-11-25,-0.19866997
2023-11-26,-0.19753517
2023-11-27,-0.19882983
2023-11-28,-0.20401438
2023-11-29,-0.19786553
2023-11-30,-0.20231812
2023-12-01,-0.19891062
2023-12-02,-0.20053284
2023-12-03,-0.19509129
2023-12-04,-0.20178609
2023-12-05,-0.19638129
2023-12-06,-0.20106736
2023-12-07,-0.19865301
2023-12-08,-0.19879636
2023-12-09,-0.19926083
2023-12-10,-0.19713934
2023-12-11,-0.19990757
2023-12-12,-0.20099102
2023-12-13,-0.19866852
2023-12-14,-0.204259
2023-12-15,-0.2076596
2023-12-16,-0.19823478
2023-12-17,-0.2077356
2023-12-18,-0.1842923
2023-12-19,-0.17719296
2023-12-20,-0.17403425
2023-12-21,-0.17529091
2023-12-22,-0.17870969
2023-12-23,-0.17444654
2023-12-24,-0.17663302
2023-12-25,-0.1737837
2023-12-26,-0.16922118
2023-12-27,-0.17672865
2023-12-28,-0.17916685
