Date,Forecast
2023-05-03,-0.21821547
2023-05-04,-0.21511716
2023-05-05,-0.22083794
2023-05-06,-0.22219199
2023-05-07,-0.21853486
2023-05-08,-0.21558821
2023-05-09,-0.21709801
2023-05-10,-0.21290042
2023-05-11,-0.21060243
2023-05-12,-0.21844757
2023-05-13,-0.19439808
2023-05-14,-0.20060524
2023-05-15,-0.1873612
2023-05-16,-0.19007644
2023-05-17,-0.19091192
2023-05-18,-0.1882052
2023-05-19,-0.18636352
2023-05-20,-0.19114959
2023-05-21,-0.18683842
2023-05-22,-0.18775906
2023-05-23,-0.17140509
2023-05-24,-0.16676864
2023-05-25,-0.15988682
2023-05-26,-0.16515665
2023-05-27,-0.17145813
2023-05-28,-0.17061506
2023-05-29,-0.1729834
2023-05-30,-0.16594395
2023-05-31,-0.1706937
2023-06-01,-0.16460276
2023-06-02,-0.1313625
2023-06-03,-0.12880966
2023-06-04,-0.1441138
2023-06-05,-0.14995773
2023-06-06,-0.13985929
2023-06-07,-0.16378711
2023-06-08,-0.15313645
2023-06-09,-0.17844826
2023-06-10,-0.16443305
2023-06-11,-0.18269852
2023-06-12,-0.17532097
2023-06-13,-0.17996031
2023-06-14,-0.17716387
2023-06-15,-0.17316115
2023-06-16,-0.17796491
2023-06-17,-0.17492929
2023-06-18,-0.17118964
2023-06-19,-0.1788245
2023-06-20,-0.17809938
2023-06-21,-0.1791602
2023-06-22,-0.20251903
2023-06-23,-0.20373319
2023-06-24,-0.20318976
2023-06-25,-0.20765959
2023-06-26,-0.20175388
2023-06-27,-0.20226036
2023-06-28,-0.19717856
2023-06-29,-0.20654987
2023-06-30,-0.20310663
2023-07-01,-0.20324686
2023-07-02,-0.19599111
2023-07-03,-0.18803105
2023-07-04,-0.18788433
2023-07-05,-0.18627451
2023-07-06,-0.1841238
2023-07-07,-0.18651459
2023-07-08,-0.18798216
2023-07-09,-0.18794549
2023-07-10,-0.17599513
2023-07-11,-0.19530189
2023-07-12,-0.19527029
2023-07-13,-0.19656368
2023-07-14,-0.19652931
2023-07-15,-0.19297493
2023-07-16,-0.1994971
2023-07-17,-0.19474703
2023-07-18,-0.19459023
2023-07-19,-0.19332355
2023-07-20,-0.19185448
2023-07-21,-0.18987997
2023-07-22,-0.17850308
2023-07-23,-0.17673343
2023-07-24,-0.17486721
2023-07-25,-0.17420076
2023-07-26,-0.17442295
2023-07-27,-0.17198856
2023-07-28,-0.1712615
2023-07-29,-0.18016672
2023-07-30,-0.1708062
2023-07-31,-0.17479241
2023-08-01,-0.20932779
2023-08-02,-0.2117121
2023-08-03,-0.21233489
2023-08-04,-0.2165742
2023-08-05,-0.21161722
2023-08-06,-0.21723536
2023-08-07,-0.20594071
