Date,Forecast
2023-05-03,-0.22323474
2023-05-04,-0.21883929
2023-05-05,-0.21676427
2023-05-06,-0.22083795
2023-05-07,-0.2159543
2023-05-08,-0.22358266
2023-05-09,-0.2171958
2023-05-10,-0.21683638
2023-05-11,-0.21832015
2023-05-12,-0.21683858
2023-05-13,-0.1911971
2023-05-14,-0.19811043
2023-05-15,-0.19801725
2023-05-16,-0.18965498
2023-05-17,-0.2047154
2023-05-18,-0.20133862
2023-05-19,-0.19347695
2023-05-20,-0.19509451
2023-05-21,-0.19273613
2023-05-22,-0.19296373
2023-05-23,-0.16413288
2023-05-24,-0.15834059
2023-05-25,-0.15333198
2023-05-26,-0.15691255
2023-05-27,-0.1525442
2023-05-28,-0.16316736
2023-05-29,-0.16120046
2023-05-30,-0.15987282
2023-05-31,-0.15643026
2023-06-01,-0.16977985
2023-06-02,-0.13658822
2023-06-03,-0.13195628
2023-06-04,-0.15270416
2023-06-05,-0.15375005
2023-06-06,-0.1502463
2023-06-07,-0.16581999
2023-06-08,-0.16055903
2023-06-09,-0.16524449
2023-06-10,-0.16984668
2023-06-11,-0.18605873
2023-06-12,-0.18722127
2023-06-13,-0.18246332
2023-06-14,-0.18748176
2023-06-15,-0.18425506
2023-06-16,-0.18648209
2023-06-17,-0.18707663
2023-06-18,-0.18223526
2023-06-19,-0.18441314
2023-06-20,-0.18566631
2023-06-21,-0.18279581
2023-06-22,-0.21220651
2023-06-23,-0.21085423
2023-06-24,-0.20782077
2023-06-25,-0.21292442
2023-06-26,-0.20618956
2023-06-27,-0.2176899
2023-06-28,-0.20966119
2023-06-29,-0.21080175
2023-06-30,-0.21228687
2023-07-01,-0.2129545
2023-07-02,-0.18690945
2023-07-03,-0.19197741
2023-07-04,-0.19564667
2023-07-05,-0.19338894
2023-07-06,-0.19254455
2023-07-07,-0.19202071
2023-07-08,-0.19432043
2023-07-09,-0.19019522
2023-07-10,-0.19058202
2023-07-11,-0.19120882
2023-07-12,-0.1972481
2023-07-13,-0.20559633
2023-07-14,-0.2000376
2023-07-15,-0.19417292
2023-07-16,-0.19787101
2023-07-17,-0.19908243
2023-07-18,-0.1991532
2023-07-19,-0.20204103
2023-07-20,-0.20018028
2023-07-21,-0.1950199
2023-07-22,-0.18291178
2023-07-23,-0.18334948
2023-07-24,-0.17679338
2023-07-25,-0.18710752
2023-07-26,-0.17772111
2023-07-27,-0.17991637
2023-07-28,-0.17796549
2023-07-29,-0.17635739
2023-07-30,-0.17925823
2023-07-31,-0.17773834
2023-08-01,-0.21596089
2023-08-02,-0.21944037
2023-08-03,-0.22100292
2023-08-04,-0.21673822
2023-08-05,-0.22206233
2023-08-06,-0.22409669
2023-08-07,-0.2133134
2023-08-08,-0.22032999
2023-08-09,-0.21834862
2023-08-10,-0.22095022
2023-08-11,-0.1853314
2023-08-12,-0.19335936
2023-08-13,-0.1962354
2023-08-14,-0.19306427
2023-08-15,-0.1947976
2023-08-16,-0.20117065
2023-08-17,-0.19560127
2023-08-18,-0.1918807
2023-08-19,-0.19749564
2023-08-20,-0.19609737
2023-08-21,-0.20473196
2023-08-22,-0.21094655
2023-08-23,-0.21137978
2023-08-24,-0.20941475
2023-08-25,-0.20537916
2023-08-26,-0.20783712
2023-08-27,-0.20773269
2023-08-28,-0.21333992
2023-08-29,-0.21803364
2023-08-30,-0.20851892
2023-08-31,-0.264255
2023-09-01,-0.26310885
2023-09-02,-0.26200855
2023-09-03,-0.2615121
2023-09-04,-0.25575832
2023-09-05,-0.2636174
2023-09-06,-0.25884378
2023-09-07,-0.25733325
2023-09-08,-0.2615865
2023-09-09,-0.25668478
2023-09-10,-0.22785173
2023-09-11,-0.234912
2023-09-12,-0.23000214
2023-09-13,-0.23102435
2023-09-14,-0.23401368
2023-09-15,-0.2293816
2023-09-16,-0.23373774
2023-09-17,-0.219519
2023-09-18,-0.22652857
2023-09-19,-0.22456999
2023-09-20,-0.22554705
2023-09-21,-0.22556107
2023-09-22,-0.2231406
2023-09-23,-0.2221451
2023-09-24,-0.22283642
2023-09-25,-0.21844633
2023-09-26,-0.21761818
2023-09-27,-0.21889263
2023-09-28,-0.22912186
2023-09-29,-0.21834087
2023-09-30,-0.20966324
2023-10-01,-0.2045465
2023-10-02,-0.20093462
2023-10-03,-0.19987677
2023-10-04,-0.20037128
2023-10-05,-0.19953522
2023-10-06,-0.20205219
2023-10-07,-0.19746141
2023-10-08,-0.20990746
2023-10-09,-0.20738241
2023-10-10,-0.20601122
2023-10-11,-0.2072613
2023-10-12,-0.21082735
2023-10-13,-0.20417361
2023-10-14,-0.21703272
2023-10-15,-0.21036945
2023-10-16,-0.20875622
2023-10-17,-0.20922516
2023-10-18,-0.21047144
2023-10-19,-0.2132176
2023-10-20,-0.22263777
2023-10-21,-0.21578099
2023-10-22,-0.21437222
2023-10-23,-0.22086668
2023-10-24,-0.22002675
2023-10-25,-0.21665142
2023-10-26,-0.2239375
2023-10-27,-0.21362844
2023-10-28,-0.22027749
2023-10-29,-0.21497194
2023-10-30,-0.22188157
2023-10-31,-0.22130638
2023-11-01,-0.22231002
2023-11-02,-0.21985422
2023-11-03,-0.2225258
2023-11-04,-0.21387278
2023-11-05,-0.22105068
2023-11-06,-0.21049288
2023-11-07,-0.22494549
2023-11-08,-0.21407863
2023-11-09,-0.19142824
2023-11-10,-0.18958433
