Date,Forecast
2023-05-03,-0.21563354
2023-05-04,-0.22316867
2023-05-05,-0.20261328
2023-05-06,-0.21599011
2023-05-07,-0.22222841
2023-05-08,-0.21582599
2023-05-09,-0.21833217
2023-05-10,-0.211514
2023-05-11,-0.2169711
2023-05-12,-0.21768053
2023-05-13,-0.1966651
2023-05-14,-0.19225903
2023-05-15,-0.19992493
2023-05-16,-0.19627695
2023-05-17,-0.19670834
2023-05-18,-0.18891118
2023-05-19,-0.19338404
2023-05-20,-0.19153744
2023-05-21,-0.19845839
2023-05-22,-0.18877645
2023-05-23,-0.16221467
2023-05-24,-0.16018842
2023-05-25,-0.16037364
2023-05-26,-0.14437664
2023-05-27,-0.1589484
2023-05-28,-0.16754703
2023-05-29,-0.1622745
2023-05-30,-0.16558413
2023-05-31,-0.14753044
2023-06-01,-0.1638035
2023-06-02,-0.14390929
2023-06-03,-0.14878221
2023-06-04,-0.15255165
2023-06-05,-0.16156435
2023-06-06,-0.1449654
2023-06-07,-0.15189165
2023-06-08,-0.15070416
2023-06-09,-0.17042324
2023-06-10,-0.17269716
2023-06-11,-0.18527249
2023-06-12,-0.18243057
2023-06-13,-0.1796788
2023-06-14,-0.17776659
2023-06-15,-0.18094793
2023-06-16,-0.17885406
2023-06-17,-0.18207464
2023-06-18,-0.18258461
2023-06-19,-0.17298318
2023-06-20,-0.18323511
2023-06-21,-0.17875737
2023-06-22,-0.21669072
2023-06-23,-0.21308121
2023-06-24,-0.20582895
2023-06-25,-0.20757814
2023-06-26,-0.21250314
2023-06-27,-0.20716673
2023-06-28,-0.20883144
2023-06-29,-0.20707384
2023-06-30,-0.20387505
2023-07-01,-0.20366879
2023-07-02,-0.1985684
2023-07-03,-0.1889682
2023-07-04,-0.1939944
2023-07-05,-0.18411523
2023-07-06,-0.1921795
2023-07-07,-0.19249567
2023-07-08,-0.19009066
2023-07-09,-0.19713946
2023-07-10,-0.19769253
2023-07-11,-0.19476087
2023-07-12,-0.19117048
2023-07-13,-0.19409001
2023-07-14,-0.19615988
2023-07-15,-0.20032978
2023-07-16,-0.19896469
2023-07-17,-0.20295525
2023-07-18,-0.19432272
2023-07-19,-0.19216761
2023-07-20,-0.1939752
2023-07-21,-0.19142401
2023-07-22,-0.17478113
2023-07-23,-0.18457994
2023-07-24,-0.17508382
2023-07-25,-0.17443573
2023-07-26,-0.18460363
2023-07-27,-0.17832647
2023-07-28,-0.17677008
2023-07-29,-0.17718525
2023-07-30,-0.17935535
2023-07-31,-0.1824185
2023-08-01,-0.21276993
2023-08-02,-0.2169957
2023-08-03,-0.21691296
2023-08-04,-0.21466339
2023-08-05,-0.21751408
2023-08-06,-0.21007921
2023-08-07,-0.21616682
2023-08-08,-0.21147797
2023-08-09,-0.21615458
2023-08-10,-0.21464343
2023-08-11,-0.19624498
2023-08-12,-0.19016783
2023-08-13,-0.19215895
2023-08-14,-0.18988076
