Date,Forecast
2023-05-03,-0.2140195
2023-05-04,-0.21535915
2023-05-05,-0.22137003
2023-05-06,-0.21344367
2023-05-07,-0.21796174
2023-05-08,-0.21798173
2023-05-09,-0.22005768
2023-05-10,-0.2156274
2023-05-11,-0.20991856
2023-05-12,-0.22027771
2023-05-13,-0.19657019
2023-05-14,-0.19409893
2023-05-15,-0.19398792
2023-05-16,-0.18955033
2023-05-17,-0.19349043
2023-05-18,-0.19823584
2023-05-19,-0.18875746
2023-05-20,-0.1947779
2023-05-21,-0.19533594
2023-05-22,-0.19320285
2023-05-23,-0.17709857
2023-05-24,-0.1578776
2023-05-25,-0.16357714
2023-05-26,-0.15888113
2023-05-27,-0.17124926
2023-05-28,-0.16857971
2023-05-29,-0.17240828
2023-05-30,-0.16569167
2023-05-31,-0.16357744
2023-06-01,-0.16294804
2023-06-02,-0.12839147
2023-06-03,-0.14162531
2023-06-04,-0.15207721
2023-06-05,-0.1650734
2023-06-06,-0.14994346
2023-06-07,-0.15814583
2023-06-08,-0.15781733
2023-06-09,-0.17239726
2023-06-10,-0.18503244
2023-06-11,-0.19093433
2023-06-12,-0.18729407
2023-06-13,-0.18447599
2023-06-14,-0.1828273
2023-06-15,-0.18127698
2023-06-16,-0.18051046
2023-06-17,-0.1789915
2023-06-18,-0.1833437
2023-06-19,-0.19391689
2023-06-20,-0.18372548
2023-06-21,-0.18270315
2023-06-22,-0.2098386
2023-06-23,-0.21044733
2023-06-24,-0.21843556
2023-06-25,-0.21363969
2023-06-26,-0.20879473
2023-06-27,-0.2129086
2023-06-28,-0.21165743
2023-06-29,-0.21421611
2023-06-30,-0.2176087
2023-07-01,-0.21080671
2023-07-02,-0.19921869
2023-07-03,-0.19203267
2023-07-04,-0.2014519
2023-07-05,-0.19298841
2023-07-06,-0.19874062
2023-07-07,-0.19388029
2023-07-08,-0.19249828
2023-07-09,-0.20308697
2023-07-10,-0.19489221
2023-07-11,-0.18810938
2023-07-12,-0.20097093
2023-07-13,-0.20246351
2023-07-14,-0.19892085
2023-07-15,-0.20390719
2023-07-16,-0.19764695
2023-07-17,-0.20048103
2023-07-18,-0.20557818
2023-07-19,-0.20557794
2023-07-20,-0.19742331
2023-07-21,-0.1999161
2023-07-22,-0.18225075
2023-07-23,-0.18738367
2023-07-24,-0.1824031
2023-07-25,-0.17960915
2023-07-26,-0.1793294
2023-07-27,-0.17798632
2023-07-28,-0.1830121
2023-07-29,-0.18036088
2023-07-30,-0.17728394
2023-07-31,-0.17730916
2023-08-01,-0.22791629
2023-08-02,-0.21325268
2023-08-03,-0.21567656
2023-08-04,-0.22536488
2023-08-05,-0.22783703
2023-08-06,-0.22186778
2023-08-07,-0.21295807
2023-08-08,-0.22059087
2023-08-09,-0.22352722
2023-08-10,-0.22514036
2023-08-11,-0.19223861
2023-08-12,-0.19635528
2023-08-13,-0.19163483
2023-08-14,-0.1995812
2023-08-15,-0.19195074
2023-08-16,-0.19442245
2023-08-17,-0.19566964
2023-08-18,-0.18787417
2023-08-19,-0.19837852
2023-08-20,-0.19092622
2023-08-21,-0.20903356
2023-08-22,-0.21129546
2023-08-23,-0.20975438
2023-08-24,-0.21549696
2023-08-25,-0.21283993
2023-08-26,-0.21063921
2023-08-27,-0.20869982
2023-08-28,-0.21295239
2023-08-29,-0.21583705
2023-08-30,-0.2087117
2023-08-31,-0.24964228
2023-09-01,-0.2527273
2023-09-02,-0.25312835
2023-09-03,-0.2543037
2023-09-04,-0.2484721
2023-09-05,-0.25980332
2023-09-06,-0.2539718
2023-09-07,-0.24466686
2023-09-08,-0.25213334
2023-09-09,-0.25725567
2023-09-10,-0.2339243
2023-09-11,-0.23718569
2023-09-12,-0.23317045
2023-09-13,-0.23281273
2023-09-14,-0.23181495
2023-09-15,-0.23683706
2023-09-16,-0.22888352
2023-09-17,-0.23937963
2023-09-18,-0.2265354
2023-09-19,-0.22939949
2023-09-20,-0.22559457
2023-09-21,-0.22503252
2023-09-22,-0.22152913
2023-09-23,-0.21860325
2023-09-24,-0.21769755
2023-09-25,-0.21401419
2023-09-26,-0.21812038
2023-09-27,-0.21150398
