Date,Forecast
2023-05-03,-0.21171597
2023-05-04,-0.21119738
2023-05-05,-0.20494002
2023-05-06,-0.2073721
2023-05-07,-0.20851658
2023-05-08,-0.20760849
2023-05-09,-0.2117674
2023-05-10,-0.20407344
2023-05-11,-0.20967895
2023-05-12,-0.21287127
2023-05-13,-0.18352453
2023-05-14,-0.18677656
2023-05-15,-0.18794604
2023-05-16,-0.18151231
2023-05-17,-0.18779518
2023-05-18,-0.18702522
2023-05-19,-0.17676114
2023-05-20,-0.18671136
2023-05-21,-0.18445343
2023-05-22,-0.18512563
2023-05-23,-0.15874572
2023-05-24,-0.15036578
2023-05-25,-0.12424385
2023-05-26,-0.14483471
2023-05-27,-0.15635574
2023-05-28,-0.16157874
2023-05-29,-0.16798626
2023-05-30,-0.14722972
2023-05-31,-0.14340636
2023-06-01,-0.15960623
2023-06-02,-0.13467485
2023-06-03,-0.13542248
2023-06-04,-0.15053384
2023-06-05,-0.14356245
2023-06-06,-0.15431021
2023-06-07,-0.15328507
2023-06-08,-0.14747952
2023-06-09,-0.1695503
2023-06-10,-0.17096923
2023-06-11,-0.1841049
2023-06-12,-0.17813201
2023-06-13,-0.17713481
2023-06-14,-0.18043298
2023-06-15,-0.1761195
2023-06-16,-0.17430739
2023-06-17,-0.17072405
2023-06-18,-0.17678887
2023-06-19,-0.17323282
2023-06-20,-0.17660804
2023-06-21,-0.17136957
2023-06-22,-0.21109791
2023-06-23,-0.21440634
2023-06-24,-0.21523136
2023-06-25,-0.20816904
2023-06-26,-0.21744533
2023-06-27,-0.21494202
2023-06-28,-0.20443149
2023-06-29,-0.20643781
2023-06-30,-0.21029988
2023-07-01,-0.2162609
2023-07-02,-0.19040793
2023-07-03,-0.1964725
2023-07-04,-0.19335979
2023-07-05,-0.19046155
2023-07-06,-0.1943568
2023-07-07,-0.19212341
2023-07-08,-0.19558918
2023-07-09,-0.193153
2023-07-10,-0.1942108
2023-07-11,-0.19370025
2023-07-12,-0.1977207
2023-07-13,-0.20068939
2023-07-14,-0.20831932
2023-07-15,-0.2027478
2023-07-16,-0.19831839
2023-07-17,-0.19932544
2023-07-18,-0.20040506
2023-07-19,-0.19475152
2023-07-20,-0.19974495
2023-07-21,-0.2081402
2023-07-22,-0.18429774
2023-07-23,-0.17823513
2023-07-24,-0.1849051
2023-07-25,-0.17847958
2023-07-26,-0.18234707
2023-07-27,-0.18012953
2023-07-28,-0.18394066
2023-07-29,-0.18522543
