Date,Forecast
2023-05-03,-0.21312006
2023-05-04,-0.21432072
2023-05-05,-0.21232817
2023-05-06,-0.21503074
2023-05-07,-0.21890236
2023-05-08,-0.21157627
2023-05-09,-0.21235289
2023-05-10,-0.21732369
2023-05-11,-0.20989032
2023-05-12,-0.21171656
2023-05-13,-0.18475555
2023-05-14,-0.1900647
2023-05-15,-0.18928444
2023-05-16,-0.19051117
2023-05-17,-0.18898843
2023-05-18,-0.18173482
2023-05-19,-0.18543896
2023-05-20,-0.18684822
2023-05-21,-0.18429329
2023-05-22,-0.19054027
2023-05-23,-0.15932398
2023-05-24,-0.1506513
2023-05-25,-0.13711502
2023-05-26,-0.15548645
2023-05-27,-0.16362096
2023-05-28,-0.16940762
2023-05-29,-0.16819285
2023-05-30,-0.15327105
2023-05-31,-0.14770618
2023-06-01,-0.16000539
2023-06-02,-0.12382851
2023-06-03,-0.14228006
2023-06-04,-0.13987787
2023-06-05,-0.15191308
2023-06-06,-0.14368175
2023-06-07,-0.14042448
2023-06-08,-0.15630302
2023-06-09,-0.17587395
2023-06-10,-0.17574105
2023-06-11,-0.17290552
2023-06-12,-0.17994906
2023-06-13,-0.17727864
2023-06-14,-0.18515302
2023-06-15,-0.17752911
2023-06-16,-0.18083936
2023-06-17,-0.1804313
2023-06-18,-0.18217584
2023-06-19,-0.17453332
2023-06-20,-0.17740554
2023-06-21,-0.17947924
2023-06-22,-0.21314776
2023-06-23,-0.21583454
2023-06-24,-0.21654591
2023-06-25,-0.21352808
2023-06-26,-0.21364775
2023-06-27,-0.2124791
2023-06-28,-0.21102211
2023-06-29,-0.21238461
2023-06-30,-0.20493446
2023-07-01,-0.21560667
2023-07-02,-0.20565449
2023-07-03,-0.19884647
2023-07-04,-0.19792007
2023-07-05,-0.18992573
2023-07-06,-0.19768448
2023-07-07,-0.19525461
2023-07-08,-0.19053705
2023-07-09,-0.19734976
2023-07-10,-0.19565786
2023-07-11,-0.19650434
2023-07-12,-0.20530263
2023-07-13,-0.19964716
2023-07-14,-0.20918342
2023-07-15,-0.19170558
2023-07-16,-0.20229661
2023-07-17,-0.20082857
2023-07-18,-0.20453717
2023-07-19,-0.19971937
2023-07-20,-0.2056594
2023-07-21,-0.2058162
2023-07-22,-0.19079213
2023-07-23,-0.18555
2023-07-24,-0.17884947
2023-07-25,-0.18758148
2023-07-26,-0.18532543
2023-07-27,-0.18473959
2023-07-28,-0.18049186
2023-07-29,-0.18303148
2023-07-30,-0.18526174
2023-07-31,-0.18364075
2023-08-01,-0.23393787
2023-08-02,-0.23402335
2023-08-03,-0.22409655
2023-08-04,-0.22754167
2023-08-05,-0.23007606
2023-08-06,-0.22692417
2023-08-07,-0.22307913
2023-08-08,-0.22872345
2023-08-09,-0.23412643
2023-08-10,-0.2272491
2023-08-11,-0.2041759
2023-08-12,-0.19589624
2023-08-13,-0.1955337
2023-08-14,-0.19770262
2023-08-15,-0.2031868
2023-08-16,-0.19375268
2023-08-17,-0.19873147
2023-08-18,-0.19951573
2023-08-19,-0.20389558
2023-08-20,-0.20075922
2023-08-21,-0.2247219
