Date,Forecast
2023-05-03,-0.22031881
2023-05-04,-0.21834412
2023-05-05,-0.1996059
2023-05-06,-0.22037356
2023-05-07,-0.20913818
2023-05-08,-0.2074773
2023-05-09,-0.21264179
2023-05-10,-0.2238386
2023-05-11,-0.21486193
2023-05-12,-0.2144029
2023-05-13,-0.19239105
2023-05-14,-0.19067983
2023-05-15,-0.19088963
2023-05-16,-0.19175762
2023-05-17,-0.19076048
2023-05-18,-0.1943931
2023-05-19,-0.18959667
2023-05-20,-0.1955048
2023-05-21,-0.18979618
2023-05-22,-0.17978439
2023-05-23,-0.16302182
2023-05-24,-0.1629017
2023-05-25,-0.16054802
2023-05-26,-0.165596
2023-05-27,-0.17052789
2023-05-28,-0.15547067
2023-05-29,-0.16784476
2023-05-30,-0.16890135
2023-05-31,-0.16285487
2023-06-01,-0.1616591
2023-06-02,-0.13130364
2023-06-03,-0.14165075
2023-06-04,-0.14787649
2023-06-05,-0.15109701
2023-06-06,-0.15332392
2023-06-07,-0.12921904
2023-06-08,-0.16928272
2023-06-09,-0.16861434
2023-06-10,-0.17028797
2023-06-11,-0.1881034
2023-06-12,-0.17616345
2023-06-13,-0.18223062
2023-06-14,-0.17858751
2023-06-15,-0.1774632
2023-06-16,-0.17873077
2023-06-17,-0.17628273
2023-06-18,-0.1824454
2023-06-19,-0.179786
2023-06-20,-0.17906235
2023-06-21,-0.17547023
2023-06-22,-0.2072192
2023-06-23,-0.2059153
2023-06-24,-0.22112331
2023-06-25,-0.20849304
2023-06-26,-0.13971691
2023-06-27,-0.20431505
2023-06-28,-0.20905359
2023-06-29,-0.20518425
2023-06-30,-0.20719555
2023-07-01,-0.20513262
2023-07-02,-0.19032027
2023-07-03,-0.18834892
2023-07-04,-0.1888559
2023-07-05,-0.18877393
2023-07-06,-0.19459833
2023-07-07,-0.18324728
2023-07-08,-0.19141808
2023-07-09,-0.19196093
2023-07-10,-0.18852167
2023-07-11,-0.18817629
2023-07-12,-0.19532938
2023-07-13,-0.19938727
2023-07-14,-0.21226557
2023-07-15,-0.2011686
2023-07-16,-0.19235842
2023-07-17,-0.19970888
2023-07-18,-0.19882284
2023-07-19,-0.20158102
2023-07-20,-0.19702184
2023-07-21,-0.1900251
2023-07-22,-0.17558035
2023-07-23,-0.17653678
2023-07-24,-0.18187271
2023-07-25,-0.17916384
2023-07-26,-0.17956515
2023-07-27,-0.18484016
2023-07-28,-0.17682669
2023-07-29,-0.17994587
2023-07-30,-0.17780751
2023-07-31,-0.17740601
2023-08-01,-0.22071007
2023-08-02,-0.21671253
2023-08-03,-0.21946003
2023-08-04,-0.21800213
2023-08-05,-0.21472007
2023-08-06,-0.22180201
2023-08-07,-0.22110415
2023-08-08,-0.2237051
2023-08-09,-0.22087964
2023-08-10,-0.2201165
2023-08-11,-0.19330461
2023-08-12,-0.1945914
2023-08-13,-0.1929283
2023-08-14,-0.18800229
2023-08-15,-0.194446
2023-08-16,-0.19138557
2023-08-17,-0.19122916
2023-08-18,-0.19293554
2023-08-19,-0.19335788
2023-08-20,-0.18848595
2023-08-21,-0.20485763
2023-08-22,-0.20154633
2023-08-23,-0.20433551
2023-08-24,-0.21021092
2023-08-25,-0.20384163
2023-08-26,-0.20323683
2023-08-27,-0.20499164
2023-08-28,-0.21022536
2023-08-29,-0.20522338
2023-08-30,-0.20608322
2023-08-31,-0.25602424
2023-09-01,-0.24877617
2023-09-02,-0.24543898
2023-09-03,-0.25387606
2023-09-04,-0.24276842
2023-09-05,-0.24756923
2023-09-06,-0.2442638
2023-09-07,-0.24235764
2023-09-08,-0.24242249
2023-09-09,-0.24689811
2023-09-10,-0.23593043
2023-09-11,-0.22218284
2023-09-12,-0.22948833
2023-09-13,-0.22647613
2023-09-14,-0.22640887
2023-09-15,-0.22876878
2023-09-16,-0.22670473
2023-09-17,-0.22218785
2023-09-18,-0.23146413
2023-09-19,-0.22739367
2023-09-20,-0.21570462
2023-09-21,-0.21931097
2023-09-22,-0.21753263
2023-09-23,-0.2112905
2023-09-24,-0.21729212
2023-09-25,-0.2154764
2023-09-26,-0.21474963
2023-09-27,-0.21400845
2023-09-28,-0.21925434
2023-09-29,-0.22022474
2023-09-30,-0.1987863
2023-10-01,-0.20187022
2023-10-02,-0.20266277
2023-10-03,-0.20051618
2023-10-04,-0.1991986
2023-10-05,-0.20126262
2023-10-06,-0.197452
2023-10-07,-0.19959523
2023-10-08,-0.19874892
2023-10-09,-0.20099744
2023-10-10,-0.21027647
2023-10-11,-0.2030318
2023-10-12,-0.20629632
2023-10-13,-0.20506942
2023-10-14,-0.20755407
2023-10-15,-0.2069778
2023-10-16,-0.20262657
2023-10-17,-0.20146644
2023-10-18,-0.2045777
2023-10-19,-0.20115103
2023-10-20,-0.21678692
2023-10-21,-0.21014743
2023-10-22,-0.21785632
2023-10-23,-0.21626031
2023-10-24,-0.21708189
2023-10-25,-0.2172317
2023-10-26,-0.2205619
2023-10-27,-0.21856545
2023-10-28,-0.21544716
2023-10-29,-0.21449986
2023-10-30,-0.21916176
2023-10-31,-0.2051108
2023-11-01,-0.21146238
2023-11-02,-0.22230592
2023-11-03,-0.21430485
2023-11-04,-0.21804082
2023-11-05,-0.21840198
2023-11-06,-0.221806
2023-11-07,-0.21240611
2023-11-08,-0.2136168
2023-11-09,-0.18547162
2023-11-10,-0.18859664
2023-11-11,-0.18528208
2023-11-12,-0.18732104
2023-11-13,-0.1871888
2023-11-14,-0.18236065
2023-11-15,-0.18557619
2023-11-16,-0.18914817
2023-11-17,-0.18896702
2023-11-18,-0.18504107
2023-11-19,-0.19278283
2023-11-20,-0.20350128
2023-11-21,-0.1916452
2023-11-22,-0.1880558
2023-11-23,-0.19937652
2023-11-24,-0.19653629
2023-11-25,-0.19551781
2023-11-26,-0.19292597
2023-11-27,-0.1901279
2023-11-28,-0.19458723
2023-11-29,-0.2018919
2023-11-30,-0.19119175
2023-12-01,-0.19216819
2023-12-02,-0.19466965
2023-12-03,-0.19758913
