Date,Forecast
2023-05-03,-0.21954735
2023-05-04,-0.21451642
2023-05-05,-0.22038577
2023-05-06,-0.22279115
2023-05-07,-0.2182562
2023-05-08,-0.21964848
2023-05-09,-0.21708998
2023-05-10,-0.22085744
2023-05-11,-0.2262995
2023-05-12,-0.2158291
2023-05-13,-0.1916584
2023-05-14,-0.19484247
2023-05-15,-0.18718983
2023-05-16,-0.19307218
2023-05-17,-0.19449267
2023-05-18,-0.19852073
2023-05-19,-0.19122785
2023-05-20,-0.19596174
2023-05-21,-0.19064231
2023-05-22,-0.19522177
2023-05-23,-0.16749425
2023-05-24,-0.15544276
2023-05-25,-0.1565259
2023-05-26,-0.15668814
2023-05-27,-0.16730009
2023-05-28,-0.15481927
2023-05-29,-0.1675107
2023-05-30,-0.15904844
2023-05-31,-0.15404563
2023-06-01,-0.18034253
2023-06-02,-0.1488929
2023-06-03,-0.1326253
2023-06-04,-0.15678057
2023-06-05,-0.14658678
2023-06-06,-0.15414563
2023-06-07,-0.15141661
2023-06-08,-0.16422802
2023-06-09,-0.17514862
2023-06-10,-0.18082947
2023-06-11,-0.189395
2023-06-12,-0.18458435
2023-06-13,-0.18112348
2023-06-14,-0.18192539
2023-06-15,-0.18812276
2023-06-16,-0.18875143
2023-06-17,-0.1817359
2023-06-18,-0.18569258
2023-06-19,-0.19374001
2023-06-20,-0.18209285
2023-06-21,-0.18647145
2023-06-22,-0.21806818
2023-06-23,-0.21082383
2023-06-24,-0.21534519
2023-06-25,-0.21331671
2023-06-26,-0.21838665
2023-06-27,-0.2132665
2023-06-28,-0.21353294
2023-06-29,-0.22797324
2023-06-30,-0.21041422
2023-07-01,-0.21577428
2023-07-02,-0.19390751
2023-07-03,-0.19882025
2023-07-04,-0.19385351
2023-07-05,-0.19839443
2023-07-06,-0.19696374
2023-07-07,-0.19560485
2023-07-08,-0.19523308
2023-07-09,-0.19398472
2023-07-10,-0.1941321
2023-07-11,-0.20097882
2023-07-12,-0.20163548
2023-07-13,-0.20476976
2023-07-14,-0.20171885
2023-07-15,-0.20287159
2023-07-16,-0.20441942
2023-07-17,-0.20517306
2023-07-18,-0.19858836
2023-07-19,-0.2016793
2023-07-20,-0.20232064
2023-07-21,-0.19530298
2023-07-22,-0.18586828
2023-07-23,-0.18501972
2023-07-24,-0.1866269
2023-07-25,-0.18248832
2023-07-26,-0.18998091
2023-07-27,-0.18145221
2023-07-28,-0.18730599
2023-07-29,-0.18915135
2023-07-30,-0.17852479
2023-07-31,-0.18984488
2023-08-01,-0.23118638
2023-08-02,-0.22182415
2023-08-03,-0.23433255
2023-08-04,-0.22613573
2023-08-05,-0.22596176
2023-08-06,-0.22621024
2023-08-07,-0.22964945
2023-08-08,-0.22725976
2023-08-09,-0.22689563
2023-08-10,-0.2232223
2023-08-11,-0.19198377
2023-08-12,-0.19346945
2023-08-13,-0.19417618
2023-08-14,-0.19892882
2023-08-15,-0.19422306
2023-08-16,-0.19053194
2023-08-17,-0.19607891
2023-08-18,-0.20185204
2023-08-19,-0.19984125
2023-08-20,-0.19816568
2023-08-21,-0.2201194
2023-08-22,-0.21847628
2023-08-23,-0.21630564
2023-08-24,-0.21593302
2023-08-25,-0.22193266
2023-08-26,-0.21098375
2023-08-27,-0.21416588
2023-08-28,-0.21307562
2023-08-29,-0.21420357
2023-08-30,-0.2139879
2023-08-31,-0.26886547
2023-09-01,-0.26163426
2023-09-02,-0.2527246
2023-09-03,-0.2692973
2023-09-04,-0.25999418
2023-09-05,-0.2607349
2023-09-06,-0.25522426
2023-09-07,-0.2600901
2023-09-08,-0.2542829
2023-09-09,-0.26677468
2023-09-10,-0.23578018
2023-09-11,-0.23845871
2023-09-12,-0.22858274
2023-09-13,-0.23994963
2023-09-14,-0.23251171
2023-09-15,-0.24237393
2023-09-16,-0.23549311
2023-09-17,-0.23429781
2023-09-18,-0.2338822
2023-09-19,-0.22929591
2023-09-20,-0.22198458
2023-09-21,-0.22255585
2023-09-22,-0.22049896
2023-09-23,-0.22678094
2023-09-24,-0.22020583
2023-09-25,-0.22094436
2023-09-26,-0.2231829
2023-09-27,-0.22807902
2023-09-28,-0.23664087
2023-09-29,-0.21626005
2023-09-30,-0.20838249
2023-10-01,-0.21135135
2023-10-02,-0.20038572
2023-10-03,-0.20868151
2023-10-04,-0.20801982
2023-10-05,-0.20956393
2023-10-06,-0.20772858
2023-10-07,-0.20283595
2023-10-08,-0.20476514
2023-10-09,-0.2177614
2023-10-10,-0.21495265
2023-10-11,-0.2112477
2023-10-12,-0.21483804
2023-10-13,-0.21615323
2023-10-14,-0.21613902
2023-10-15,-0.21394694
2023-10-16,-0.21197824
2023-10-17,-0.21892038
2023-10-18,-0.20819263
2023-10-19,-0.21245141
2023-10-20,-0.22070767
2023-10-21,-0.22793034
2023-10-22,-0.22461382
2023-10-23,-0.21898417
2023-10-24,-0.22274546
2023-10-25,-0.22124411
2023-10-26,-0.22689098
2023-10-27,-0.2136922
2023-10-28,-0.22349022
2023-10-29,-0.22230963
2023-10-30,-0.22849244
2023-10-31,-0.22785777
2023-11-01,-0.22233294
2023-11-02,-0.22067232
2023-11-03,-0.22240154
2023-11-04,-0.22805719
2023-11-05,-0.2155823
2023-11-06,-0.22673784
2023-11-07,-0.21927719
2023-11-08,-0.2181973
2023-11-09,-0.18713285
2023-11-10,-0.19221504
2023-11-11,-0.1900247
2023-11-12,-0.18812867
2023-11-13,-0.18849924
2023-11-14,-0.18725654
2023-11-15,-0.18887177
2023-11-16,-0.1901529
2023-11-17,-0.18720809
2023-11-18,-0.19111066
2023-11-19,-0.2023142
2023-11-20,-0.19387431
2023-11-21,-0.2013257
2023-11-22,-0.20254155
2023-11-23,-0.19707745
2023-11-24,-0.1906638
2023-11-25,-0.19376732
2023-11-26,-0.19319934
2023-11-27,-0.1983877
2023-11-28,-0.19488649
2023-11-29,-0.21275766
2023-11-30,-0.20065422
2023-12-01,-0.19585092
2023-12-02,-0.19744354
2023-12-03,-0.19750565
2023-12-04,-0.21367803
2023-12-05,-0.19493671
2023-12-06,-0.19199735
2023-12-07,-0.19930553
2023-12-08,-0.19368799
2023-12-09,-0.20167297
2023-12-10,-0.19683546
2023-12-11,-0.19877575
2023-12-12,-0.19059643
2023-12-13,-0.20324974
2023-12-14,-0.19526395
2023-12-15,-0.1980608
2023-12-16,-0.19875063
2023-12-17,-0.26254827
2023-12-18,-0.1929027
2023-12-19,-0.17288908
2023-12-20,-0.17433432
2023-12-21,-0.17206642
2023-12-22,-0.17612343
2023-12-23,-0.17409244
2023-12-24,-0.16855867
2023-12-25,-0.17443828
2023-12-26,-0.17120898
2023-12-27,-0.17198387
2023-12-28,-0.16804846
