Date,Forecast
2023-05-03,-0.22225271
2023-05-04,-0.22460002
2023-05-05,-0.22139554
2023-05-06,-0.22805043
2023-05-07,-0.22452515
2023-05-08,-0.21999282
2023-05-09,-0.2228363
2023-05-10,-0.22129782
2023-05-11,-0.22576366
2023-05-12,-0.22369656
2023-05-13,-0.18324186
2023-05-14,-0.18978603
2023-05-15,-0.19886619
2023-05-16,-0.19371495
2023-05-17,-0.1925436
2023-05-18,-0.19347005
2023-05-19,-0.19630384
2023-05-20,-0.19469322
2023-05-21,-0.1927253
2023-05-22,-0.194417
2023-05-23,-0.16528472
2023-05-24,-0.14616598
2023-05-25,-0.14944702
2023-05-26,-0.15545097
2023-05-27,-0.15767604
2023-05-28,-0.1735076
2023-05-29,-0.171807
2023-05-30,-0.1650818
2023-05-31,-0.15554063
2023-06-01,-0.1663556
2023-06-02,-0.12797076
2023-06-03,-0.14500055
2023-06-04,-0.14616767
2023-06-05,-0.15215422
2023-06-06,-0.16430902
2023-06-07,-0.15255696
2023-06-08,-0.14978728
2023-06-09,-0.1823141
2023-06-10,-0.17620575
2023-06-11,-0.18831757
2023-06-12,-0.19047615
2023-06-13,-0.19685996
2023-06-14,-0.1878331
2023-06-15,-0.18674958
2023-06-16,-0.19147196
2023-06-17,-0.18584299
2023-06-18,-0.19544974
2023-06-19,-0.19527681
2023-06-20,-0.19054745
2023-06-21,-0.1954055
2023-06-22,-0.21879373
2023-06-23,-0.22433907
2023-06-24,-0.21888916
2023-06-25,-0.2209421
2023-06-26,-0.22075206
2023-06-27,-0.2204273
2023-06-28,-0.22378089
2023-06-29,-0.22262765
2023-06-30,-0.21852945
2023-07-01,-0.22062309
2023-07-02,-0.2080145
2023-07-03,-0.21021412
2023-07-04,-0.21056817
2023-07-05,-0.21363993
2023-07-06,-0.2037026
2023-07-07,-0.2070626
2023-07-08,-0.21033572
2023-07-09,-0.21088167
2023-07-10,-0.20976311
2023-07-11,-0.20728132
2023-07-12,-0.20995669
2023-07-13,-0.21352497
2023-07-14,-0.22804087
2023-07-15,-0.21295005
2023-07-16,-0.21747895
2023-07-17,-0.21355286
2023-07-18,-0.21761853
2023-07-19,-0.2095696
2023-07-20,-0.21288456
2023-07-21,-0.21110632
2023-07-22,-0.19925179
2023-07-23,-0.19250044
2023-07-24,-0.19332394
2023-07-25,-0.19021918
2023-07-26,-0.19196776
2023-07-27,-0.19223247
2023-07-28,-0.19092146
2023-07-29,-0.19226423
2023-07-30,-0.19240084
2023-07-31,-0.19728199
2023-08-01,-0.24893314
2023-08-02,-0.24231496
2023-08-03,-0.24456887
2023-08-04,-0.239866
2023-08-05,-0.24693991
2023-08-06,-0.25976014
2023-08-07,-0.2483722
2023-08-08,-0.24511778
2023-08-09,-0.2537004
2023-08-10,-0.25241482
2023-08-11,-0.20961286
2023-08-12,-0.21245758
2023-08-13,-0.21375662
2023-08-14,-0.21673034
2023-08-15,-0.20768954
2023-08-16,-0.21289988
2023-08-17,-0.21127953
2023-08-18,-0.21289521
2023-08-19,-0.20441397
2023-08-20,-0.21059404
2023-08-21,-0.2467278
2023-08-22,-0.24763788
2023-08-23,-0.24210271
2023-08-24,-0.248975
2023-08-25,-0.2449635
2023-08-26,-0.2486796
2023-08-27,-0.24370365
2023-08-28,-0.23999748
2023-08-29,-0.23706928
2023-08-30,-0.24524641
2023-08-31,-0.28771102
2023-09-01,-0.29506862
2023-09-02,-0.29280734
2023-09-03,-0.2942527
2023-09-04,-0.30168164
2023-09-05,-0.2895989
2023-09-06,-0.2987623
2023-09-07,-0.29205438
2023-09-08,-0.2864327
2023-09-09,-0.28664258
2023-09-10,-0.26319486
2023-09-11,-0.26791844
2023-09-12,-0.2680437
2023-09-13,-0.26717925
2023-09-14,-0.26540008
2023-09-15,-0.26899266
2023-09-16,-0.26612443
2023-09-17,-0.26807636
2023-09-18,-0.27503467
2023-09-19,-0.2711797
2023-09-20,-0.2510737
2023-09-21,-0.24663606
2023-09-22,-0.2406538
2023-09-23,-0.245659
2023-09-24,-0.24583776
2023-09-25,-0.24290167
2023-09-26,-0.25160635
2023-09-27,-0.25171074
2023-09-28,-0.24964736
2023-09-29,-0.2447671
2023-09-30,-0.2271308
2023-10-01,-0.22504082
2023-10-02,-0.2297886
2023-10-03,-0.22323208
2023-10-04,-0.2282042
2023-10-05,-0.22330861
2023-10-06,-0.22535431
2023-10-07,-0.22977859
2023-10-08,-0.22524084
2023-10-09,-0.21677381
2023-10-10,-0.22826357
2023-10-11,-0.22778967
2023-10-12,-0.22325012
2023-10-13,-0.22984734
2023-10-14,-0.2253572
2023-10-15,-0.22864783
2023-10-16,-0.22824752
2023-10-17,-0.22539352
2023-10-18,-0.23143902
2023-10-19,-0.23089969
2023-10-20,-0.23494548
2023-10-21,-0.22825152
2023-10-22,-0.24229111
2023-10-23,-0.23595804
2023-10-24,-0.24122298
2023-10-25,-0.23688658
2023-10-26,-0.23674445
2023-10-27,-0.2339861
2023-10-28,-0.23883338
2023-10-29,-0.23792657
2023-10-30,-0.24088225
2023-10-31,-0.23632766
2023-11-01,-0.23381467
2023-11-02,-0.24768347
2023-11-03,-0.23748182
2023-11-04,-0.23962414
2023-11-05,-0.23768085
2023-11-06,-0.23653181
2023-11-07,-0.24018197
2023-11-08,-0.24092823
2023-11-09,-0.19190878
2023-11-10,-0.19486666
2023-11-11,-0.19622917
2023-11-12,-0.19339852
2023-11-13,-0.19592358
2023-11-14,-0.19512305
2023-11-15,-0.19417298
2023-11-16,-0.19406666
2023-11-17,-0.19082323
2023-11-18,-0.18960011
2023-11-19,-0.20213196
2023-11-20,-0.20289925
2023-11-21,-0.19852033
2023-11-22,-0.19643992
2023-11-23,-0.19953236
2023-11-24,-0.19888835
2023-11-25,-0.19648346
2023-11-26,-0.19748983
2023-11-27,-0.19841108
2023-11-28,-0.19873455
2023-11-29,-0.20334387
2023-11-30,-0.202395
2023-12-01,-0.2071829
2023-12-02,-0.20336138
2023-12-03,-0.19937374
2023-12-04,-0.21308045
2023-12-05,-0.20174612
2023-12-06,-0.20188266
2023-12-07,-0.20888643
2023-12-08,-0.19874361
2023-12-09,-0.20353568
2023-12-10,-0.19340047
2023-12-11,-0.20375729
2023-12-12,-0.20107104
2023-12-13,-0.19656439
2023-12-14,-0.2013229
2023-12-15,-0.20300299
2023-12-16,-0.19872183
2023-12-17,-0.2013554
2023-12-18,-0.20604217
2023-12-19,-0.16789782
2023-12-20,-0.1696878
2023-12-21,-0.16674653
2023-12-22,-0.17041454
2023-12-23,-0.16245279
2023-12-24,-0.1671344
2023-12-25,-0.17052431
2023-12-26,-0.16305472
2023-12-27,-0.16384651
2023-12-28,-0.16712494
