Date,Forecast
2023-05-03,-0.03821565
2023-05-04,-0.03762467
2023-05-05,-0.03803035
2023-05-06,-0.040498123
2023-05-07,-0.038075212
2023-05-08,-0.03767616
2023-05-09,-0.036868177
2023-05-10,-0.03771517
2023-05-11,-0.038627032
2023-05-12,-0.03746194
2023-05-13,-0.037963744
2023-05-14,-0.038340576
2023-05-15,-0.037974566
2023-05-16,-0.03796911
2023-05-17,-0.037239395
2023-05-18,-0.038741436
2023-05-19,-0.038080323
2023-05-20,-0.038904414
2023-05-21,-0.037536185
2023-05-22,-0.037387893
2023-05-23,-0.038507514
2023-05-24,-0.039140627
2023-05-25,-0.038261205
2023-05-26,-0.037399124
2023-05-27,-0.036354303
2023-05-28,-0.038036883
2023-05-29,-0.039318632
2023-05-30,-0.036784943
2023-05-31,-0.03592558
2023-06-01,-0.038459264
2023-06-02,-0.038472913
2023-06-03,-0.038177427
2023-06-04,-0.038844183
2023-06-05,-0.038523722
2023-06-06,-0.038172975
2023-06-07,-0.038451936
2023-06-08,-0.03845767
2023-06-09,-0.037715275
2023-06-10,-0.038650468
2023-06-11,-0.037404798
2023-06-12,-0.038612984
2023-06-13,-0.03894006
2023-06-14,-0.036387112
2023-06-15,-0.03779903
2023-06-16,-0.038965728
2023-06-17,-0.039218575
2023-06-18,-0.037906885
2023-06-19,-0.038028885
2023-06-20,-0.03810303
2023-06-21,-0.03704702
2023-06-22,-0.038296573
2023-06-23,-0.03822593
2023-06-24,-0.039189246
2023-06-25,-0.037791442
2023-06-26,-0.038359005
2023-06-27,-0.035997186
2023-06-28,-0.038745977
2023-06-29,-0.039485574
2023-06-30,-0.03875272
2023-07-01,-0.038589448
2023-07-02,-0.038492184
2023-07-03,-0.03857238
2023-07-04,-0.038292225
2023-07-05,-0.03762818
2023-07-06,-0.037534088
2023-07-07,-0.03867176
2023-07-08,-0.038772713
2023-07-09,-0.038613528
2023-07-10,-0.038289092
2023-07-11,-0.03798291
2023-07-12,-0.039062537
2023-07-13,-0.03706931
2023-07-14,-0.039373334
2023-07-15,-0.039026655
2023-07-16,-0.037915062
2023-07-17,-0.03645063
2023-07-18,-0.039134778
2023-07-19,-0.03929951
2023-07-20,-0.037848555
2023-07-21,-0.039023504
2023-07-22,-0.03754894
2023-07-23,-0.037699804
2023-07-24,-0.037776306
2023-07-25,-0.036204472
2023-07-26,-0.038540002
2023-07-27,-0.03854768
2023-07-28,-0.038671862
2023-07-29,-0.03772072
2023-07-30,-0.03792642
2023-07-31,-0.038495034
2023-08-01,-0.038404822
2023-08-02,-0.038279217
2023-08-03,-0.03871192
2023-08-04,-0.03792095
2023-08-05,-0.037622653
2023-08-06,-0.038789805
2023-08-07,-0.037168667
2023-08-08,-0.038277145
2023-08-09,-0.037789334
2023-08-10,-0.037140135
2023-08-11,-0.037934862
2023-08-12,-0.039997686
2023-08-13,-0.038932707
2023-08-14,-0.038902737
2023-08-15,-0.03789128
2023-08-16,-0.038854547
2023-08-17,-0.03667266
2023-08-18,-0.03940542
2023-08-19,-0.0368311
2023-08-20,-0.039374545
2023-08-21,-0.03836965
2023-08-22,-0.03749708
2023-08-23,-0.037880022
2023-08-24,-0.038063295
2023-08-25,-0.038294002
2023-08-26,-0.03844501
2023-08-27,-0.03866417
2023-08-28,-0.03793236
2023-08-29,-0.0395364
2023-08-30,-0.037664548
2023-08-31,-0.038860522
2023-09-01,-0.03849828
2023-09-02,-0.038146175
2023-09-03,-0.0373206
2023-09-04,-0.03872899
2023-09-05,-0.03916501
2023-09-06,-0.036732465
2023-09-07,-0.0380977
2023-09-08,-0.038014065
2023-09-09,-0.037532274
2023-09-10,-0.038686913
2023-09-11,-0.037765536
2023-09-12,-0.03876034
2023-09-13,-0.038514968
2023-09-14,-0.037360433
2023-09-15,-0.036972687
2023-09-16,-0.0375314
2023-09-17,-0.03696254
2023-09-18,-0.0394691
2023-09-19,-0.038602866
2023-09-20,-0.038052984
2023-09-21,-0.038631488
2023-09-22,-0.03701469
2023-09-23,-0.038202155
2023-09-24,-0.035772722
2023-09-25,-0.03855853
2023-09-26,-0.038145516
2023-09-27,-0.03954342
2023-09-28,-0.03665423
2023-09-29,-0.038248163
2023-09-30,-0.038382087
2023-10-01,-0.03834103
2023-10-02,-0.037640084
2023-10-03,-0.03836297
2023-10-04,-0.03834607
2023-10-05,-0.03740281
2023-10-06,-0.038375117
2023-10-07,-0.03711651
2023-10-08,-0.037649125
2023-10-09,-0.03807746
2023-10-10,-0.040119007
2023-10-11,-0.03782585
2023-10-12,-0.038803674
2023-10-13,-0.03796397
2023-10-14,-0.037538975
2023-10-15,-0.038376585
2023-10-16,-0.036957208
2023-10-17,-0.03783613
2023-10-18,-0.038307484
2023-10-19,-0.037932023
2023-10-20,-0.03794887
2023-10-21,-0.03912325
2023-10-22,-0.03680291
2023-10-23,-0.03914487
2023-10-24,-0.03782558
2023-10-25,-0.038399138
2023-10-26,-0.03889782
2023-10-27,-0.03820597
2023-10-28,-0.03772742
2023-10-29,-0.037316736
2023-10-30,-0.03960954
2023-10-31,-0.037982494
2023-11-01,-0.038476385
2023-11-02,-0.03811157
2023-11-03,-0.03912953
2023-11-04,-0.039821066
2023-11-05,-0.037635222
2023-11-06,-0.037692033
2023-11-07,-0.038556207
2023-11-08,-0.037354592
2023-11-09,-0.039077237
2023-11-10,-0.037663084
2023-11-11,-0.03925531
2023-11-12,-0.038154963
2023-11-13,-0.037359692
2023-11-14,-0.039050072
2023-11-15,-0.037251048
2023-11-16,-0.037364006
2023-11-17,-0.0377765
2023-11-18,-0.03909429
2023-11-19,-0.038305737
2023-11-20,-0.03895652
2023-11-21,-0.037969936
2023-11-22,-0.038869835
2023-11-23,-0.038051896
2023-11-24,-0.038946345
2023-11-25,-0.03829828
2023-11-26,-0.038106106
2023-11-27,-0.038719647
2023-11-28,-0.03791958
2023-11-29,-0.038706206
2023-11-30,-0.037948098
2023-12-01,-0.03783394
2023-12-02,-0.037951373
2023-12-03,-0.037476923
2023-12-04,-0.037090875
2023-12-05,-0.037958328
2023-12-06,-0.037991263
2023-12-07,-0.038492255
2023-12-08,-0.036883317
2023-12-09,-0.038366728
2023-12-10,-0.037782837
2023-12-11,-0.0370356
2023-12-12,-0.037625298
2023-12-13,-0.03862392
2023-12-14,-0.039133877
2023-12-15,-0.03821922
2023-12-16,-0.038534388
2023-12-17,-0.037902076
2023-12-18,-0.038692415
2023-12-19,-0.038088564
2023-12-20,-0.037985023
2023-12-21,-0.038643207
2023-12-22,-0.038490534
2023-12-23,-0.03811794
2023-12-24,-0.037630104
2023-12-25,-0.038161863
2023-12-26,-0.039429054
2023-12-27,-0.03744873
2023-12-28,-0.03978165
