Date,Forecast
2023-05-03,-0.22455426
2023-05-04,-0.2256836
2023-05-05,-0.21000214
2023-05-06,-0.22825487
2023-05-07,-0.2229626
2023-05-08,-0.2247414
2023-05-09,-0.22369917
2023-05-10,-0.2227307
2023-05-11,-0.22611742
2023-05-12,-0.22489417
2023-05-13,-0.19670123
2023-05-14,-0.18339482
2023-05-15,-0.19232987
2023-05-16,-0.18775271
2023-05-17,-0.18991598
2023-05-18,-0.18833311
2023-05-19,-0.19326624
2023-05-20,-0.19362499
2023-05-21,-0.1949156
2023-05-22,-0.19340554
2023-05-23,-0.13716999
2023-05-24,-0.14458862
2023-05-25,-0.13081849
2023-05-26,-0.13849422
2023-05-27,-0.15412176
2023-05-28,-0.16116914
2023-05-29,-0.16069439
2023-05-30,-0.17712498
2023-05-31,-0.18418653
2023-06-01,-0.19079685
2023-06-02,-0.14192565
2023-06-03,-0.14799944
2023-06-04,-0.15712081
2023-06-05,-0.16532326
2023-06-06,-0.1642965
2023-06-07,-0.1801795
2023-06-08,-0.1853962
2023-06-09,-0.1930901
2023-06-10,-0.19789854
2023-06-11,-0.21475962
2023-06-12,-0.17493278
2023-06-13,-0.17909952
2023-06-14,-0.1736726
2023-06-15,-0.17390287
2023-06-16,-0.1762093
2023-06-17,-0.17936684
2023-06-18,-0.17951588
2023-06-19,-0.17495108
2023-06-20,-0.175635
2023-06-21,-0.17862797
2023-06-22,-0.20438762
2023-06-23,-0.2115472
2023-06-24,-0.21470058
2023-06-25,-0.21385165
2023-06-26,-0.21201351
2023-06-27,-0.2085933
2023-06-28,-0.21060745
2023-06-29,-0.21764022
2023-06-30,-0.21047366
2023-07-01,-0.21345589
2023-07-02,-0.1982792
2023-07-03,-0.19499403
2023-07-04,-0.20120431
2023-07-05,-0.19793537
2023-07-06,-0.187899
2023-07-07,-0.19013016
2023-07-08,-0.20298988
2023-07-09,-0.19892292
2023-07-10,-0.20119727
2023-07-11,-0.19492586
2023-07-12,-0.20092583
2023-07-13,-0.20173718
2023-07-14,-0.20610946
2023-07-15,-0.2073679
2023-07-16,-0.2000719
2023-07-17,-0.19966185
2023-07-18,-0.19856566
2023-07-19,-0.20000774
2023-07-20,-0.20070833
2023-07-21,-0.19579634
2023-07-22,-0.1863923
2023-07-23,-0.19031595
2023-07-24,-0.18774293
2023-07-25,-0.18615918
2023-07-26,-0.1911083
2023-07-27,-0.18484135
2023-07-28,-0.19075182
2023-07-29,-0.19955738
2023-07-30,-0.18546948
2023-07-31,-0.18544191
2023-08-01,-0.23527822
2023-08-02,-0.24092707
2023-08-03,-0.2427832
2023-08-04,-0.24400593
2023-08-05,-0.242282
2023-08-06,-0.23892975
2023-08-07,-0.24668139
2023-08-08,-0.23884678
2023-08-09,-0.23385906
2023-08-10,-0.250085
2023-08-11,-0.20821996
2023-08-12,-0.22017032
2023-08-13,-0.2124426
2023-08-14,-0.21155861
2023-08-15,-0.20877014
2023-08-16,-0.21037644
2023-08-17,-0.20543365
2023-08-18,-0.20972185
2023-08-19,-0.21404856
2023-08-20,-0.21181254
2023-08-21,-0.2543137
2023-08-22,-0.24726513
2023-08-23,-0.24871513
2023-08-24,-0.24845853
2023-08-25,-0.25235778
2023-08-26,-0.24137218
2023-08-27,-0.24058667
2023-08-28,-0.2491363
2023-08-29,-0.24663574
2023-08-30,-0.24933024
2023-08-31,-0.2995063
2023-09-01,-0.2964448
2023-09-02,-0.2970009
2023-09-03,-0.30298555
2023-09-04,-0.29838872
2023-09-05,-0.31568334
2023-09-06,-0.29363158
2023-09-07,-0.31178868
2023-09-08,-0.30654868
2023-09-09,-0.30549303
2023-09-10,-0.28878695
2023-09-11,-0.2806727
2023-09-12,-0.28037864
2023-09-13,-0.28192535
2023-09-14,-0.27225247
2023-09-15,-0.28892127
2023-09-16,-0.28303525
2023-09-17,-0.28527454
2023-09-18,-0.28168365
2023-09-19,-0.27897394
2023-09-20,-0.25512874
2023-09-21,-0.2616632
2023-09-22,-0.2559695
2023-09-23,-0.25562018
2023-09-24,-0.2661602
2023-09-25,-0.2561721
2023-09-26,-0.26004276
2023-09-27,-0.2516879
2023-09-28,-0.2536853
2023-09-29,-0.25662142
2023-09-30,-0.23051676
2023-10-01,-0.23414876
2023-10-02,-0.23580877
2023-10-03,-0.22074018
2023-10-04,-0.22400127
2023-10-05,-0.23396103
2023-10-06,-0.2335615
2023-10-07,-0.23196982
2023-10-08,-0.24167605
2023-10-09,-0.23157534
2023-10-10,-0.2326922
2023-10-11,-0.24344245
2023-10-12,-0.24007568
2023-10-13,-0.2368006
2023-10-14,-0.24314548
2023-10-15,-0.24012302
2023-10-16,-0.23174359
2023-10-17,-0.23659112
2023-10-18,-0.23362549
2023-10-19,-0.23743452
2023-10-20,-0.2457759
2023-10-21,-0.24421522
2023-10-22,-0.24150255
2023-10-23,-0.25615194
2023-10-24,-0.233709
2023-10-25,-0.24928036
2023-10-26,-0.26031852
2023-10-27,-0.23971774
2023-10-28,-0.2411066
2023-10-29,-0.24401543
2023-10-30,-0.24058367
2023-10-31,-0.23853198
2023-11-01,-0.2318039
2023-11-02,-0.2398217
2023-11-03,-0.22985327
2023-11-04,-0.2414894
2023-11-05,-0.24415152
2023-11-06,-0.23251103
2023-11-07,-0.23911597
2023-11-08,-0.24154098
2023-11-09,-0.1951249
2023-11-10,-0.19219442
2023-11-11,-0.1945537
2023-11-12,-0.19613972
2023-11-13,-0.1899196
2023-11-14,-0.19383095
2023-11-15,-0.19084466
2023-11-16,-0.19483326
2023-11-17,-0.19234614
2023-11-18,-0.19882406
2023-11-19,-0.19517674
2023-11-20,-0.19457434
2023-11-21,-0.19609803
2023-11-22,-0.19112782
2023-11-23,-0.20043863
2023-11-24,-0.19717543
2023-11-25,-0.1981796
2023-11-26,-0.19619036
2023-11-27,-0.20531504
2023-11-28,-0.19918661
2023-11-29,-0.20380503
2023-11-30,-0.20642868
2023-12-01,-0.20531134
2023-12-02,-0.20739186
2023-12-03,-0.20853229
2023-12-04,-0.20146132
2023-12-05,-0.19987985
2023-12-06,-0.20803466
2023-12-07,-0.2027665
2023-12-08,-0.20952772
2023-12-09,-0.20201969
2023-12-10,-0.20282951
2023-12-11,-0.20161833
2023-12-12,-0.20125459
2023-12-13,-0.198842
2023-12-14,-0.1994608
2023-12-15,-0.19895881
2023-12-16,-0.2010178
2023-12-17,-0.2043397
2023-12-18,-0.1965719
2023-12-19,-0.16861583
2023-12-20,-0.16482005
2023-12-21,-0.16460425
2023-12-22,-0.16333643
2023-12-23,-0.16335608
2023-12-24,-0.16306742
2023-12-25,-0.16127053
2023-12-26,-0.16218439
2023-12-27,-0.16239357
2023-12-28,-0.16894163
