Date,Forecast
2023-05-03,-0.22940809
2023-05-04,-0.21796384
2023-05-05,-0.22193332
2023-05-06,-0.2214794
2023-05-07,-0.21762481
2023-05-08,-0.22268766
2023-05-09,-0.22099884
2023-05-10,-0.21404266
2023-05-11,-0.22238147
2023-05-12,-0.21521357
2023-05-13,-0.19892292
2023-05-14,-0.19185057
2023-05-15,-0.19747177
2023-05-16,-0.19554228
2023-05-17,-0.18572311
2023-05-18,-0.19588335
2023-05-19,-0.19056316
2023-05-20,-0.1923893
2023-05-21,-0.19484423
2023-05-22,-0.19901843
2023-05-23,-0.167875
2023-05-24,-0.15417466
2023-05-25,-0.14568682
2023-05-26,-0.14196868
2023-05-27,-0.16784708
2023-05-28,-0.17085956
2023-05-29,-0.1698439
2023-05-30,-0.15000822
2023-05-31,-0.16535938
2023-06-01,-0.1692406
2023-06-02,-0.13501479
2023-06-03,-0.1422621
2023-06-04,-0.15077211
2023-06-05,-0.14322153
2023-06-06,-0.14736249
2023-06-07,-0.15539473
2023-06-08,-0.15763308
2023-06-09,-0.177205
2023-06-10,-0.19095102
2023-06-11,-0.18798141
2023-06-12,-0.1924256
2023-06-13,-0.19065605
2023-06-14,-0.19429876
2023-06-15,-0.18949169
2023-06-16,-0.19761564
2023-06-17,-0.18981543
2023-06-18,-0.18786058
2023-06-19,-0.188537
2023-06-20,-0.18787035
2023-06-21,-0.1877156
2023-06-22,-0.21970229
2023-06-23,-0.2196671
2023-06-24,-0.22068514
2023-06-25,-0.22384378
2023-06-26,-0.22551313
2023-06-27,-0.22097878
2023-06-28,-0.22079077
2023-06-29,-0.22811295
2023-06-30,-0.227582
2023-07-01,-0.2244507
2023-07-02,-0.20927489
2023-07-03,-0.21282467
2023-07-04,-0.20985992
2023-07-05,-0.21082948
2023-07-06,-0.20365073
2023-07-07,-0.21170174
2023-07-08,-0.20541498
2023-07-09,-0.21442427
2023-07-10,-0.21097277
2023-07-11,-0.19854775
2023-07-12,-0.21003036
2023-07-13,-0.22100885
2023-07-14,-0.20751525
2023-07-15,-0.21437773
2023-07-16,-0.21641949
2023-07-17,-0.21546665
2023-07-18,-0.21079406
2023-07-19,-0.21147454
2023-07-20,-0.2089291
2023-07-21,-0.21606913
2023-07-22,-0.19608973
2023-07-23,-0.19278981
2023-07-24,-0.1886594
2023-07-25,-0.19558148
2023-07-26,-0.18876953
2023-07-27,-0.19380657
2023-07-28,-0.19308197
2023-07-29,-0.19280413
2023-07-30,-0.19153345
2023-07-31,-0.1970868
2023-08-01,-0.23830059
2023-08-02,-0.24393171
2023-08-03,-0.24375986
2023-08-04,-0.24495508
2023-08-05,-0.24440947
2023-08-06,-0.24793966
2023-08-07,-0.25583068
2023-08-08,-0.23821758
2023-08-09,-0.24129799
2023-08-10,-0.24914496
2023-08-11,-0.21085683
2023-08-12,-0.21006528
2023-08-13,-0.20728528
2023-08-14,-0.2114804
2023-08-15,-0.20568684
2023-08-16,-0.2057352
2023-08-17,-0.2078781
2023-08-18,-0.20327923
2023-08-19,-0.21425882
2023-08-20,-0.20885019
2023-08-21,-0.23677383
2023-08-22,-0.24958967
2023-08-23,-0.2499714
2023-08-24,-0.23874801
2023-08-25,-0.2391055
2023-08-26,-0.240901
2023-08-27,-0.24986054
2023-08-28,-0.24525613
2023-08-29,-0.24692984
2023-08-30,-0.23967193
2023-08-31,-0.29418665
2023-09-01,-0.28799352
2023-09-02,-0.28581235
2023-09-03,-0.27929243
2023-09-04,-0.29319382
2023-09-05,-0.28690013
2023-09-06,-0.2927606
2023-09-07,-0.29100776
2023-09-08,-0.3058626
2023-09-09,-0.30028868
2023-09-10,-0.27293533
2023-09-11,-0.26172724
2023-09-12,-0.27022827
2023-09-13,-0.26914585
2023-09-14,-0.27186784
2023-09-15,-0.2711867
2023-09-16,-0.2708273
2023-09-17,-0.26841882
2023-09-18,-0.28288484
2023-09-19,-0.2665875
2023-09-20,-0.24588199
2023-09-21,-0.23733996
2023-09-22,-0.24402924
2023-09-23,-0.24592806
2023-09-24,-0.25169185
2023-09-25,-0.24482366
2023-09-26,-0.23886313
2023-09-27,-0.24582127
2023-09-28,-0.24012381
2023-09-29,-0.2477019
2023-09-30,-0.22247493
2023-10-01,-0.22458662
2023-10-02,-0.22128515
2023-10-03,-0.22660992
2023-10-04,-0.218779
2023-10-05,-0.22066784
2023-10-06,-0.22258261
2023-10-07,-0.21424551
2023-10-08,-0.22025219
2023-10-09,-0.22276789
2023-10-10,-0.23358358
2023-10-11,-0.23376875
2023-10-12,-0.22252527
2023-10-13,-0.22879438
2023-10-14,-0.22490609
2023-10-15,-0.23143318
2023-10-16,-0.23430756
2023-10-17,-0.23437798
2023-10-18,-0.23110852
2023-10-19,-0.23157357
2023-10-20,-0.2367982
2023-10-21,-0.24216957
2023-10-22,-0.24978958
2023-10-23,-0.23626518
2023-10-24,-0.22979881
2023-10-25,-0.23981021
2023-10-26,-0.23865776
2023-10-27,-0.23767054
2023-10-28,-0.24481322
2023-10-29,-0.2303825
2023-10-30,-0.23086594
2023-10-31,-0.23363161
2023-11-01,-0.23810089
2023-11-02,-0.24690403
2023-11-03,-0.24514483
2023-11-04,-0.23989923
2023-11-05,-0.23565239
2023-11-06,-0.23903556
2023-11-07,-0.2372555
2023-11-08,-0.23905897
2023-11-09,-0.19314964
2023-11-10,-0.19030154
2023-11-11,-0.19414261
2023-11-12,-0.19836329
2023-11-13,-0.19135495
2023-11-14,-0.19298536
2023-11-15,-0.18924108
2023-11-16,-0.19942285
2023-11-17,-0.18444455
2023-11-18,-0.19158296
2023-11-19,-0.1925238
2023-11-20,-0.20242438
2023-11-21,-0.19842745
2023-11-22,-0.20148802
2023-11-23,-0.19791706
2023-11-24,-0.19985439
2023-11-25,-0.19914627
2023-11-26,-0.19307618
2023-11-27,-0.20005152
2023-11-28,-0.18779737
2023-11-29,-0.20505182
2023-11-30,-0.19870092
2023-12-01,-0.20882955
2023-12-02,-0.20849945
2023-12-03,-0.20266636
2023-12-04,-0.2029689
2023-12-05,-0.2049798
2023-12-06,-0.20656654
2023-12-07,-0.20516464
2023-12-08,-0.20300938
2023-12-09,-0.19954738
2023-12-10,-0.20254512
2023-12-11,-0.20759673
2023-12-12,-0.20229453
2023-12-13,-0.20550866
2023-12-14,-0.19431531
2023-12-15,-0.2002736
2023-12-16,-0.1948942
2023-12-17,-0.20140152
2023-12-18,-0.20639926
2023-12-19,-0.16855177
2023-12-20,-0.17024226
2023-12-21,-0.16998772
2023-12-22,-0.16984259
2023-12-23,-0.16508824
2023-12-24,-0.16547619
2023-12-25,-0.16693354
2023-12-26,-0.16645136
2023-12-27,-0.16767316
2023-12-28,-0.16935736
