Date,Forecast
2023-05-03,-0.23434943
2023-05-04,-0.22545086
2023-05-05,-0.22237177
2023-05-06,-0.21647486
2023-05-07,-0.22327882
2023-05-08,-0.22495681
2023-05-09,-0.2293575
2023-05-10,-0.22194222
2023-05-11,-0.22998151
2023-05-12,-0.23107567
2023-05-13,-0.18972345
2023-05-14,-0.19239077
2023-05-15,-0.19488654
2023-05-16,-0.19686283
2023-05-17,-0.18747903
2023-05-18,-0.18629189
2023-05-19,-0.19284473
2023-05-20,-0.18676181
2023-05-21,-0.19322594
2023-05-22,-0.19405213
2023-05-23,-0.14864616
2023-05-24,-0.15084735
2023-05-25,-0.13154487
2023-05-26,-0.15028693
2023-05-27,-0.14567858
2023-05-28,-0.16632463
2023-05-29,-0.15438014
2023-05-30,-0.19037074
2023-05-31,-0.17008708
2023-06-01,-0.18120936
2023-06-02,-0.13973512
2023-06-03,-0.13846496
2023-06-04,-0.1583652
2023-06-05,-0.1427477
2023-06-06,-0.16800845
2023-06-07,-0.1721329
2023-06-08,-0.18926845
2023-06-09,-0.1845756
2023-06-10,-0.19503732
2023-06-11,-0.19355147
2023-06-12,-0.17571488
2023-06-13,-0.17946382
2023-06-14,-0.17432512
2023-06-15,-0.17023338
2023-06-16,-0.17342651
2023-06-17,-0.17168494
2023-06-18,-0.178646
2023-06-19,-0.17032346
2023-06-20,-0.17876168
2023-06-21,-0.17700806
2023-06-22,-0.2072096
2023-06-23,-0.20849441
2023-06-24,-0.22019981
2023-06-25,-0.21359055
2023-06-26,-0.21409646
2023-06-27,-0.2112659
2023-06-28,-0.21249743
2023-06-29,-0.20981202
2023-06-30,-0.20938395
2023-07-01,-0.21083826
2023-07-02,-0.19560535
2023-07-03,-0.19195202
2023-07-04,-0.20180698
2023-07-05,-0.19775732
2023-07-06,-0.19745515
2023-07-07,-0.19517578
2023-07-08,-0.1971634
2023-07-09,-0.19504344
2023-07-10,-0.19348723
2023-07-11,-0.19322754
2023-07-12,-0.20485245
2023-07-13,-0.20447923
2023-07-14,-0.20499788
2023-07-15,-0.20773712
2023-07-16,-0.20339896
2023-07-17,-0.20482978
2023-07-18,-0.19614
2023-07-19,-0.19609717
2023-07-20,-0.20442164
2023-07-21,-0.20721926
2023-07-22,-0.18974897
2023-07-23,-0.18797103
2023-07-24,-0.18345457
2023-07-25,-0.18493508
2023-07-26,-0.19406466
2023-07-27,-0.19031933
2023-07-28,-0.19315867
2023-07-29,-0.18566139
2023-07-30,-0.18748683
2023-07-31,-0.18289599
2023-08-01,-0.24008235
2023-08-02,-0.23677535
2023-08-03,-0.24185295
2023-08-04,-0.24450566
2023-08-05,-0.24261284
2023-08-06,-0.24190576
2023-08-07,-0.24619885
2023-08-08,-0.24278814
2023-08-09,-0.23943184
2023-08-10,-0.24139705
2023-08-11,-0.21240884
2023-08-12,-0.20242478
2023-08-13,-0.21124436
2023-08-14,-0.21229023
2023-08-15,-0.20651932
2023-08-16,-0.20741776
2023-08-17,-0.20994586
2023-08-18,-0.20825368
2023-08-19,-0.20543616
2023-08-20,-0.20528336
2023-08-21,-0.2496821
2023-08-22,-0.2604512
2023-08-23,-0.24883084
2023-08-24,-0.2508445
2023-08-25,-0.2568534
2023-08-26,-0.24876246
2023-08-27,-0.24575439
2023-08-28,-0.25684208
2023-08-29,-0.24435711
2023-08-30,-0.24835567
2023-08-31,-0.29892775
2023-09-01,-0.30401498
2023-09-02,-0.28805348
2023-09-03,-0.30815756
2023-09-04,-0.29605752
2023-09-05,-0.29171854
2023-09-06,-0.2953367
2023-09-07,-0.29504308
2023-09-08,-0.29303733
2023-09-09,-0.29599115
2023-09-10,-0.27679062
2023-09-11,-0.2787264
2023-09-12,-0.27677563
2023-09-13,-0.28092936
2023-09-14,-0.2703284
2023-09-15,-0.26981792
2023-09-16,-0.28312826
2023-09-17,-0.27263534
2023-09-18,-0.2828313
2023-09-19,-0.27076614
2023-09-20,-0.25694856
2023-09-21,-0.2609489
2023-09-22,-0.24189252
2023-09-23,-0.25317842
2023-09-24,-0.25351605
2023-09-25,-0.24999611
2023-09-26,-0.25062734
2023-09-27,-0.24639703
2023-09-28,-0.25227123
2023-09-29,-0.25667268
2023-09-30,-0.2297639
2023-10-01,-0.23020674
2023-10-02,-0.23113155
2023-10-03,-0.2336536
2023-10-04,-0.22360386
2023-10-05,-0.22746482
2023-10-06,-0.23575157
2023-10-07,-0.2203938
2023-10-08,-0.23012023
2023-10-09,-0.23258688
2023-10-10,-0.2314506
2023-10-11,-0.23467268
2023-10-12,-0.2301545
2023-10-13,-0.23778822
2023-10-14,-0.24201013
2023-10-15,-0.23954764
2023-10-16,-0.2393126
2023-10-17,-0.23480672
2023-10-18,-0.23349904
2023-10-19,-0.24404013
2023-10-20,-0.23449406
2023-10-21,-0.23833002
