Date,Forecast
2023-05-03,-0.22134487
2023-05-04,-0.21688256
2023-05-05,-0.2224888
2023-05-06,-0.22100101
2023-05-07,-0.2175852
2023-05-08,-0.22231522
2023-05-09,-0.21786913
2023-05-10,-0.22480814
2023-05-11,-0.22005366
2023-05-12,-0.22144686
2023-05-13,-0.191391
2023-05-14,-0.20424661
2023-05-15,-0.1945154
2023-05-16,-0.19665867
2023-05-17,-0.19893733
2023-05-18,-0.19403692
2023-05-19,-0.19160266
2023-05-20,-0.18675768
2023-05-21,-0.19479443
2023-05-22,-0.19740164
2023-05-23,-0.16920608
2023-05-24,-0.16387312
2023-05-25,-0.1580876
2023-05-26,-0.16803324
2023-05-27,-0.16845527
2023-05-28,-0.17091875
2023-05-29,-0.17078987
2023-05-30,-0.1676651
2023-05-31,-0.16136801
2023-06-01,-0.16600159
2023-06-02,-0.14537261
2023-06-03,-0.16107462
2023-06-04,-0.15788908
2023-06-05,-0.15903795
2023-06-06,-0.14742662
2023-06-07,-0.14495654
2023-06-08,-0.15617496
2023-06-09,-0.16350813
2023-06-10,-0.17022394
2023-06-11,-0.18298934
2023-06-12,-0.19633499
2023-06-13,-0.18585289
2023-06-14,-0.18804078
2023-06-15,-0.1951879
2023-06-16,-0.18946952
2023-06-17,-0.18576127
2023-06-18,-0.1811383
2023-06-19,-0.18623954
2023-06-20,-0.19092704
2023-06-21,-0.18201846
2023-06-22,-0.21712267
2023-06-23,-0.21115814
2023-06-24,-0.21575077
2023-06-25,-0.20910007
2023-06-26,-0.2104559
2023-06-27,-0.21052526
2023-06-28,-0.21290022
2023-06-29,-0.22008404
2023-06-30,-0.20725265
2023-07-01,-0.20699705
2023-07-02,-0.19694749
2023-07-03,-0.19338928
2023-07-04,-0.1955016
2023-07-05,-0.19584474
2023-07-06,-0.19418198
2023-07-07,-0.19447206
2023-07-08,-0.19487375
2023-07-09,-0.1933798
2023-07-10,-0.19571072
2023-07-11,-0.19442594
2023-07-12,-0.20265414
2023-07-13,-0.20187956
2023-07-14,-0.20539857
2023-07-15,-0.20407154
2023-07-16,-0.19899036
2023-07-17,-0.2035304
2023-07-18,-0.19768594
2023-07-19,-0.19925243
2023-07-20,-0.20298535
2023-07-21,-0.1976498
2023-07-22,-0.18569249
2023-07-23,-0.18118237
2023-07-24,-0.18089467
2023-07-25,-0.18662608
2023-07-26,-0.18174475
2023-07-27,-0.17983216
2023-07-28,-0.18118428
2023-07-29,-0.18491536
2023-07-30,-0.17847954
2023-07-31,-0.18467411
2023-08-01,-0.219462
2023-08-02,-0.22378232
2023-08-03,-0.22720376
2023-08-04,-0.2297863
2023-08-05,-0.21629801
2023-08-06,-0.22504863
2023-08-07,-0.22260278
2023-08-08,-0.21727264
2023-08-09,-0.22485143
2023-08-10,-0.22130564
2023-08-11,-0.1793723
2023-08-12,-0.19104077
2023-08-13,-0.1984062
