Date,Forecast
2023-05-03,-0.020646967
2023-05-04,-0.018412447
2023-05-05,-0.018239543
2023-05-06,-0.01969313
2023-05-07,-0.020705309
2023-05-08,-0.022241915
2023-05-09,-0.02195318
2023-05-10,-0.019854939
2023-05-11,-0.021741189
2023-05-12,-0.022995956
2023-05-13,-0.026000049
2023-05-14,-0.025563234
2023-05-15,-0.02598045
2023-05-16,-0.025843367
2023-05-17,-0.025500853
2023-05-18,-0.026646502
2023-05-19,-0.025877664
2023-05-20,-0.025194243
2023-05-21,-0.026781395
2023-05-22,-0.025844052
2023-05-23,-0.028032262
2023-05-24,-0.02795186
2023-05-25,-0.028256908
2023-05-26,-0.02780531
2023-05-27,-0.028309986
2023-05-28,-0.027627075
2023-05-29,-0.027703762
2023-05-30,-0.027505958
2023-05-31,-0.027358986
2023-06-01,-0.02745707
2023-06-02,-0.031910792
2023-06-03,-0.03138897
2023-06-04,-0.032456517
2023-06-05,-0.032355864
2023-06-06,-0.032817096
2023-06-07,-0.032144558
2023-06-08,-0.032245044
2023-06-09,-0.03293123
2023-06-10,-0.03203517
2023-06-11,-0.03152358
2023-06-12,-0.026258238
2023-06-13,-0.02599323
2023-06-14,-0.026620317
2023-06-15,-0.025685906
2023-06-16,-0.026394898
2023-06-17,-0.02698654
2023-06-18,-0.026523052
2023-06-19,-0.026530512
2023-06-20,-0.025935378
2023-06-21,-0.026767844
2023-06-22,-0.014833285
2023-06-23,-0.014237907
2023-06-24,-0.013904657
2023-06-25,-0.01570207
2023-06-26,-0.015773805
2023-06-27,-0.016141824
2023-06-28,-0.019128712
2023-06-29,-0.019489126
2023-06-30,-0.018743202
2023-07-01,-0.019684138
2023-07-02,-0.016555779
2023-07-03,-0.015375476
2023-07-04,-0.016638061
2023-07-05,-0.016360907
2023-07-06,-0.018676618
2023-07-07,-0.018845355
2023-07-08,-0.018184368
2023-07-09,-0.019230919
2023-07-10,-0.018864004
2023-07-11,-0.019818788
2023-07-12,-0.017981034
2023-07-13,-0.018115416
2023-07-14,-0.017325135
2023-07-15,-0.018642914
2023-07-16,-0.017973084
2023-07-17,-0.017609501
2023-07-18,-0.017630544
2023-07-19,-0.018567009
2023-07-20,-0.017626448
2023-07-21,-0.018966902
2023-07-22,-0.016396644
2023-07-23,-0.016568482
2023-07-24,-0.016264714
2023-07-25,-0.016357968
2023-07-26,-0.016850911
2023-07-27,-0.016472753
2023-07-28,-0.016561765
2023-07-29,-0.016410992
2023-07-30,-0.016569598
2023-07-31,-0.01678481
2023-08-01,-0.017302804
2023-08-02,-0.016556503
2023-08-03,-0.017221365
2023-08-04,-0.017124934
2023-08-05,-0.017826347
2023-08-06,-0.017160453
2023-08-07,-0.016831623
2023-08-08,-0.017515007
2023-08-09,-0.017460713
2023-08-10,-0.017286984
2023-08-11,-0.03375788
2023-08-12,-0.033701565
2023-08-13,-0.034229577
2023-08-14,-0.03296493
2023-08-15,-0.03418389
2023-08-16,-0.03422891
2023-08-17,-0.034718193
2023-08-18,-0.033583272
2023-08-19,-0.034103524
2023-08-20,-0.032855745
2023-08-21,-0.025659109
2023-08-22,-0.025509832
2023-08-23,-0.025988767
2023-08-24,-0.025678163
2023-08-25,-0.025447778
2023-08-26,-0.024784734
2023-08-27,-0.025985949
2023-08-28,-0.025331486
2023-08-29,-0.025670795
2023-08-30,-0.0253478
2023-08-31,-0.021083426
2023-09-01,-0.02062647
2023-09-02,-0.020832758
2023-09-03,-0.020583201
2023-09-04,-0.02054894
2023-09-05,-0.020608043
2023-09-06,-0.020927394
2023-09-07,-0.021492725
2023-09-08,-0.021069894
2023-09-09,-0.019755222
2023-09-10,-0.017023306
2023-09-11,-0.017867351
2023-09-12,-0.017143764
2023-09-13,-0.017150821
2023-09-14,-0.017524973
2023-09-15,-0.018192627
