Date,Forecast
2023-05-03,-0.21764946
2023-05-04,-0.21261705
2023-05-05,-0.2169308
2023-05-06,-0.2113992
2023-05-07,-0.21551071
2023-05-08,-0.2122315
2023-05-09,-0.21202083
2023-05-10,-0.2147844
2023-05-11,-0.21428621
2023-05-12,-0.21255632
2023-05-13,-0.18703568
2023-05-14,-0.19548412
2023-05-15,-0.19517356
2023-05-16,-0.19398527
2023-05-17,-0.19163613
2023-05-18,-0.19345196
2023-05-19,-0.1934315
2023-05-20,-0.19487032
2023-05-21,-0.19528472
2023-05-22,-0.18484363
2023-05-23,-0.17241003
2023-05-24,-0.1692194
2023-05-25,-0.17348717
2023-05-26,-0.16681165
2023-05-27,-0.17114578
2023-05-28,-0.16544452
2023-05-29,-0.18029699
2023-05-30,-0.1664932
2023-05-31,-0.16791303
2023-06-01,-0.16604021
2023-06-02,-0.15595613
2023-06-03,-0.15006426
2023-06-04,-0.1562618
2023-06-05,-0.15354705
2023-06-06,-0.157615
2023-06-07,-0.14708555
2023-06-08,-0.15026198
2023-06-09,-0.14764005
2023-06-10,-0.17095654
2023-06-11,-0.17649212
2023-06-12,-0.19309555
2023-06-13,-0.1851974
2023-06-14,-0.18740301
2023-06-15,-0.18378338
2023-06-16,-0.1878005
2023-06-17,-0.18708746
2023-06-18,-0.18722269
2023-06-19,-0.18681262
2023-06-20,-0.18689886
2023-06-21,-0.184516
2023-06-22,-0.21691425
2023-06-23,-0.21106237
2023-06-24,-0.20456854
2023-06-25,-0.2073223
2023-06-26,-0.20807618
2023-06-27,-0.21031852
2023-06-28,-0.21141247
2023-06-29,-0.21130632
2023-06-30,-0.21177872
2023-07-01,-0.21064307
2023-07-02,-0.19159241
2023-07-03,-0.19265327
2023-07-04,-0.19034222
2023-07-05,-0.1888483
2023-07-06,-0.18665765
2023-07-07,-0.18740702
2023-07-08,-0.18844272
2023-07-09,-0.18811302
2023-07-10,-0.18597639
2023-07-11,-0.18911307
2023-07-12,-0.20090276
2023-07-13,-0.19655478
2023-07-14,-0.19748332
2023-07-15,-0.19923045
2023-07-16,-0.1991723
2023-07-17,-0.198822
2023-07-18,-0.20299843
2023-07-19,-0.19585359
2023-07-20,-0.20214158
2023-07-21,-0.20030367
2023-07-22,-0.18563624
2023-07-23,-0.18374722
2023-07-24,-0.17925717
2023-07-25,-0.18601821
2023-07-26,-0.18789032
2023-07-27,-0.17832443
2023-07-28,-0.18356714
2023-07-29,-0.18305995
2023-07-30,-0.18280865
2023-07-31,-0.18382436
2023-08-01,-0.22039704
2023-08-02,-0.21982893
2023-08-03,-0.21462357
2023-08-04,-0.21940652
2023-08-05,-0.22283657
2023-08-06,-0.21948206
2023-08-07,-0.21148784
2023-08-08,-0.21988969
2023-08-09,-0.21873918
2023-08-10,-0.22340518
2023-08-11,-0.19521219
2023-08-12,-0.19206904
2023-08-13,-0.19925892
2023-08-14,-0.19196273
2023-08-15,-0.18542784
2023-08-16,-0.19062145
2023-08-17,-0.19509275
2023-08-18,-0.19313487
2023-08-19,-0.19864874
2023-08-20,-0.19338275
2023-08-21,-0.20479228
2023-08-22,-0.20790829
2023-08-23,-0.20453608
2023-08-24,-0.2052038
2023-08-25,-0.2046685
2023-08-26,-0.2055756
2023-08-27,-0.20908317
2023-08-28,-0.20504202
2023-08-29,-0.20737173
2023-08-30,-0.2120242
2023-08-31,-0.25267932
2023-09-01,-0.25031072
2023-09-02,-0.25327197
2023-09-03,-0.24752101
2023-09-04,-0.25113648
2023-09-05,-0.24397135
2023-09-06,-0.2502807
2023-09-07,-0.24881688
2023-09-08,-0.25102937
2023-09-09,-0.25398526
2023-09-10,-0.21734346
2023-09-11,-0.22752498
2023-09-12,-0.22451572
2023-09-13,-0.226308
2023-09-14,-0.23546451
2023-09-15,-0.22195768
2023-09-16,-0.22415917
2023-09-17,-0.22744644
2023-09-18,-0.23164655
2023-09-19,-0.21897931
2023-09-20,-0.2149009
2023-09-21,-0.21859196
2023-09-22,-0.21954103
2023-09-23,-0.21944514
2023-09-24,-0.21862589
2023-09-25,-0.21356149
2023-09-26,-0.21391314
2023-09-27,-0.21603014
2023-09-28,-0.21392845
2023-09-29,-0.21139853
2023-09-30,-0.20092358
2023-10-01,-0.20307213
2023-10-02,-0.19932678
2023-10-03,-0.20085867
2023-10-04,-0.19643533
2023-10-05,-0.19904609
2023-10-06,-0.1965514
2023-10-07,-0.19582026
2023-10-08,-0.1984874
2023-10-09,-0.19958892
2023-10-10,-0.20068613
2023-10-11,-0.19928114
2023-10-12,-0.20252441
2023-10-13,-0.20551558
2023-10-14,-0.21293013
2023-10-15,-0.20314886
2023-10-16,-0.20203353
2023-10-17,-0.20401639
2023-10-18,-0.2051974
2023-10-19,-0.19952393
2023-10-20,-0.21049362
2023-10-21,-0.21137723
2023-10-22,-0.21241088
2023-10-23,-0.21357238
2023-10-24,-0.21149963
2023-10-25,-0.21217687
2023-10-26,-0.21094158
2023-10-27,-0.20903322
2023-10-28,-0.21317938
2023-10-29,-0.2064128
2023-10-30,-0.21197185
2023-10-31,-0.21174744
2023-11-01,-0.21813227
2023-11-02,-0.20926537
2023-11-03,-0.20759873
2023-11-04,-0.21720357
2023-11-05,-0.21320917
2023-11-06,-0.21502692
2023-11-07,-0.20888954
2023-11-08,-0.21371467
2023-11-09,-0.18040174
2023-11-10,-0.18272491
2023-11-11,-0.18082249
2023-11-12,-0.18675342
2023-11-13,-0.18330133
2023-11-14,-0.186455
2023-11-15,-0.1837285
2023-11-16,-0.1832943
2023-11-17,-0.18588412
2023-11-18,-0.17775875
2023-11-19,-0.18239129
2023-11-20,-0.19314453
2023-11-21,-0.19143018
2023-11-22,-0.18538623
2023-11-23,-0.19360156
2023-11-24,-0.1908279
2023-11-25,-0.18944481
2023-11-26,-0.18357475
2023-11-27,-0.18796697
2023-11-28,-0.1915593
2023-11-29,-0.19683427
2023-11-30,-0.19135366
2023-12-01,-0.19370624
2023-12-02,-0.19302233
2023-12-03,-0.19405985
2023-12-04,-0.18944116
2023-12-05,-0.19218327
2023-12-06,-0.19463156
2023-12-07,-0.19789259
2023-12-08,-0.19177741
2023-12-09,-0.1959412
2023-12-10,-0.1932243
2023-12-11,-0.1976595
2023-12-12,-0.19727512
2023-12-13,-0.19097827
2023-12-14,-0.18865646
