Date,Forecast
2023-05-03,-0.22535023
2023-05-04,-0.22818458
2023-05-05,-0.22357404
2023-05-06,-0.22476907
2023-05-07,-0.22794268
2023-05-08,-0.23385789
2023-05-09,-0.22821127
2023-05-10,-0.22673282
2023-05-11,-0.22287619
2023-05-12,-0.22352861
2023-05-13,-0.19710988
2023-05-14,-0.19425707
2023-05-15,-0.19756815
2023-05-16,-0.20205
2023-05-17,-0.20154558
2023-05-18,-0.19669582
2023-05-19,-0.19162026
2023-05-20,-0.19354114
2023-05-21,-0.19292974
2023-05-22,-0.19387059
2023-05-23,-0.15771657
2023-05-24,-0.1568868
2023-05-25,-0.13803554
2023-05-26,-0.13781093
2023-05-27,-0.16057806
2023-05-28,-0.16070014
2023-05-29,-0.15659323
2023-05-30,-0.16726524
2023-05-31,-0.16322075
2023-06-01,-0.16464819
2023-06-02,-0.13989452
2023-06-03,-0.15403756
2023-06-04,-0.16310614
2023-06-05,-0.15685798
2023-06-06,-0.1591995
2023-06-07,-0.1650276
2023-06-08,-0.1639689
2023-06-09,-0.17697264
2023-06-10,-0.19119608
2023-06-11,-0.20363215
2023-06-12,-0.1962475
2023-06-13,-0.1987653
2023-06-14,-0.2022782
2023-06-15,-0.20272945
2023-06-16,-0.19657236
2023-06-17,-0.20289297
2023-06-18,-0.19660658
2023-06-19,-0.19536105
2023-06-20,-0.19874151
2023-06-21,-0.19931562
2023-06-22,-0.23000573
2023-06-23,-0.22504269
2023-06-24,-0.22740267
2023-06-25,-0.22426982
2023-06-26,-0.21847314
2023-06-27,-0.22775774
2023-06-28,-0.22647294
2023-06-29,-0.2220502
2023-06-30,-0.22611898
2023-07-01,-0.22447227
2023-07-02,-0.21730071
2023-07-03,-0.21619171
2023-07-04,-0.2135341
2023-07-05,-0.21588062
2023-07-06,-0.21012962
2023-07-07,-0.21766847
2023-07-08,-0.2130014
2023-07-09,-0.20106474
2023-07-10,-0.21250315
2023-07-11,-0.20902006
2023-07-12,-0.21741892
2023-07-13,-0.22142671
2023-07-14,-0.2227115
2023-07-15,-0.21008062
2023-07-16,-0.21048762
2023-07-17,-0.22038324
2023-07-18,-0.22888508
2023-07-19,-0.21971838
2023-07-20,-0.21729481
2023-07-21,-0.21573219
2023-07-22,-0.19813251
2023-07-23,-0.20069206
2023-07-24,-0.2041183
2023-07-25,-0.20131075
2023-07-26,-0.20258309
2023-07-27,-0.20177841
2023-07-28,-0.20019718
2023-07-29,-0.20827144
2023-07-30,-0.19615105
2023-07-31,-0.19369823
2023-08-01,-0.2643013
2023-08-02,-0.26817673
2023-08-03,-0.25912204
2023-08-04,-0.25768548
2023-08-05,-0.2625917
2023-08-06,-0.26457492
2023-08-07,-0.25829715
2023-08-08,-0.26382178
2023-08-09,-0.26367298
2023-08-10,-0.25671887
2023-08-11,-0.21698391
2023-08-12,-0.22014429
2023-08-13,-0.22148512
2023-08-14,-0.21218218
2023-08-15,-0.2110886
2023-08-16,-0.220454
2023-08-17,-0.22420837
2023-08-18,-0.21889709
2023-08-19,-0.22418818
2023-08-20,-0.21938016
2023-08-21,-0.2602889
2023-08-22,-0.2600609
2023-08-23,-0.25709993
2023-08-24,-0.26169303
2023-08-25,-0.25523734
2023-08-26,-0.25335616
2023-08-27,-0.26050797
2023-08-28,-0.26006335
2023-08-29,-0.26137817
2023-08-30,-0.2559606
2023-08-31,-0.31133428
2023-09-01,-0.2756091
2023-09-02,-0.31456542
2023-09-03,-0.3061697
2023-09-04,-0.3048351
2023-09-05,-0.2987422
2023-09-06,-0.298738
2023-09-07,-0.30838054
2023-09-08,-0.31397074
2023-09-09,-0.30854222
2023-09-10,-0.26922613
2023-09-11,-0.2714202
2023-09-12,-0.27581835
2023-09-13,-0.27872503
2023-09-14,-0.2650738
2023-09-15,-0.2660867
2023-09-16,-0.28067034
2023-09-17,-0.28767708
2023-09-18,-0.2662074
2023-09-19,-0.27567506
2023-09-20,-0.26229975
2023-09-21,-0.247206
2023-09-22,-0.24495836
2023-09-23,-0.25521815
2023-09-24,-0.24661082
2023-09-25,-0.2520622
2023-09-26,-0.25380757
2023-09-27,-0.25220788
2023-09-28,-0.2584653
2023-09-29,-0.24481337
2023-09-30,-0.23125218
2023-10-01,-0.22342196
2023-10-02,-0.22741966
2023-10-03,-0.22456203
2023-10-04,-0.22384587
2023-10-05,-0.22347727
2023-10-06,-0.22584118
2023-10-07,-0.22278568
2023-10-08,-0.2248037
2023-10-09,-0.23234366
2023-10-10,-0.23520055
2023-10-11,-0.23070742
2023-10-12,-0.2278734
2023-10-13,-0.23940107
2023-10-14,-0.23381585
2023-10-15,-0.2321658
2023-10-16,-0.23443067
2023-10-17,-0.22345136
2023-10-18,-0.22812237
2023-10-19,-0.22993664
2023-10-20,-0.23809315
2023-10-21,-0.24827155
2023-10-22,-0.24078758
2023-10-23,-0.23836951
2023-10-24,-0.23387843
2023-10-25,-0.23825377
2023-10-26,-0.22982289
2023-10-27,-0.24449745
2023-10-28,-0.24041292
2023-10-29,-0.22996122
2023-10-30,-0.23683277
2023-10-31,-0.25292012
2023-11-01,-0.24599643
2023-11-02,-0.23356806
2023-11-03,-0.2405845
2023-11-04,-0.23973787
2023-11-05,-0.23958401
2023-11-06,-0.23852049
2023-11-07,-0.24215111
2023-11-08,-0.24530594
2023-11-09,-0.19564182
2023-11-10,-0.19516864
2023-11-11,-0.1970681
2023-11-12,-0.20272318
2023-11-13,-0.19354427
2023-11-14,-0.19928563
2023-11-15,-0.19342013
2023-11-16,-0.19712672
2023-11-17,-0.20009285
2023-11-18,-0.19506504
2023-11-19,-0.21134216
2023-11-20,-0.20160861
2023-11-21,-0.20991027
