Date,Forecast
2023-05-03,-0.22035855
2023-05-04,-0.21473294
2023-05-05,-0.2149097
2023-05-06,-0.21553156
2023-05-07,-0.20560199
2023-05-08,-0.21445453
2023-05-09,-0.21375388
2023-05-10,-0.2193513
2023-05-11,-0.21286972
2023-05-12,-0.21292801
2023-05-13,-0.19037199
2023-05-14,-0.1905489
2023-05-15,-0.1913726
2023-05-16,-0.19135536
2023-05-17,-0.1881882
2023-05-18,-0.18744613
2023-05-19,-0.1931805
2023-05-20,-0.18925467
2023-05-21,-0.18722254
2023-05-22,-0.19068168
2023-05-23,-0.15812361
2023-05-24,-0.1453783
2023-05-25,-0.14544766
2023-05-26,-0.15020472
2023-05-27,-0.16056539
2023-05-28,-0.17082664
2023-05-29,-0.16022609
2023-05-30,-0.1666898
2023-05-31,-0.1627798
2023-06-01,-0.17203128
2023-06-02,-0.13574356
2023-06-03,-0.13303493
2023-06-04,-0.15461464
2023-06-05,-0.15428631
2023-06-06,-0.15040478
2023-06-07,-0.1402718
2023-06-08,-0.14995505
2023-06-09,-0.1736166
2023-06-10,-0.17390211
2023-06-11,-0.17601304
2023-06-12,-0.18921162
2023-06-13,-0.18746363
2023-06-14,-0.18603803
2023-06-15,-0.18640485
2023-06-16,-0.18284082
2023-06-17,-0.19168702
2023-06-18,-0.18523122
2023-06-19,-0.18676077
2023-06-20,-0.1860291
2023-06-21,-0.18562537
2023-06-22,-0.2160176
2023-06-23,-0.20755011
2023-06-24,-0.21654478
2023-06-25,-0.2128263
2023-06-26,-0.21325758
2023-06-27,-0.2148209
2023-06-28,-0.21423198
2023-06-29,-0.2199274
2023-06-30,-0.21262848
2023-07-01,-0.21941173
2023-07-02,-0.20243683
2023-07-03,-0.20743732
2023-07-04,-0.20476452
2023-07-05,-0.20078242
2023-07-06,-0.20186105
2023-07-07,-0.2163158
2023-07-08,-0.19694158
2023-07-09,-0.19842467
2023-07-10,-0.20501423
2023-07-11,-0.2052617
2023-07-12,-0.20758691
2023-07-13,-0.21330574
2023-07-14,-0.20995262
2023-07-15,-0.21297686
2023-07-16,-0.20971477
2023-07-17,-0.2077146
2023-07-18,-0.2154629
2023-07-19,-0.20355578
2023-07-20,-0.20174491
2023-07-21,-0.20349668
2023-07-22,-0.18891779
2023-07-23,-0.17750977
2023-07-24,-0.18913187
2023-07-25,-0.18661943
2023-07-26,-0.183758
2023-07-27,-0.18736094
2023-07-28,-0.18371399
2023-07-29,-0.19564827
2023-07-30,-0.18772574
2023-07-31,-0.19183683
2023-08-01,-0.23508325
2023-08-02,-0.23589848
2023-08-03,-0.24036634
2023-08-04,-0.22472768
2023-08-05,-0.23408176
2023-08-06,-0.23815046
2023-08-07,-0.2341519
2023-08-08,-0.22939588
2023-08-09,-0.23551078
2023-08-10,-0.23368847
2023-08-11,-0.20294338
2023-08-12,-0.19514677
2023-08-13,-0.20155527
2023-08-14,-0.20485695
2023-08-15,-0.20310915
2023-08-16,-0.19632654
2023-08-17,-0.1987192
2023-08-18,-0.20162971
2023-08-19,-0.20058303
2023-08-20,-0.19960873
2023-08-21,-0.23270102
2023-08-22,-0.23590639
2023-08-23,-0.23487058
2023-08-24,-0.23025069
2023-08-25,-0.23445293
2023-08-26,-0.21754481
2023-08-27,-0.22565201
2023-08-28,-0.23091744
2023-08-29,-0.23031427
2023-08-30,-0.22936898
