Date,Forecast
2023-05-03,-0.2180522
2023-05-04,-0.21906817
2023-05-05,-0.22247261
2023-05-06,-0.21687603
2023-05-07,-0.22170821
2023-05-08,-0.2205211
2023-05-09,-0.21394621
2023-05-10,-0.22201465
2023-05-11,-0.21750984
2023-05-12,-0.21495983
2023-05-13,-0.19040705
2023-05-14,-0.19511612
2023-05-15,-0.1969881
2023-05-16,-0.19745192
2023-05-17,-0.19159003
2023-05-18,-0.19086617
2023-05-19,-0.186937
2023-05-20,-0.1794915
2023-05-21,-0.19800931
2023-05-22,-0.19405687
2023-05-23,-0.16057347
2023-05-24,-0.16009419
2023-05-25,-0.14281555
2023-05-26,-0.15542829
2023-05-27,-0.17164794
2023-05-28,-0.1685255
2023-05-29,-0.1697607
2023-05-30,-0.16660662
2023-05-31,-0.16544716
2023-06-01,-0.1682203
2023-06-02,-0.13118142
2023-06-03,-0.13416657
2023-06-04,-0.14990929
2023-06-05,-0.15293705
2023-06-06,-0.14990562
2023-06-07,-0.147667
2023-06-08,-0.15687104
2023-06-09,-0.17388451
2023-06-10,-0.17162247
2023-06-11,-0.18663503
2023-06-12,-0.17921661
2023-06-13,-0.17859016
2023-06-14,-0.18238437
2023-06-15,-0.18214858
2023-06-16,-0.17748469
2023-06-17,-0.18340185
2023-06-18,-0.18247516
2023-06-19,-0.17938718
2023-06-20,-0.18164903
2023-06-21,-0.18217671
2023-06-22,-0.20872605
2023-06-23,-0.2087037
2023-06-24,-0.21134275
2023-06-25,-0.21090299
2023-06-26,-0.21132948
2023-06-27,-0.21653175
2023-06-28,-0.21438052
2023-06-29,-0.21060684
2023-06-30,-0.21659435
2023-07-01,-0.21219172
2023-07-02,-0.1983782
2023-07-03,-0.19582641
2023-07-04,-0.18951851
2023-07-05,-0.19101967
2023-07-06,-0.19193417
2023-07-07,-0.19140932
2023-07-08,-0.19419786
2023-07-09,-0.19120903
2023-07-10,-0.18767138
2023-07-11,-0.18969353
2023-07-12,-0.20221525
2023-07-13,-0.20044796
2023-07-14,-0.19668762
2023-07-15,-0.19499242
2023-07-16,-0.2073188
2023-07-17,-0.19739568
2023-07-18,-0.20165649
2023-07-19,-0.19676502
2023-07-20,-0.19887072
2023-07-21,-0.19792753
2023-07-22,-0.18701191
2023-07-23,-0.17753826
2023-07-24,-0.17921542
2023-07-25,-0.18054084
2023-07-26,-0.17002904
2023-07-27,-0.18339166
2023-07-28,-0.17885357
2023-07-29,-0.17628343
2023-07-30,-0.17875482
2023-07-31,-0.17594641
2023-08-01,-0.22478253
2023-08-02,-0.21899258
2023-08-03,-0.22764143
2023-08-04,-0.22020537
2023-08-05,-0.22097987
2023-08-06,-0.22300684
2023-08-07,-0.21795784
2023-08-08,-0.2208162
2023-08-09,-0.21568307
2023-08-10,-0.21546808
2023-08-11,-0.19535702
2023-08-12,-0.19071245
2023-08-13,-0.18989168
2023-08-14,-0.19373623
2023-08-15,-0.19907843
2023-08-16,-0.19163534
2023-08-17,-0.19380772
2023-08-18,-0.19172736
2023-08-19,-0.19064264
2023-08-20,-0.19528845
2023-08-21,-0.203704
2023-08-22,-0.21553184
2023-08-23,-0.21671744
2023-08-24,-0.2099104
2023-08-25,-0.2157584
2023-08-26,-0.20375879
2023-08-27,-0.1977885
2023-08-28,-0.20728423
2023-08-29,-0.20970966
2023-08-30,-0.21026629
2023-08-31,-0.2522455
2023-09-01,-0.25268137
2023-09-02,-0.2463241
2023-09-03,-0.25008103
2023-09-04,-0.2509223
2023-09-05,-0.25212345
2023-09-06,-0.26283327
2023-09-07,-0.2546048
2023-09-08,-0.25052926
2023-09-09,-0.2603696
2023-09-10,-0.23577191
2023-09-11,-0.2328303
2023-09-12,-0.22708566
2023-09-13,-0.22744873
2023-09-14,-0.23159464
2023-09-15,-0.23465641
2023-09-16,-0.2281631
2023-09-17,-0.23282903
2023-09-18,-0.22548424
2023-09-19,-0.22667782
2023-09-20,-0.21802305
2023-09-21,-0.2196895
2023-09-22,-0.21242872
2023-09-23,-0.22215694
2023-09-24,-0.21793953
2023-09-25,-0.21433717
2023-09-26,-0.21337429
2023-09-27,-0.21679427
2023-09-28,-0.21985257
2023-09-29,-0.21558204
2023-09-30,-0.20615885
2023-10-01,-0.19571161
2023-10-02,-0.19974236
2023-10-03,-0.19956373
2023-10-04,-0.19681397
2023-10-05,-0.207668
2023-10-06,-0.2017661
2023-10-07,-0.2017645
2023-10-08,-0.19391137
2023-10-09,-0.20277482
2023-10-10,-0.2087768
2023-10-11,-0.20701347
2023-10-12,-0.21676861
2023-10-13,-0.20716558
2023-10-14,-0.20598704
2023-10-15,-0.19862047
2023-10-16,-0.20627542
2023-10-17,-0.2090818
2023-10-18,-0.20637482
2023-10-19,-0.20501818
2023-10-20,-0.21387032
2023-10-21,-0.22250167
2023-10-22,-0.2165097
2023-10-23,-0.21554416
2023-10-24,-0.2189106
2023-10-25,-0.20518902
2023-10-26,-0.21907969
2023-10-27,-0.22037813
2023-10-28,-0.21680796
2023-10-29,-0.21655408
2023-10-30,-0.21564022
2023-10-31,-0.2165235
2023-11-01,-0.21790673
2023-11-02,-0.21808821
2023-11-03,-0.21975876
2023-11-04,-0.21542998
2023-11-05,-0.21861334
2023-11-06,-0.21989617
2023-11-07,-0.22226632
2023-11-08,-0.21437347
2023-11-09,-0.18901919
2023-11-10,-0.18737239
2023-11-11,-0.1842266
2023-11-12,-0.18444304
2023-11-13,-0.18693857
2023-11-14,-0.18123512
2023-11-15,-0.18257979
2023-11-16,-0.18972555
2023-11-17,-0.18283135
2023-11-18,-0.18550022
2023-11-19,-0.19268472
2023-11-20,-0.18375887
2023-11-21,-0.189113
2023-11-22,-0.19778994
2023-11-23,-0.19223419
2023-11-24,-0.1882476
2023-11-25,-0.19568676
2023-11-26,-0.19073963
2023-11-27,-0.1888702
2023-11-28,-0.19231395
