Date,Forecast
2023-05-03,-0.21078464
2023-05-04,-0.22028714
2023-05-05,-0.21889992
2023-05-06,-0.2271846
2023-05-07,-0.22450125
2023-05-08,-0.22452463
2023-05-09,-0.21902427
2023-05-10,-0.2228297
2023-05-11,-0.22073874
2023-05-12,-0.21716474
2023-05-13,-0.19126482
2023-05-14,-0.19299085
2023-05-15,-0.18787642
2023-05-16,-0.18938534
2023-05-17,-0.19105422
2023-05-18,-0.1962574
2023-05-19,-0.19049013
2023-05-20,-0.19274515
2023-05-21,-0.19961232
2023-05-22,-0.19412062
2023-05-23,-0.17012207
2023-05-24,-0.15670688
2023-05-25,-0.1583726
2023-05-26,-0.16501258
2023-05-27,-0.1679871
2023-05-28,-0.16968441
2023-05-29,-0.17409544
2023-05-30,-0.1677987
2023-05-31,-0.16388282
2023-06-01,-0.1670778
2023-06-02,-0.14103708
2023-06-03,-0.13998939
2023-06-04,-0.15457636
2023-06-05,-0.13619319
2023-06-06,-0.15677336
2023-06-07,-0.15289305
2023-06-08,-0.15564981
2023-06-09,-0.17275798
2023-06-10,-0.16846338
2023-06-11,-0.18230951
2023-06-12,-0.18755302
2023-06-13,-0.18761942
2023-06-14,-0.17991245
2023-06-15,-0.18293338
2023-06-16,-0.18856171
2023-06-17,-0.16884346
2023-06-18,-0.18360263
2023-06-19,-0.18277484
2023-06-20,-0.18253829
2023-06-21,-0.18607411
2023-06-22,-0.2119567
2023-06-23,-0.20650624
2023-06-24,-0.21649937
2023-06-25,-0.21558334
2023-06-26,-0.20734353
2023-06-27,-0.20970449
2023-06-28,-0.2134606
2023-06-29,-0.21139753
2023-06-30,-0.20807312
2023-07-01,-0.2220544
2023-07-02,-0.19783774
2023-07-03,-0.19944647
2023-07-04,-0.19310504
2023-07-05,-0.20334108
2023-07-06,-0.19014068
2023-07-07,-0.19599804
2023-07-08,-0.1955051
2023-07-09,-0.19547467
2023-07-10,-0.19544825
2023-07-11,-0.19903746
2023-07-12,-0.20312786
2023-07-13,-0.20096706
2023-07-14,-0.1967352
2023-07-15,-0.20769432
2023-07-16,-0.19654411
2023-07-17,-0.20653364
2023-07-18,-0.20050648
2023-07-19,-0.20142394
2023-07-20,-0.19739111
2023-07-21,-0.20167658
2023-07-22,-0.18307243
2023-07-23,-0.1817206
2023-07-24,-0.17923076
2023-07-25,-0.18138874
2023-07-26,-0.1783283
2023-07-27,-0.1768476
2023-07-28,-0.18158512
2023-07-29,-0.18021536
2023-07-30,-0.1874037
2023-07-31,-0.18313584
2023-08-01,-0.22467327
2023-08-02,-0.22491628
2023-08-03,-0.22609381
2023-08-04,-0.22215155
2023-08-05,-0.2232142
2023-08-06,-0.2209205
2023-08-07,-0.22661552
2023-08-08,-0.22317967
2023-08-09,-0.2269484
2023-08-10,-0.23087187
2023-08-11,-0.19897616
2023-08-12,-0.19760484
2023-08-13,-0.19793531
2023-08-14,-0.19951478
2023-08-15,-0.19198722
2023-08-16,-0.19451249
2023-08-17,-0.19403698
2023-08-18,-0.1973943
2023-08-19,-0.19527939
2023-08-20,-0.18855374
2023-08-21,-0.21422714
2023-08-22,-0.21017145
2023-08-23,-0.21758953
2023-08-24,-0.22041239
2023-08-25,-0.21773343
2023-08-26,-0.22308668
2023-08-27,-0.21453623
2023-08-28,-0.21762557
2023-08-29,-0.21160373
2023-08-30,-0.2147725
2023-08-31,-0.25637966
2023-09-01,-0.27043897
2023-09-02,-0.25684097
2023-09-03,-0.2604807
2023-09-04,-0.25662756
