Date,Forecast
2023-05-03,-0.21465592
2023-05-04,-0.2088815
2023-05-05,-0.21201275
2023-05-06,-0.20743664
2023-05-07,-0.21665677
2023-05-08,-0.21528083
2023-05-09,-0.21286847
2023-05-10,-0.2102849
2023-05-11,-0.22004257
2023-05-12,-0.21561281
2023-05-13,-0.18957321
2023-05-14,-0.189615
2023-05-15,-0.19348644
2023-05-16,-0.19280213
2023-05-17,-0.18769388
2023-05-18,-0.18686463
2023-05-19,-0.18636234
2023-05-20,-0.187415
2023-05-21,-0.18724845
2023-05-22,-0.1919777
2023-05-23,-0.15760672
2023-05-24,-0.14998677
2023-05-25,-0.14994782
2023-05-26,-0.13739508
2023-05-27,-0.15583807
2023-05-28,-0.16476479
2023-05-29,-0.16945334
2023-05-30,-0.15744846
2023-05-31,-0.15088063
2023-06-01,-0.16204567
2023-06-02,-0.13767792
2023-06-03,-0.14567983
2023-06-04,-0.15144727
2023-06-05,-0.14417014
2023-06-06,-0.16419931
2023-06-07,-0.14911513
2023-06-08,-0.15554339
2023-06-09,-0.17045139
2023-06-10,-0.1804369
2023-06-11,-0.17718355
2023-06-12,-0.17940496
2023-06-13,-0.17864914
2023-06-14,-0.1824737
2023-06-15,-0.18027811
2023-06-16,-0.1787455
2023-06-17,-0.18253006
2023-06-18,-0.18334922
2023-06-19,-0.17713438
2023-06-20,-0.17866296
2023-06-21,-0.17856446
2023-06-22,-0.2127499
2023-06-23,-0.21420607
2023-06-24,-0.21363993
2023-06-25,-0.21354748
2023-06-26,-0.21543403
2023-06-27,-0.21394859
2023-06-28,-0.21470352
2023-06-29,-0.20869642
2023-06-30,-0.21683909
2023-07-01,-0.20915242
2023-07-02,-0.1952443
2023-07-03,-0.19541585
2023-07-04,-0.1965619
2023-07-05,-0.19588053
2023-07-06,-0.19617432
2023-07-07,-0.19895762
2023-07-08,-0.19467619
2023-07-09,-0.19820392
2023-07-10,-0.19052337
2023-07-11,-0.19433004
2023-07-12,-0.20364113
2023-07-13,-0.19942379
2023-07-14,-0.20457163
2023-07-15,-0.20085724
2023-07-16,-0.20680985
2023-07-17,-0.20282516
2023-07-18,-0.20245233
2023-07-19,-0.19463295
2023-07-20,-0.19196005
2023-07-21,-0.19626184
2023-07-22,-0.18744783
2023-07-23,-0.17778367
2023-07-24,-0.18720524
2023-07-25,-0.18881537
2023-07-26,-0.18648821
2023-07-27,-0.18627882
2023-07-28,-0.18084125
2023-07-29,-0.18282482
2023-07-30,-0.18115951
2023-07-31,-0.1855712
2023-08-01,-0.23588106
2023-08-02,-0.22355494
2023-08-03,-0.23419395
2023-08-04,-0.22698966
2023-08-05,-0.22722782
2023-08-06,-0.23415986
2023-08-07,-0.22692946
2023-08-08,-0.23311906
2023-08-09,-0.22952639
2023-08-10,-0.23602293
2023-08-11,-0.19674766
2023-08-12,-0.1993387
2023-08-13,-0.19743966
2023-08-14,-0.21049193
2023-08-15,-0.19636855
2023-08-16,-0.19709274
2023-08-17,-0.2097236
2023-08-18,-0.20316818
2023-08-19,-0.19975767
2023-08-20,-0.19174969
2023-08-21,-0.22224084
2023-08-22,-0.23243582
2023-08-23,-0.23220469
2023-08-24,-0.22796904
2023-08-25,-0.22766581
2023-08-26,-0.22572199
2023-08-27,-0.22790411
2023-08-28,-0.22390658
2023-08-29,-0.22026289
2023-08-30,-0.2253379
2023-08-31,-0.2658653
2023-09-01,-0.2658289
2023-09-02,-0.2630998
2023-09-03,-0.271724
2023-09-04,-0.26731843
2023-09-05,-0.26924276
2023-09-06,-0.26175717
2023-09-07,-0.26560056
2023-09-08,-0.26741883
2023-09-09,-0.26422825
2023-09-10,-0.25785
2023-09-11,-0.25074857
2023-09-12,-0.25208536
2023-09-13,-0.25655124
2023-09-14,-0.24085717
2023-09-15,-0.24923687
2023-09-16,-0.24974567
2023-09-17,-0.24744812
2023-09-18,-0.24699122
2023-09-19,-0.25436443
2023-09-20,-0.2256534
2023-09-21,-0.2408666
2023-09-22,-0.2295197
2023-09-23,-0.22847119
2023-09-24,-0.23584183
2023-09-25,-0.22934662
2023-09-26,-0.22842143
2023-09-27,-0.2277998
2023-09-28,-0.23050103
2023-09-29,-0.23373693
2023-09-30,-0.21304211
2023-10-01,-0.21698543
2023-10-02,-0.21437138
2023-10-03,-0.20370962
2023-10-04,-0.20591043
2023-10-05,-0.21831402
2023-10-06,-0.21539138
2023-10-07,-0.20989928
2023-10-08,-0.21700864
2023-10-09,-0.2099255
2023-10-10,-0.22084442
2023-10-11,-0.21829508
2023-10-12,-0.22682951
2023-10-13,-0.21798827
2023-10-14,-0.22097062
2023-10-15,-0.2268941
2023-10-16,-0.22332673
2023-10-17,-0.22149773
2023-10-18,-0.22211926
2023-10-19,-0.22799128
2023-10-20,-0.22372538
2023-10-21,-0.23150411
2023-10-22,-0.22688267
2023-10-23,-0.22421144
2023-10-24,-0.23398755
2023-10-25,-0.2262433
2023-10-26,-0.22487038
2023-10-27,-0.23512764
2023-10-28,-0.23530634
2023-10-29,-0.23266134
2023-10-30,-0.22303508
2023-10-31,-0.23939547
2023-11-01,-0.23518537
2023-11-02,-0.23695385
2023-11-03,-0.23871092
2023-11-04,-0.2249259
2023-11-05,-0.23838997
2023-11-06,-0.23658596
2023-11-07,-0.23744966
2023-11-08,-0.23525394
2023-11-09,-0.19248188
