Date,Forecast
2023-05-03,-0.21780029
2023-05-04,-0.21915975
2023-05-05,-0.21447837
2023-05-06,-0.21357372
2023-05-07,-0.2171577
2023-05-08,-0.21224198
2023-05-09,-0.21552508
2023-05-10,-0.2050169
2023-05-11,-0.21612547
2023-05-12,-0.21546516
2023-05-13,-0.19117385
2023-05-14,-0.18251193
2023-05-15,-0.18922508
2023-05-16,-0.18960328
2023-05-17,-0.18602741
2023-05-18,-0.18659087
2023-05-19,-0.19172587
2023-05-20,-0.19327483
2023-05-21,-0.19478922
2023-05-22,-0.18865958
2023-05-23,-0.15544583
2023-05-24,-0.15009081
2023-05-25,-0.15542798
2023-05-26,-0.14548534
2023-05-27,-0.16103671
2023-05-28,-0.16719313
2023-05-29,-0.16990858
2023-05-30,-0.15554413
2023-05-31,-0.1509542
2023-06-01,-0.16198756
2023-06-02,-0.13610038
2023-06-03,-0.13739547
2023-06-04,-0.1445701
2023-06-05,-0.16259208
2023-06-06,-0.14936265
2023-06-07,-0.16539496
2023-06-08,-0.11805402
2023-06-09,-0.15138859
2023-06-10,-0.17206962
2023-06-11,-0.17672834
2023-06-12,-0.17528744
2023-06-13,-0.18598095
2023-06-14,-0.18068874
2023-06-15,-0.18013412
2023-06-16,-0.18323304
2023-06-17,-0.18055397
2023-06-18,-0.17971939
2023-06-19,-0.18398224
2023-06-20,-0.18244281
2023-06-21,-0.18467386
2023-06-22,-0.21158522
2023-06-23,-0.20884371
2023-06-24,-0.20928106
2023-06-25,-0.21293706
2023-06-26,-0.21564114
2023-06-27,-0.2057183
2023-06-28,-0.20728411
2023-06-29,-0.2132338
2023-06-30,-0.21325602
2023-07-01,-0.21266855
2023-07-02,-0.20017658
2023-07-03,-0.20385803
2023-07-04,-0.20353952
2023-07-05,-0.20196177
2023-07-06,-0.19933769
2023-07-07,-0.20550913
2023-07-08,-0.19900955
2023-07-09,-0.20553285
2023-07-10,-0.20198514
2023-07-11,-0.2017926
2023-07-12,-0.20123811
2023-07-13,-0.20467716
2023-07-14,-0.20381637
2023-07-15,-0.20611958
2023-07-16,-0.2041711
2023-07-17,-0.20539536
2023-07-18,-0.20828474
2023-07-19,-0.19852936
2023-07-20,-0.204063
2023-07-21,-0.20505226
2023-07-22,-0.18992054
2023-07-23,-0.18787107
2023-07-24,-0.18531704
2023-07-25,-0.19007851
2023-07-26,-0.18822873
2023-07-27,-0.18571055
2023-07-28,-0.18842968
2023-07-29,-0.18478754
2023-07-30,-0.19067106
2023-07-31,-0.18859573
2023-08-01,-0.22864425
2023-08-02,-0.23742779
2023-08-03,-0.23181328
2023-08-04,-0.2349305
2023-08-05,-0.22844437
2023-08-06,-0.23458067
2023-08-07,-0.23225378
2023-08-08,-0.23918739
2023-08-09,-0.23705381
2023-08-10,-0.22604255
2023-08-11,-0.20625168
2023-08-12,-0.2010335
2023-08-13,-0.19859244
2023-08-14,-0.21049614
2023-08-15,-0.20135418
2023-08-16,-0.20218712
2023-08-17,-0.198053
2023-08-18,-0.20489249
2023-08-19,-0.2051823
2023-08-20,-0.19632415
2023-08-21,-0.22995247
2023-08-22,-0.22790341
2023-08-23,-0.2335925
2023-08-24,-0.23151116
2023-08-25,-0.23152244
2023-08-26,-0.2264144
2023-08-27,-0.2258885
2023-08-28,-0.23168164
2023-08-29,-0.2265917
2023-08-30,-0.22834246
2023-08-31,-0.26435533
2023-09-01,-0.27231
2023-09-02,-0.26732597
2023-09-03,-0.27851018
2023-09-04,-0.26562512
2023-09-05,-0.2722909
2023-09-06,-0.267899
2023-09-07,-0.26784676
2023-09-08,-0.26665357
2023-09-09,-0.26802865
2023-09-10,-0.25949007
2023-09-11,-0.25348938
2023-09-12,-0.24730581
2023-09-13,-0.26587713
2023-09-14,-0.26081336
2023-09-15,-0.25937772
2023-09-16,-0.26447698
2023-09-17,-0.2535606
2023-09-18,-0.25322387
2023-09-19,-0.24673761
2023-09-20,-0.24630429
2023-09-21,-0.23694843
2023-09-22,-0.22930132
2023-09-23,-0.24123062
2023-09-24,-0.23822069
2023-09-25,-0.23131622
2023-09-26,-0.23000029
2023-09-27,-0.2300337
2023-09-28,-0.23742664
2023-09-29,-0.2361312
2023-09-30,-0.21889341
2023-10-01,-0.21766889
2023-10-02,-0.2130405
2023-10-03,-0.21236652
2023-10-04,-0.22388163
2023-10-05,-0.21188064
2023-10-06,-0.21741179
2023-10-07,-0.21685793
2023-10-08,-0.21409655
2023-10-09,-0.21310942
2023-10-10,-0.22336987
2023-10-11,-0.22815719
