Date,Forecast
2023-05-03,-0.21563086
2023-05-04,-0.2067961
2023-05-05,-0.21357459
2023-05-06,-0.21184051
2023-05-07,-0.21223427
2023-05-08,-0.21632689
2023-05-09,-0.21660452
2023-05-10,-0.2174656
2023-05-11,-0.20629722
2023-05-12,-0.21121033
2023-05-13,-0.19044156
2023-05-14,-0.19076025
2023-05-15,-0.18612367
2023-05-16,-0.19445078
2023-05-17,-0.18450163
2023-05-18,-0.18578978
2023-05-19,-0.20498902
2023-05-20,-0.18665953
2023-05-21,-0.1900149
2023-05-22,-0.19142614
2023-05-23,-0.13442971
2023-05-24,-0.14753348
2023-05-25,-0.13832651
2023-05-26,-0.14148952
2023-05-27,-0.15610833
2023-05-28,-0.16579078
2023-05-29,-0.16074754
2023-05-30,-0.15755348
2023-05-31,-0.15972658
2023-06-01,-0.15520014
2023-06-02,-0.12881996
2023-06-03,-0.13660903
2023-06-04,-0.14059433
2023-06-05,-0.14624128
2023-06-06,-0.15431206
2023-06-07,-0.16433994
2023-06-08,-0.15064397
2023-06-09,-0.16760002
2023-06-10,-0.17440544
2023-06-11,-0.18120445
2023-06-12,-0.18065651
2023-06-13,-0.18043724
2023-06-14,-0.16884898
2023-06-15,-0.17929281
2023-06-16,-0.17766088
2023-06-17,-0.1787659
2023-06-18,-0.18642645
2023-06-19,-0.17900915
2023-06-20,-0.1785311
2023-06-21,-0.17661545
2023-06-22,-0.21082559
2023-06-23,-0.21346474
2023-06-24,-0.2100862
2023-06-25,-0.21355252
2023-06-26,-0.20951937
2023-06-27,-0.2063292
2023-06-28,-0.20952395
2023-06-29,-0.20289557
2023-06-30,-0.21161115
2023-07-01,-0.21043403
2023-07-02,-0.19352318
2023-07-03,-0.1950742
2023-07-04,-0.19239716
2023-07-05,-0.19697182
2023-07-06,-0.19349901
2023-07-07,-0.1946003
2023-07-08,-0.19625472
2023-07-09,-0.19474971
2023-07-10,-0.19549082
2023-07-11,-0.19300243
2023-07-12,-0.20352584
2023-07-13,-0.20281523
2023-07-14,-0.19981281
2023-07-15,-0.19958723
2023-07-16,-0.20342934
2023-07-17,-0.2066365
2023-07-18,-0.20718172
2023-07-19,-0.19793539
2023-07-20,-0.2025558
2023-07-21,-0.20773222
2023-07-22,-0.18416221
2023-07-23,-0.18422909
2023-07-24,-0.18501875
2023-07-25,-0.17929007
2023-07-26,-0.18770823
2023-07-27,-0.18627815
2023-07-28,-0.18551284
2023-07-29,-0.18584326
2023-07-30,-0.18030274
2023-07-31,-0.17576222
2023-08-01,-0.23455054
2023-08-02,-0.22683033
2023-08-03,-0.24931851
2023-08-04,-0.22207016
2023-08-05,-0.22416583
2023-08-06,-0.22965938
2023-08-07,-0.2256189
2023-08-08,-0.23038235
2023-08-09,-0.2291627
2023-08-10,-0.22547626
2023-08-11,-0.19638151
2023-08-12,-0.20692463
2023-08-13,-0.20521492
2023-08-14,-0.20681997
2023-08-15,-0.19367777
2023-08-16,-0.19873631
2023-08-17,-0.20040527
2023-08-18,-0.20071855
2023-08-19,-0.19729994
2023-08-20,-0.20858416
2023-08-21,-0.22076339
2023-08-22,-0.22205044
2023-08-23,-0.21966766
2023-08-24,-0.23027734
2023-08-25,-0.22118826
2023-08-26,-0.2245869
2023-08-27,-0.2131657
2023-08-28,-0.21645245
2023-08-29,-0.21653855
2023-08-30,-0.22717872
2023-08-31,-0.26337
2023-09-01,-0.27124065
2023-09-02,-0.2664874
2023-09-03,-0.268003
2023-09-04,-0.26805815
2023-09-05,-0.2667156
2023-09-06,-0.27026635
2023-09-07,-0.26966715
2023-09-08,-0.267913
2023-09-09,-0.268075
2023-09-10,-0.24794388
2023-09-11,-0.24954896
2023-09-12,-0.24834655
2023-09-13,-0.24616233
2023-09-14,-0.24706958
2023-09-15,-0.24163523
2023-09-16,-0.24912821
2023-09-17,-0.25145787
2023-09-18,-0.24643484
2023-09-19,-0.23645313
2023-09-20,-0.22475524
2023-09-21,-0.23079032
2023-09-22,-0.22958347
2023-09-23,-0.23100337
2023-09-24,-0.2327511
2023-09-25,-0.22690924
2023-09-26,-0.23651852
2023-09-27,-0.22276331
2023-09-28,-0.22671953
2023-09-29,-0.22462364
2023-09-30,-0.21792053
2023-10-01,-0.21394156
2023-10-02,-0.21644965
2023-10-03,-0.21708849
2023-10-04,-0.21094063
2023-10-05,-0.21014252
2023-10-06,-0.21200044
2023-10-07,-0.22205967
2023-10-08,-0.22534856
2023-10-09,-0.21441975
2023-10-10,-0.22271
2023-10-11,-0.22485666
2023-10-12,-0.22336784
2023-10-13,-0.22211595
2023-10-14,-0.22764704
2023-10-15,-0.2196071
2023-10-16,-0.23017333
2023-10-17,-0.21831578
2023-10-18,-0.22080557
2023-10-19,-0.22043392
2023-10-20,-0.22687773
2023-10-21,-0.22879279
2023-10-22,-0.22484268
2023-10-23,-0.23172407
2023-10-24,-0.23480949
2023-10-25,-0.23348427
2023-10-26,-0.22320174
2023-10-27,-0.23146255
2023-10-28,-0.23320785
2023-10-29,-0.23620471
2023-10-30,-0.24237427
2023-10-31,-0.24008532
2023-11-01,-0.22716352
2023-11-02,-0.23103532
2023-11-03,-0.23505321
2023-11-04,-0.23857872
2023-11-05,-0.23059992
2023-11-06,-0.23319921
2023-11-07,-0.23218596
2023-11-08,-0.23281322
2023-11-09,-0.19839625
2023-11-10,-0.19851612
2023-11-11,-0.19730198
2023-11-12,-0.19352715
2023-11-13,-0.18445118
2023-11-14,-0.1909705
2023-11-15,-0.18644926
2023-11-16,-0.1957147
2023-11-17,-0.19335179
2023-11-18,-0.19358532
2023-11-19,-0.1996296
2023-11-20,-0.20218424
2023-11-21,-0.19851951
2023-11-22,-0.19983086
2023-11-23,-0.19790344
2023-11-24,-0.19575807
2023-11-25,-0.20078681
2023-11-26,-0.19794865
2023-11-27,-0.19613786
2023-11-28,-0.19849621
2023-11-29,-0.20211865
2023-11-30,-0.2033562
2023-12-01,-0.19795379
2023-12-02,-0.20192964
2023-12-03,-0.19936092
2023-12-04,-0.19893269
2023-12-05,-0.20118715
2023-12-06,-0.20054577
2023-12-07,-0.20709434
2023-12-08,-0.19834892
2023-12-09,-0.19539702
2023-12-10,-0.19830436
2023-12-11,-0.19947204
2023-12-12,-0.19831179
2023-12-13,-0.20172201
2023-12-14,-0.20077726
2023-12-15,-0.19781704
2023-12-16,-0.20206599
2023-12-17,-0.19674782
2023-12-18,-0.19479138
2023-12-19,-0.16139658
2023-12-20,-0.1634178
2023-12-21,-0.15886721
2023-12-22,-0.16840978
2023-12-23,-0.1716919
2023-12-24,-0.1627935
2023-12-25,-0.16733661
2023-12-26,-0.16582575
2023-12-27,-0.16313459
2023-12-28,-0.17177385
