Date,Forecast
2023-05-03,-0.21439423
2023-05-04,-0.2114987
2023-05-05,-0.22457924
2023-05-06,-0.21541618
2023-05-07,-0.21386918
2023-05-08,-0.21655934
2023-05-09,-0.21320364
2023-05-10,-0.20900445
2023-05-11,-0.2062952
2023-05-12,-0.20627224
2023-05-13,-0.19021875
2023-05-14,-0.1907011
2023-05-15,-0.18619177
2023-05-16,-0.18994011
2023-05-17,-0.18343899
2023-05-18,-0.18288492
2023-05-19,-0.19018716
2023-05-20,-0.18060836
2023-05-21,-0.19287431
2023-05-22,-0.18730396
2023-05-23,-0.16299473
2023-05-24,-0.14669774
2023-05-25,-0.14184177
2023-05-26,-0.15466769
2023-05-27,-0.16666512
2023-05-28,-0.16409107
2023-05-29,-0.16671306
2023-05-30,-0.15532464
2023-05-31,-0.15748562
2023-06-01,-0.15861738
2023-06-02,-0.122261904
2023-06-03,-0.1404253
2023-06-04,-0.1372474
2023-06-05,-0.14600568
2023-06-06,-0.12193656
2023-06-07,-0.15143941
2023-06-08,-0.14644183
2023-06-09,-0.15595399
2023-06-10,-0.172237
2023-06-11,-0.18200375
2023-06-12,-0.17512392
2023-06-13,-0.17838278
2023-06-14,-0.1801191
2023-06-15,-0.17886245
2023-06-16,-0.18179044
2023-06-17,-0.18008143
2023-06-18,-0.18052422
2023-06-19,-0.17605709
2023-06-20,-0.17798091
2023-06-21,-0.17952232
2023-06-22,-0.20873527
2023-06-23,-0.20332532
2023-06-24,-0.20350176
2023-06-25,-0.218651
2023-06-26,-0.20435399
2023-06-27,-0.20775865
2023-06-28,-0.20732266
2023-06-29,-0.21301952
2023-06-30,-0.2100025
2023-07-01,-0.20673457
2023-07-02,-0.19482552
2023-07-03,-0.19560094
2023-07-04,-0.20368908
2023-07-05,-0.19697167
2023-07-06,-0.19792645
2023-07-07,-0.19278042
2023-07-08,-0.1907063
2023-07-09,-0.19556923
2023-07-10,-0.19526848
2023-07-11,-0.19948944
2023-07-12,-0.19945936
2023-07-13,-0.20217055
2023-07-14,-0.20820068
2023-07-15,-0.20099628
2023-07-16,-0.19652945
2023-07-17,-0.19751555
2023-07-18,-0.20491005
2023-07-19,-0.20113319
2023-07-20,-0.19948326
2023-07-21,-0.20416602
2023-07-22,-0.18373878
2023-07-23,-0.18431105
2023-07-24,-0.18846108
2023-07-25,-0.18331097
2023-07-26,-0.18291624
2023-07-27,-0.18296762
2023-07-28,-0.18727642
2023-07-29,-0.18588339
2023-07-30,-0.18165675
2023-07-31,-0.1780972
2023-08-01,-0.22624397
2023-08-02,-0.22400254
2023-08-03,-0.22180843
2023-08-04,-0.22974893
2023-08-05,-0.23054397
2023-08-06,-0.2296512
2023-08-07,-0.23092788
2023-08-08,-0.22375092
2023-08-09,-0.22198379
2023-08-10,-0.2189571
2023-08-11,-0.20198597
2023-08-12,-0.20580776
2023-08-13,-0.195183
2023-08-14,-0.20184544
2023-08-15,-0.19266413
2023-08-16,-0.19376665
2023-08-17,-0.20558274
2023-08-18,-0.19567686
2023-08-19,-0.19852936
2023-08-20,-0.20215231
2023-08-21,-0.21903467
2023-08-22,-0.22422922
2023-08-23,-0.21757501
2023-08-24,-0.22275682
2023-08-25,-0.22679304
2023-08-26,-0.21769495
2023-08-27,-0.22706945
2023-08-28,-0.22833097
2023-08-29,-0.2250586
2023-08-30,-0.21557392
2023-08-31,-0.26194087
2023-09-01,-0.2667455
2023-09-02,-0.27067935
2023-09-03,-0.26561606
2023-09-04,-0.26798746
2023-09-05,-0.2617122
2023-09-06,-0.26504537
2023-09-07,-0.26798618
2023-09-08,-0.26430267
2023-09-09,-0.25857106
2023-09-10,-0.25362554
2023-09-11,-0.24371915
2023-09-12,-0.24488188
2023-09-13,-0.24780715
2023-09-14,-0.24555995
