Date,Forecast
2023-05-03,-0.3698912
2023-05-04,-0.37804168
2023-05-05,-0.3742926
2023-05-06,-0.3688711
2023-05-07,-0.3800629
2023-05-08,-0.37963048
2023-05-09,-0.3763929
2023-05-10,-0.3809647
2023-05-11,-0.3692033
2023-05-12,-0.38661796
2023-05-13,-0.33724618
2023-05-14,-0.3372247
2023-05-15,-0.33335173
2023-05-16,-0.33801433
2023-05-17,-0.32313794
2023-05-18,-0.33445966
2023-05-19,-0.32829887
2023-05-20,-0.33642772
2023-05-21,-0.32439214
2023-05-22,-0.33326286
2023-05-23,-0.2663111
2023-05-24,-0.261305
2023-05-25,-0.2433997
2023-05-26,-0.26769853
2023-05-27,-0.26538825
2023-05-28,-0.27724785
2023-05-29,-0.273047
2023-05-30,-0.26373273
2023-05-31,-0.2817088
2023-06-01,-0.2672358
2023-06-02,-0.27666476
2023-06-03,-0.27123746
2023-06-04,-0.3029519
2023-06-05,-0.2833032
2023-06-06,-0.27615318
2023-06-07,-0.27333057
2023-06-08,-0.2898106
2023-06-09,-0.29605114
2023-06-10,-0.30271795
2023-06-11,-0.31799832
2023-06-12,-0.29477865
2023-06-13,-0.29257095
2023-06-14,-0.2965773
2023-06-15,-0.29827544
2023-06-16,-0.30367565
2023-06-17,-0.29542542
2023-06-18,-0.30624753
2023-06-19,-0.29639775
2023-06-20,-0.2923874
2023-06-21,-0.28822973
2023-06-22,-0.33702207
2023-06-23,-0.3449428
2023-06-24,-0.33312467
2023-06-25,-0.3274952
2023-06-26,-0.3488773
2023-06-27,-0.33577234
2023-06-28,-0.34285316
2023-06-29,-0.34044003
2023-06-30,-0.33383468
2023-07-01,-0.34893253
2023-07-02,-0.31542504
2023-07-03,-0.31780273
2023-07-04,-0.31616846
2023-07-05,-0.32174164
2023-07-06,-0.31459716
2023-07-07,-0.32175258
2023-07-08,-0.32011917
2023-07-09,-0.32054085
2023-07-10,-0.31405744
2023-07-11,-0.3196777
2023-07-12,-0.35788423
