Date,Forecast
2023-05-03,-0.23909408
2023-05-04,-0.23546457
2023-05-05,-0.2322004
2023-05-06,-0.2366531
2023-05-07,-0.23322934
2023-05-08,-0.22785693
2023-05-09,-0.23266289
2023-05-10,-0.23422839
2023-05-11,-0.23358728
2023-05-12,-0.22912432
2023-05-13,-0.19618987
2023-05-14,-0.19943647
2023-05-15,-0.20252942
2023-05-16,-0.19346231
2023-05-17,-0.20097008
2023-05-18,-0.19789988
2023-05-19,-0.2028772
2023-05-20,-0.20282221
2023-05-21,-0.1921115
2023-05-22,-0.19655971
2023-05-23,-0.16349922
2023-05-24,-0.14115676
2023-05-25,-0.14373419
2023-05-26,-0.15405425
2023-05-27,-0.15046492
2023-05-28,-0.17655155
2023-05-29,-0.17455558
2023-05-30,-0.18871465
2023-05-31,-0.19181001
2023-06-01,-0.18653259
2023-06-02,-0.14229538
2023-06-03,-0.15554343
2023-06-04,-0.16456133
2023-06-05,-0.14285924
2023-06-06,-0.17573144
2023-06-07,-0.16971035
2023-06-08,-0.17560863
2023-06-09,-0.17883421
2023-06-10,-0.17494509
2023-06-11,-0.18171276
2023-06-12,-0.1872773
2023-06-13,-0.18938212
2023-06-14,-0.17990226
2023-06-15,-0.18183087
2023-06-16,-0.17606634
2023-06-17,-0.18200274
2023-06-18,-0.18676193
2023-06-19,-0.1814242
2023-06-20,-0.19294113
2023-06-21,-0.17904875
2023-06-22,-0.21573167
2023-06-23,-0.22046527
2023-06-24,-0.2139962
2023-06-25,-0.2187047
2023-06-26,-0.21572734
2023-06-27,-0.21537133
2023-06-28,-0.21537876
2023-06-29,-0.21770018
2023-06-30,-0.22117405
2023-07-01,-0.21495779
2023-07-02,-0.19953753
2023-07-03,-0.20442487
2023-07-04,-0.194765
2023-07-05,-0.20188795
2023-07-06,-0.20560107
2023-07-07,-0.2007696
2023-07-08,-0.19589847
2023-07-09,-0.2049962
2023-07-10,-0.2050515
2023-07-11,-0.19366673
2023-07-12,-0.20165649
2023-07-13,-0.2123617
2023-07-14,-0.21392876
2023-07-15,-0.20692675
2023-07-16,-0.20656955
2023-07-17,-0.22197844
2023-07-18,-0.21333049
2023-07-19,-0.21166061
2023-07-20,-0.20814553
2023-07-21,-0.21221751
2023-07-22,-0.19133064
2023-07-23,-0.19055161
2023-07-24,-0.1898668
2023-07-25,-0.19558136
2023-07-26,-0.18641262
2023-07-27,-0.18723768
2023-07-28,-0.19413492
2023-07-29,-0.19236648
2023-07-30,-0.18779923
2023-07-31,-0.18569872
2023-08-01,-0.2605047
2023-08-02,-0.2550791
2023-08-03,-0.25810587
2023-08-04,-0.26687518
2023-08-05,-0.25905082
2023-08-06,-0.25735253
2023-08-07,-0.25785622
2023-08-08,-0.26108763
2023-08-09,-0.2564169
2023-08-10,-0.25693944
2023-08-11,-0.22030678
2023-08-12,-0.2175599
2023-08-13,-0.2284469
2023-08-14,-0.21916683
2023-08-15,-0.21239042
2023-08-16,-0.22172503
2023-08-17,-0.22528234
2023-08-18,-0.22354643
2023-08-19,-0.21525545
2023-08-20,-0.21779579
2023-08-21,-0.26373845
2023-08-22,-0.26881427
2023-08-23,-0.26178873
2023-08-24,-0.26658458
2023-08-25,-0.26943985
2023-08-26,-0.27464923
2023-08-27,-0.2607596
2023-08-28,-0.25799412
2023-08-29,-0.26877424
2023-08-30,-0.26266587
2023-08-31,-0.33056453
2023-09-01,-0.3231137
2023-09-02,-0.33828858
2023-09-03,-0.32735297
2023-09-04,-0.3177889
2023-09-05,-0.32125905
2023-09-06,-0.3134058
2023-09-07,-0.32895398
2023-09-08,-0.3243392
2023-09-09,-0.3183274
2023-09-10,-0.30394202
2023-09-11,-0.30520833
2023-09-12,-0.29457727
2023-09-13,-0.29378492
2023-09-14,-0.29151192
2023-09-15,-0.29031736
2023-09-16,-0.29502356
2023-09-17,-0.2962813
2023-09-18,-0.29508823
2023-09-19,-0.30054677
2023-09-20,-0.27268037
2023-09-21,-0.2722201
2023-09-22,-0.26999652
2023-09-23,-0.27523166
2023-09-24,-0.26232243
2023-09-25,-0.27436927
2023-09-26,-0.27398837
2023-09-27,-0.26764494
2023-09-28,-0.27285483
2023-09-29,-0.27032557
2023-09-30,-0.2459269
2023-10-01,-0.24414912
2023-10-02,-0.24402538
2023-10-03,-0.24772309
2023-10-04,-0.23884626
2023-10-05,-0.24768236
2023-10-06,-0.23427157
2023-10-07,-0.24714525
2023-10-08,-0.2440732
2023-10-09,-0.24486315
2023-10-10,-0.2473727
2023-10-11,-0.24513052
2023-10-12,-0.24396086
2023-10-13,-0.25691164
2023-10-14,-0.25032583
2023-10-15,-0.24518178
2023-10-16,-0.24859083
2023-10-17,-0.2451507
2023-10-18,-0.2456218
2023-10-19,-0.24571057
2023-10-20,-0.24878132
2023-10-21,-0.2535922
2023-10-22,-0.25080815
2023-10-23,-0.24867171
2023-10-24,-0.2418368
2023-10-25,-0.24499863
2023-10-26,-0.2468099
2023-10-27,-0.25477728
2023-10-28,-0.2435204
2023-10-29,-0.24209198
2023-10-30,-0.24631536
2023-10-31,-0.25355086
2023-11-01,-0.24772562
2023-11-02,-0.24968912
2023-11-03,-0.24847084
2023-11-04,-0.24681073
2023-11-05,-0.24388403
2023-11-06,-0.2432567
2023-11-07,-0.24075915
2023-11-08,-0.24755204
