Date,Forecast
2023-05-03,-0.22671045
2023-05-04,-0.23940393
2023-05-05,-0.22677277
2023-05-06,-0.22864933
2023-05-07,-0.22057861
2023-05-08,-0.23538965
2023-05-09,-0.23265561
2023-05-10,-0.23029493
2023-05-11,-0.22882245
2023-05-12,-0.23143552
2023-05-13,-0.19398642
2023-05-14,-0.19869211
2023-05-15,-0.19474651
2023-05-16,-0.19850743
2023-05-17,-0.19429545
2023-05-18,-0.2000793
2023-05-19,-0.19293338
2023-05-20,-0.19370213
2023-05-21,-0.19965473
2023-05-22,-0.1962153
2023-05-23,-0.14778346
2023-05-24,-0.13878657
2023-05-25,-0.14781752
2023-05-26,-0.16064793
2023-05-27,-0.17232543
2023-05-28,-0.1688201
2023-05-29,-0.1735904
2023-05-30,-0.16514783
2023-05-31,-0.17529133
2023-06-01,-0.19660178
2023-06-02,-0.13970739
2023-06-03,-0.14626822
2023-06-04,-0.15806933
2023-06-05,-0.16031253
2023-06-06,-0.17833553
2023-06-07,-0.15725553
2023-06-08,-0.182636
2023-06-09,-0.17809685
2023-06-10,-0.18110952
2023-06-11,-0.18822677
2023-06-12,-0.18744585
2023-06-13,-0.18496588
2023-06-14,-0.19050735
2023-06-15,-0.18467993
2023-06-16,-0.18770847
2023-06-17,-0.1797142
2023-06-18,-0.1866877
2023-06-19,-0.18606246
2023-06-20,-0.18659124
2023-06-21,-0.17981645
2023-06-22,-0.21999912
2023-06-23,-0.21468633
2023-06-24,-0.21772012
2023-06-25,-0.20987202
2023-06-26,-0.21727268
2023-06-27,-0.2179259
2023-06-28,-0.21520445
2023-06-29,-0.21856657
2023-06-30,-0.21330766
2023-07-01,-0.21476035
2023-07-02,-0.20050436
2023-07-03,-0.19892225
2023-07-04,-0.19687596
2023-07-05,-0.200956
2023-07-06,-0.1979187
2023-07-07,-0.19709292
2023-07-08,-0.20874804
2023-07-09,-0.18409798
2023-07-10,-0.19608478
2023-07-11,-0.19715188
2023-07-12,-0.19988142
2023-07-13,-0.20774183
2023-07-14,-0.20716147
2023-07-15,-0.20719247
2023-07-16,-0.20272093
2023-07-17,-0.20873357
2023-07-18,-0.20546499
2023-07-19,-0.20978144
2023-07-20,-0.2037064
2023-07-21,-0.20734483
2023-07-22,-0.18614015
2023-07-23,-0.19024514
2023-07-24,-0.19129033
2023-07-25,-0.19035427
2023-07-26,-0.18720056
2023-07-27,-0.18208523
2023-07-28,-0.18898536
2023-07-29,-0.18491827
2023-07-30,-0.19026141
2023-07-31,-0.18625383
2023-08-01,-0.2532094
2023-08-02,-0.2577838
2023-08-03,-0.22879419
2023-08-04,-0.25091073
2023-08-05,-0.25771186
2023-08-06,-0.26027745
2023-08-07,-0.25725326
2023-08-08,-0.25713572
2023-08-09,-0.25352877
2023-08-10,-0.24856871
2023-08-11,-0.22300373
2023-08-12,-0.2142158
2023-08-13,-0.21520849
2023-08-14,-0.22498716
2023-08-15,-0.21229263
2023-08-16,-0.21833606
2023-08-17,-0.21889685
2023-08-18,-0.2172506
2023-08-19,-0.21036881
2023-08-20,-0.22181211
2023-08-21,-0.26387987
2023-08-22,-0.2604064
2023-08-23,-0.25698507
2023-08-24,-0.2654093
2023-08-25,-0.26640913
2023-08-26,-0.26551443
2023-08-27,-0.2636834
2023-08-28,-0.26421878
