Date,Forecast
2023-05-03,-0.21832289
2023-05-04,-0.22219016
2023-05-05,-0.23439749
2023-05-06,-0.222316
2023-05-07,-0.223986
2023-05-08,-0.2111211
2023-05-09,-0.21814448
2023-05-10,-0.2226426
2023-05-11,-0.2177092
2023-05-12,-0.21852015
2023-05-13,-0.19792032
2023-05-14,-0.19636795
2023-05-15,-0.19852933
2023-05-16,-0.19709376
2023-05-17,-0.19303234
2023-05-18,-0.18997835
2023-05-19,-0.19816421
2023-05-20,-0.18819974
2023-05-21,-0.19418043
2023-05-22,-0.19922598
2023-05-23,-0.16438414
2023-05-24,-0.1575653
2023-05-25,-0.15064871
2023-05-26,-0.1552267
2023-05-27,-0.1539449
2023-05-28,-0.17710152
2023-05-29,-0.16613784
2023-05-30,-0.15433593
2023-05-31,-0.16471429
2023-06-01,-0.17396602
2023-06-02,-0.15921408
2023-06-03,-0.13618486
2023-06-04,-0.15323526
2023-06-05,-0.16560239
2023-06-06,-0.15160173
2023-06-07,-0.176695
2023-06-08,-0.16556561
2023-06-09,-0.17531486
2023-06-10,-0.17259051
2023-06-11,-0.18767318
2023-06-12,-0.19131218
2023-06-13,-0.19575539
2023-06-14,-0.19351542
2023-06-15,-0.1943099
2023-06-16,-0.19717243
2023-06-17,-0.18452229
2023-06-18,-0.1960559
2023-06-19,-0.1921239
2023-06-20,-0.19241796
2023-06-21,-0.18907028
2023-06-22,-0.21854293
2023-06-23,-0.2217555
2023-06-24,-0.22367287
2023-06-25,-0.21558617
2023-06-26,-0.22380838
2023-06-27,-0.22311947
2023-06-28,-0.21920103
2023-06-29,-0.21727282
2023-06-30,-0.22982544
2023-07-01,-0.2139452
2023-07-02,-0.2068453
2023-07-03,-0.20675348
2023-07-04,-0.21643811
2023-07-05,-0.20948452
2023-07-06,-0.21265227
2023-07-07,-0.21436189
2023-07-08,-0.20921135
2023-07-09,-0.2062925
2023-07-10,-0.20300083
2023-07-11,-0.20735319
2023-07-12,-0.20718192
2023-07-13,-0.21148157
2023-07-14,-0.21775424
2023-07-15,-0.20366842
2023-07-16,-0.21414389
2023-07-17,-0.20927343
2023-07-18,-0.21028166
2023-07-19,-0.21074595
2023-07-20,-0.21460444
2023-07-21,-0.20887762
2023-07-22,-0.19348608
2023-07-23,-0.18938881
2023-07-24,-0.19269043
2023-07-25,-0.19795682
2023-07-26,-0.19567509
2023-07-27,-0.19924027
2023-07-28,-0.1935006
2023-07-29,-0.19686699
2023-07-30,-0.18826884
2023-07-31,-0.19622728
2023-08-01,-0.24852045
2023-08-02,-0.23907006
2023-08-03,-0.2526182
2023-08-04,-0.24087407
2023-08-05,-0.23567858
2023-08-06,-0.23747131
2023-08-07,-0.23857689
2023-08-08,-0.24641886
2023-08-09,-0.23852964
2023-08-10,-0.24080569
2023-08-11,-0.20683452
2023-08-12,-0.21082787
2023-08-13,-0.21026307
2023-08-14,-0.21330827
2023-08-15,-0.20973405
2023-08-16,-0.2006904
2023-08-17,-0.21216983
2023-08-18,-0.20670617
2023-08-19,-0.20564945
2023-08-20,-0.20645498
2023-08-21,-0.24402542
2023-08-22,-0.23706129
2023-08-23,-0.24444783
2023-08-24,-0.24455337
2023-08-25,-0.24254099
2023-08-26,-0.24176347
2023-08-27,-0.24335232
2023-08-28,-0.24105139
2023-08-29,-0.23772296
2023-08-30,-0.23971803
2023-08-31,-0.29232118
2023-09-01,-0.28630105
2023-09-02,-0.29419708
2023-09-03,-0.29686272
2023-09-04,-0.29095224
2023-09-05,-0.29038283
2023-09-06,-0.28477502
2023-09-07,-0.289097
2023-09-08,-0.2856597
2023-09-09,-0.29974133
2023-09-10,-0.2645077
2023-09-11,-0.26805416
2023-09-12,-0.26422897
2023-09-13,-0.25823513
2023-09-14,-0.26932737
2023-09-15,-0.27302095
2023-09-16,-0.2673598
2023-09-17,-0.25921795
2023-09-18,-0.27333653
2023-09-19,-0.2616766
2023-09-20,-0.24654825
2023-09-21,-0.24282028
2023-09-22,-0.24284022
2023-09-23,-0.24397391
2023-09-24,-0.24464564
2023-09-25,-0.24369437
2023-09-26,-0.23297952
2023-09-27,-0.2430044
2023-09-28,-0.2361853
2023-09-29,-0.24403997
2023-09-30,-0.22232069
2023-10-01,-0.22222179
2023-10-02,-0.22268516
2023-10-03,-0.22536923
2023-10-04,-0.22586524
2023-10-05,-0.22313136
2023-10-06,-0.2175163
2023-10-07,-0.22733518
2023-10-08,-0.21983802
2023-10-09,-0.21682827
2023-10-10,-0.23048048
2023-10-11,-0.2331255
2023-10-12,-0.23027803
2023-10-13,-0.23082036
2023-10-14,-0.2288081
2023-10-15,-0.22592203
2023-10-16,-0.2301257
2023-10-17,-0.22619443
2023-10-18,-0.2247464
2023-10-19,-0.22369494
2023-10-20,-0.23433016
2023-10-21,-0.23808403
2023-10-22,-0.23380643
2023-10-23,-0.23957336
2023-10-24,-0.23757419
2023-10-25,-0.23786701
2023-10-26,-0.23471929
2023-10-27,-0.2241437
2023-10-28,-0.24058248
2023-10-29,-0.24082011
2023-10-30,-0.24434698
2023-10-31,-0.23969617
2023-11-01,-0.23837143
2023-11-02,-0.23338667
2023-11-03,-0.24006054
2023-11-04,-0.23319449
2023-11-05,-0.23983221
2023-11-06,-0.24064276
2023-11-07,-0.23474573
2023-11-08,-0.24038504
2023-11-09,-0.1963823
2023-11-10,-0.19319645
2023-11-11,-0.19416484
2023-11-12,-0.19261399
2023-11-13,-0.18997075
2023-11-14,-0.19732007
2023-11-15,-0.19631964
2023-11-16,-0.18891047
