Date,Forecast
2023-05-03,-0.21689682
2023-05-04,-0.21943802
2023-05-05,-0.21636257
2023-05-06,-0.21598981
2023-05-07,-0.21649714
2023-05-08,-0.21435978
2023-05-09,-0.21464022
2023-05-10,-0.21265143
2023-05-11,-0.21165343
2023-05-12,-0.20836946
2023-05-13,-0.19366546
2023-05-14,-0.19886962
2023-05-15,-0.19362687
2023-05-16,-0.189104
2023-05-17,-0.19391741
2023-05-18,-0.1907669
2023-05-19,-0.18957515
2023-05-20,-0.19593969
2023-05-21,-0.19261505
2023-05-22,-0.1892955
2023-05-23,-0.16647366
2023-05-24,-0.16899128
2023-05-25,-0.15951924
2023-05-26,-0.16413864
2023-05-27,-0.16942973
2023-05-28,-0.17684112
2023-05-29,-0.16622128
2023-05-30,-0.16345145
2023-05-31,-0.16831522
2023-06-01,-0.16969667
2023-06-02,-0.14742969
2023-06-03,-0.15879954
2023-06-04,-0.15915316
2023-06-05,-0.1587253
2023-06-06,-0.14821443
2023-06-07,-0.15200335
2023-06-08,-0.14930005
2023-06-09,-0.14992774
2023-06-10,-0.16337109
2023-06-11,-0.17330803
2023-06-12,-0.1860961
2023-06-13,-0.18611568
2023-06-14,-0.19321488
2023-06-15,-0.18839312
2023-06-16,-0.19074558
2023-06-17,-0.1862146
2023-06-18,-0.18868485
2023-06-19,-0.18572539
2023-06-20,-0.1861351
2023-06-21,-0.18359901
2023-06-22,-0.20796862
2023-06-23,-0.21264641
2023-06-24,-0.21377307
2023-06-25,-0.21215479
2023-06-26,-0.20737273
2023-06-27,-0.20515339
2023-06-28,-0.21025065
2023-06-29,-0.20915937
2023-06-30,-0.21379048
2023-07-01,-0.21383886
2023-07-02,-0.18885264
2023-07-03,-0.19119054
2023-07-04,-0.19140333
2023-07-05,-0.19842999
2023-07-06,-0.18805464
2023-07-07,-0.19509554
2023-07-08,-0.18920012
2023-07-09,-0.19260946
2023-07-10,-0.18949844
2023-07-11,-0.19146663
2023-07-12,-0.20057186
2023-07-13,-0.19955982
2023-07-14,-0.19747324
2023-07-15,-0.1994527
2023-07-16,-0.19768924
2023-07-17,-0.19900188
2023-07-18,-0.20747648
2023-07-19,-0.2040065
2023-07-20,-0.20405549
2023-07-21,-0.20763068
2023-07-22,-0.18704228
2023-07-23,-0.17995648
2023-07-24,-0.18545675
2023-07-25,-0.18334562
2023-07-26,-0.18517083
2023-07-27,-0.1845769
2023-07-28,-0.18510813
2023-07-29,-0.17733867
2023-07-30,-0.18318138
2023-07-31,-0.18125634
2023-08-01,-0.22317705
2023-08-02,-0.22375326
2023-08-03,-0.22393872
2023-08-04,-0.2201598
2023-08-05,-0.21724455
2023-08-06,-0.2190739
2023-08-07,-0.21541406
2023-08-08,-0.21885042
2023-08-09,-0.21700779
2023-08-10,-0.22160797
2023-08-11,-0.20010893
2023-08-12,-0.1902303
2023-08-13,-0.19303124
2023-08-14,-0.19783956
2023-08-15,-0.19320121
2023-08-16,-0.19599289
2023-08-17,-0.19226682
2023-08-18,-0.19652914
2023-08-19,-0.19310509
2023-08-20,-0.19290811
2023-08-21,-0.2155548
2023-08-22,-0.2165662
2023-08-23,-0.21135587
2023-08-24,-0.21436834
2023-08-25,-0.21155582
2023-08-26,-0.21866567
2023-08-27,-0.21142688
2023-08-28,-0.20619795
2023-08-29,-0.2122149
2023-08-30,-0.21402198
2023-08-31,-0.2620765
2023-09-01,-0.24390177
2023-09-02,-0.2516456
2023-09-03,-0.24585989
2023-09-04,-0.25337216
2023-09-05,-0.2526363
2023-09-06,-0.2492148
2023-09-07,-0.24897651
2023-09-08,-0.25505826
2023-09-09,-0.25370702
2023-09-10,-0.2342932
2023-09-11,-0.23085709
2023-09-12,-0.23094611
2023-09-13,-0.23166661
2023-09-14,-0.22134732
2023-09-15,-0.2263995
2023-09-16,-0.22401392
2023-09-17,-0.22967657
2023-09-18,-0.22455388
2023-09-19,-0.22382537
2023-09-20,-0.22001119
2023-09-21,-0.21858545
2023-09-22,-0.21829154
2023-09-23,-0.22646664
2023-09-24,-0.20905226
2023-09-25,-0.21694243
2023-09-26,-0.21633455
2023-09-27,-0.21649963
2023-09-28,-0.2132755
2023-09-29,-0.21565865
2023-09-30,-0.19745256
2023-10-01,-0.20054686
2023-10-02,-0.19954234
2023-10-03,-0.19453505
2023-10-04,-0.20217651
2023-10-05,-0.19870146
2023-10-06,-0.2046669
2023-10-07,-0.20246619
2023-10-08,-0.19376144
2023-10-09,-0.2030775
2023-10-10,-0.19596994
2023-10-11,-0.20745364
2023-10-12,-0.20602131
2023-10-13,-0.21559912
2023-10-14,-0.2065835
2023-10-15,-0.20363721
2023-10-16,-0.20462266
2023-10-17,-0.20395769
2023-10-18,-0.20542268
2023-10-19,-0.21146536
2023-10-20,-0.21308982
2023-10-21,-0.21685274
2023-10-22,-0.21056326
2023-10-23,-0.20273139
2023-10-24,-0.21098213
2023-10-25,-0.2184141
2023-10-26,-0.21002981
2023-10-27,-0.2159642
2023-10-28,-0.21707006
2023-10-29,-0.20656879
2023-10-30,-0.21356958
2023-10-31,-0.21589322
2023-11-01,-0.21268284
2023-11-02,-0.21275164
2023-11-03,-0.21299364
2023-11-04,-0.21061197
2023-11-05,-0.21658634
2023-11-06,-0.21563685
2023-11-07,-0.21318443
2023-11-08,-0.21114163
2023-11-09,-0.1881124
2023-11-10,-0.18661612
2023-11-11,-0.18915004
2023-11-12,-0.186652
2023-11-13,-0.18627022
2023-11-14,-0.17976037
2023-11-15,-0.18455757
2023-11-16,-0.18477505
2023-11-17,-0.18577036
2023-11-18,-0.1787974
2023-11-19,-0.18663494
2023-11-20,-0.1898
2023-11-21,-0.19157898
2023-11-22,-0.19284628
2023-11-23,-0.18714069
2023-11-24,-0.19275852
2023-11-25,-0.19116715
2023-11-26,-0.1918783
2023-11-27,-0.19410072
2023-11-28,-0.19641967
2023-11-29,-0.19940042
2023-11-30,-0.19869234
2023-12-01,-0.19729832
2023-12-02,-0.19820665
2023-12-03,-0.2004892
2023-12-04,-0.19281925
2023-12-05,-0.19288038
2023-12-06,-0.19592321
2023-12-07,-0.19690853
2023-12-08,-0.19475703
2023-12-09,-0.19719054
2023-12-10,-0.2021092
2023-12-11,-0.19958834
2023-12-12,-0.19903713
2023-12-13,-0.19452468
2023-12-14,-0.20002049
2023-12-15,-0.19328275
2023-12-16,-0.19269983
2023-12-17,-0.19501121
2023-12-18,-0.18973762
2023-12-19,-0.1706757
2023-12-20,-0.17673801
2023-12-21,-0.17201231
2023-12-22,-0.17542796
2023-12-23,-0.16932046
2023-12-24,-0.17219156
2023-12-25,-0.17049526
2023-12-26,-0.17081434
2023-12-27,-0.1698355
2023-12-28,-0.17150177
