Date,Forecast
2023-05-03,-0.21348965
2023-05-04,-0.21047011
2023-05-05,-0.20635313
2023-05-06,-0.21749075
2023-05-07,-0.20929094
2023-05-08,-0.21350521
2023-05-09,-0.21181646
2023-05-10,-0.2158758
2023-05-11,-0.2112057
2023-05-12,-0.21098742
2023-05-13,-0.1828074
2023-05-14,-0.18798023
2023-05-15,-0.18882377
2023-05-16,-0.18307327
2023-05-17,-0.18803999
2023-05-18,-0.1878578
2023-05-19,-0.19522952
2023-05-20,-0.18913119
2023-05-21,-0.18723479
2023-05-22,-0.18590897
2023-05-23,-0.15812297
2023-05-24,-0.14719544
2023-05-25,-0.13825569
2023-05-26,-0.14869437
2023-05-27,-0.15454337
2023-05-28,-0.17204079
2023-05-29,-0.15904987
2023-05-30,-0.15317053
2023-05-31,-0.15151434
2023-06-01,-0.16066864
2023-06-02,-0.13845855
2023-06-03,-0.12998089
2023-06-04,-0.14989041
2023-06-05,-0.16208266
2023-06-06,-0.15805338
2023-06-07,-0.1558462
2023-06-08,-0.15057313
2023-06-09,-0.14712203
2023-06-10,-0.1801897
2023-06-11,-0.18118411
2023-06-12,-0.18575102
2023-06-13,-0.17709845
2023-06-14,-0.18441491
2023-06-15,-0.18387276
2023-06-16,-0.1803518
2023-06-17,-0.18316203
2023-06-18,-0.18039204
2023-06-19,-0.17913027
2023-06-20,-0.17753085
2023-06-21,-0.18309988
2023-06-22,-0.21926728
2023-06-23,-0.21302494
2023-06-24,-0.21222368
2023-06-25,-0.21192537
2023-06-26,-0.21256858
2023-06-27,-0.21280746
2023-06-28,-0.208686
2023-06-29,-0.21149994
2023-06-30,-0.21232183
2023-07-01,-0.20440687
2023-07-02,-0.19563748
2023-07-03,-0.1905232
2023-07-04,-0.19561984
2023-07-05,-0.19818722
2023-07-06,-0.1959759
2023-07-07,-0.19904606
2023-07-08,-0.197326
2023-07-09,-0.19146422
2023-07-10,-0.1974718
2023-07-11,-0.19738379
2023-07-12,-0.19851083
2023-07-13,-0.19786905
2023-07-14,-0.20612574
2023-07-15,-0.20239621
2023-07-16,-0.20154251
2023-07-17,-0.20126651
2023-07-18,-0.20345502
2023-07-19,-0.20426193
2023-07-20,-0.20682581
2023-07-21,-0.20336698
2023-07-22,-0.18357502
2023-07-23,-0.18504815
2023-07-24,-0.18997562
2023-07-25,-0.1888094
2023-07-26,-0.18655802
2023-07-27,-0.18087688
2023-07-28,-0.17948702
2023-07-29,-0.1893916
2023-07-30,-0.18594135
2023-07-31,-0.18887988
2023-08-01,-0.23035671
2023-08-02,-0.22641626
2023-08-03,-0.23105913
2023-08-04,-0.23216286
2023-08-05,-0.22428948
2023-08-06,-0.22585261
2023-08-07,-0.23314382
2023-08-08,-0.2216013
2023-08-09,-0.2326915
2023-08-10,-0.22066198
2023-08-11,-0.20068559
2023-08-12,-0.19923648
2023-08-13,-0.1991128
2023-08-14,-0.20096965
2023-08-15,-0.20152734
2023-08-16,-0.19974676
2023-08-17,-0.19646557
2023-08-18,-0.19989716
2023-08-19,-0.19387615
2023-08-20,-0.20094448
2023-08-21,-0.23120664
2023-08-22,-0.22732908
2023-08-23,-0.22316611
2023-08-24,-0.21362454
2023-08-25,-0.22093928
2023-08-26,-0.23131788
2023-08-27,-0.2254531
2023-08-28,-0.22694895
2023-08-29,-0.2247106
2023-08-30,-0.22524963
2023-08-31,-0.27563074
2023-09-01,-0.26658532
2023-09-02,-0.26522985
2023-09-03,-0.27251184
2023-09-04,-0.26877213
2023-09-05,-0.2677958
2023-09-06,-0.26098248
2023-09-07,-0.2664868
2023-09-08,-0.26756573
2023-09-09,-0.26530042
2023-09-10,-0.25538844
2023-09-11,-0.2540463
2023-09-12,-0.24788593
2023-09-13,-0.25348377
2023-09-14,-0.24999651
2023-09-15,-0.24945387
2023-09-16,-0.25158235
2023-09-17,-0.26221406
2023-09-18,-0.24539435
2023-09-19,-0.25793412
2023-09-20,-0.23603821
2023-09-21,-0.23775809
2023-09-22,-0.23148447
2023-09-23,-0.23481873
2023-09-24,-0.23231971
2023-09-25,-0.23291515
2023-09-26,-0.22939578
2023-09-27,-0.22449651
2023-09-28,-0.23080397
2023-09-29,-0.23193817
2023-09-30,-0.22308648
2023-10-01,-0.21427579
2023-10-02,-0.21703409
2023-10-03,-0.2144616
2023-10-04,-0.21754463
2023-10-05,-0.21657294
2023-10-06,-0.2159199
2023-10-07,-0.2146714
2023-10-08,-0.20982708
2023-10-09,-0.20976105
2023-10-10,-0.22458614
2023-10-11,-0.22213179
2023-10-12,-0.22381216
2023-10-13,-0.22017716
2023-10-14,-0.21742637
2023-10-15,-0.22515465
2023-10-16,-0.22906774
2023-10-17,-0.22149925
2023-10-18,-0.22526182
2023-10-19,-0.22499809
2023-10-20,-0.22998367
2023-10-21,-0.23685566
2023-10-22,-0.22708772
2023-10-23,-0.22883223
2023-10-24,-0.23049687
2023-10-25,-0.23146038
2023-10-26,-0.23164639
2023-10-27,-0.22807941
2023-10-28,-0.22605725
2023-10-29,-0.22621755
2023-10-30,-0.23264109
2023-10-31,-0.23633003
2023-11-01,-0.23584807
2023-11-02,-0.23141554
2023-11-03,-0.22926141
2023-11-04,-0.23389883
2023-11-05,-0.23299244
2023-11-06,-0.22877795
2023-11-07,-0.2362713
2023-11-08,-0.23288631
2023-11-09,-0.19630283
2023-11-10,-0.19396482
2023-11-11,-0.19187714
2023-11-12,-0.18952942
2023-11-13,-0.18917035
2023-11-14,-0.19002606
2023-11-15,-0.19175078
2023-11-16,-0.19753686
2023-11-17,-0.1927629
2023-11-18,-0.19242975
2023-11-19,-0.19984911
2023-11-20,-0.2024429
2023-11-21,-0.2028646
2023-11-22,-0.20103711
2023-11-23,-0.20166239
2023-11-24,-0.19630346
2023-11-25,-0.20093235
2023-11-26,-0.2026293
2023-11-27,-0.19515873
2023-11-28,-0.19740315
2023-11-29,-0.1980074
2023-11-30,-0.20246267
2023-12-01,-0.20138447
2023-12-02,-0.20033133
2023-12-03,-0.1988334
2023-12-04,-0.20207591
2023-12-05,-0.19809607
2023-12-06,-0.19536245
2023-12-07,-0.20353112
2023-12-08,-0.19791724
2023-12-09,-0.19244882
2023-12-10,-0.19503723
2023-12-11,-0.19537683
2023-12-12,-0.19467266
2023-12-13,-0.19825853
2023-12-14,-0.19031838
2023-12-15,-0.19153792
2023-12-16,-0.1953039
2023-12-17,-0.19199553
2023-12-18,-0.20108105
2023-12-19,-0.16421078
2023-12-20,-0.16208
2023-12-21,-0.16488394
2023-12-22,-0.16314436
2023-12-23,-0.16234848
2023-12-24,-0.16408
2023-12-25,-0.16321196
2023-12-26,-0.16411951
2023-12-27,-0.16163449
2023-12-28,-0.16482157
