Date,Forecast
2023-05-03,-0.23015893
2023-05-04,-0.22276618
2023-05-05,-0.2237305
2023-05-06,-0.23519488
2023-05-07,-0.22851522
2023-05-08,-0.22451897
2023-05-09,-0.22831558
2023-05-10,-0.23250717
2023-05-11,-0.22549927
2023-05-12,-0.22349513
2023-05-13,-0.19591944
2023-05-14,-0.19073048
2023-05-15,-0.19213495
2023-05-16,-0.1900968
2023-05-17,-0.19237047
2023-05-18,-0.1915407
2023-05-19,-0.18438168
2023-05-20,-0.1950197
2023-05-21,-0.19318058
2023-05-22,-0.19299649
2023-05-23,-0.14256449
2023-05-24,-0.14035095
2023-05-25,-0.14325525
2023-05-26,-0.15873271
2023-05-27,-0.1535679
2023-05-28,-0.1618822
2023-05-29,-0.17069462
2023-05-30,-0.15485659
2023-05-31,-0.17109503
2023-06-01,-0.17970932
2023-06-02,-0.13528933
2023-06-03,-0.13499361
2023-06-04,-0.15211779
2023-06-05,-0.1721178
2023-06-06,-0.1634768
2023-06-07,-0.15685134
2023-06-08,-0.187891
2023-06-09,-0.17124808
2023-06-10,-0.1818435
2023-06-11,-0.19431947
2023-06-12,-0.17442545
2023-06-13,-0.18074559
2023-06-14,-0.17193031
2023-06-15,-0.17531091
2023-06-16,-0.17940201
2023-06-17,-0.18058912
2023-06-18,-0.17711453
2023-06-19,-0.18138407
2023-06-20,-0.17113091
2023-06-21,-0.1740579
2023-06-22,-0.21499656
2023-06-23,-0.20975801
2023-06-24,-0.20816109
2023-06-25,-0.21104574
2023-06-26,-0.21198472
2023-06-27,-0.21548611
2023-06-28,-0.21609028
2023-06-29,-0.20654248
2023-06-30,-0.20953861
2023-07-01,-0.21478672
2023-07-02,-0.19286682
2023-07-03,-0.19738244
2023-07-04,-0.19056226
2023-07-05,-0.19116163
2023-07-06,-0.19079188
2023-07-07,-0.19657286
2023-07-08,-0.19974
2023-07-09,-0.18910168
2023-07-10,-0.20024253
2023-07-11,-0.19599651
2023-07-12,-0.20460497
2023-07-13,-0.1963309
2023-07-14,-0.20002183
2023-07-15,-0.20116161
2023-07-16,-0.20513105
2023-07-17,-0.20503247
2023-07-18,-0.20005812
2023-07-19,-0.19493723
2023-07-20,-0.19875866
2023-07-21,-0.20335141
2023-07-22,-0.18878461
2023-07-23,-0.18796848
2023-07-24,-0.18728095
2023-07-25,-0.19010633
2023-07-26,-0.18612403
2023-07-27,-0.1773679
2023-07-28,-0.18851078
2023-07-29,-0.1841271
2023-07-30,-0.18676187
2023-07-31,-0.18697779
2023-08-01,-0.24208942
2023-08-02,-0.24477477
2023-08-03,-0.24154902
2023-08-04,-0.23700923
2023-08-05,-0.24448904
2023-08-06,-0.24100652
2023-08-07,-0.2386792
2023-08-08,-0.23234197
2023-08-09,-0.24155155
2023-08-10,-0.24274091
2023-08-11,-0.20893548
2023-08-12,-0.21772271
2023-08-13,-0.20757163
2023-08-14,-0.20640756
2023-08-15,-0.2074844
2023-08-16,-0.20749316
2023-08-17,-0.20834506
2023-08-18,-0.20535383
