Date,Forecast
2023-05-03,-0.2257654
2023-05-04,-0.22781
2023-05-05,-0.22756043
2023-05-06,-0.23309062
2023-05-07,-0.22735481
2023-05-08,-0.22540277
2023-05-09,-0.22753014
2023-05-10,-0.22744587
2023-05-11,-0.22550242
2023-05-12,-0.24205935
2023-05-13,-0.19512714
2023-05-14,-0.1979312
2023-05-15,-0.20331907
2023-05-16,-0.19722304
2023-05-17,-0.19548091
2023-05-18,-0.19847183
2023-05-19,-0.19910364
2023-05-20,-0.20181082
2023-05-21,-0.19864574
2023-05-22,-0.19837202
2023-05-23,-0.17037769
2023-05-24,-0.1605638
2023-05-25,-0.16416611
2023-05-26,-0.16161755
2023-05-27,-0.16974035
2023-05-28,-0.1762234
2023-05-29,-0.1650477
2023-05-30,-0.1689178
2023-05-31,-0.15793084
2023-06-01,-0.1630646
2023-06-02,-0.1443386
2023-06-03,-0.13552679
2023-06-04,-0.14280798
2023-06-05,-0.15148617
2023-06-06,-0.15880418
2023-06-07,-0.14725766
2023-06-08,-0.16406235
2023-06-09,-0.1719925
2023-06-10,-0.18177657
2023-06-11,-0.1889333
2023-06-12,-0.19763067
2023-06-13,-0.19256128
2023-06-14,-0.19058298
2023-06-15,-0.19186471
2023-06-16,-0.19025454
2023-06-17,-0.19365263
2023-06-18,-0.19026956
2023-06-19,-0.18947215
2023-06-20,-0.19922408
2023-06-21,-0.1919743
2023-06-22,-0.22220768
2023-06-23,-0.22186443
2023-06-24,-0.21183343
2023-06-25,-0.2213605
2023-06-26,-0.220713
2023-06-27,-0.22645731
2023-06-28,-0.21444696
2023-06-29,-0.21781783
2023-06-30,-0.22148176
2023-07-01,-0.22525245
2023-07-02,-0.21542482
2023-07-03,-0.21738012
2023-07-04,-0.21686766
2023-07-05,-0.21415083
2023-07-06,-0.2138796
2023-07-07,-0.21471809
2023-07-08,-0.22060934
2023-07-09,-0.20736724
2023-07-10,-0.21544272
2023-07-11,-0.21112065
2023-07-12,-0.21725915
2023-07-13,-0.21389581
2023-07-14,-0.20932311
2023-07-15,-0.2112009
2023-07-16,-0.21427235
2023-07-17,-0.22199449
2023-07-18,-0.21871287
2023-07-19,-0.21566308
2023-07-20,-0.21526767
2023-07-21,-0.2142272
2023-07-22,-0.19044976
2023-07-23,-0.19558005
2023-07-24,-0.18602888
2023-07-25,-0.1937226
2023-07-26,-0.20104076
2023-07-27,-0.19723077
2023-07-28,-0.19823612
2023-07-29,-0.19241072
2023-07-30,-0.19574317
2023-07-31,-0.19250003
2023-08-01,-0.2519356
2023-08-02,-0.24291329
2023-08-03,-0.25843945
2023-08-04,-0.25807917
2023-08-05,-0.25184065
2023-08-06,-0.23996176
2023-08-07,-0.25883037
2023-08-08,-0.24957348
2023-08-09,-0.25480548
2023-08-10,-0.24802417
2023-08-11,-0.21608333
2023-08-12,-0.22151437
2023-08-13,-0.2140103
2023-08-14,-0.21661139
2023-08-15,-0.21281612
2023-08-16,-0.21358599
2023-08-17,-0.21031782
2023-08-18,-0.20223168
2023-08-19,-0.2114802
2023-08-20,-0.21117046
2023-08-21,-0.24877848
2023-08-22,-0.24769016
2023-08-23,-0.24673988
2023-08-24,-0.26094398
2023-08-25,-0.2524453
2023-08-26,-0.2544957
2023-08-27,-0.2448952
2023-08-28,-0.26299497
2023-08-29,-0.24058156
2023-08-30,-0.25437722
2023-08-31,-0.30290383
2023-09-01,-0.29065818
2023-09-02,-0.31983453
2023-09-03,-0.301755
2023-09-04,-0.30099368
2023-09-05,-0.3014488
2023-09-06,-0.3035758
2023-09-07,-0.29908776
2023-09-08,-0.28960097
2023-09-09,-0.30052173
2023-09-10,-0.28101876
2023-09-11,-0.28145957
2023-09-12,-0.2644898
2023-09-13,-0.2684365
2023-09-14,-0.27583784
2023-09-15,-0.26778758
2023-09-16,-0.27389354
2023-09-17,-0.2832792
2023-09-18,-0.2685988
2023-09-19,-0.2733803
2023-09-20,-0.25552532
2023-09-21,-0.25443697
2023-09-22,-0.25608408
2023-09-23,-0.24896178
2023-09-24,-0.26070014
2023-09-25,-0.2531274
2023-09-26,-0.25259814
2023-09-27,-0.24974456
2023-09-28,-0.24724239
2023-09-29,-0.25341398
2023-09-30,-0.23429753
2023-10-01,-0.22700746
2023-10-02,-0.22708662
2023-10-03,-0.23085542
2023-10-04,-0.22186783
2023-10-05,-0.22666338
2023-10-06,-0.22706003
2023-10-07,-0.22670397
2023-10-08,-0.22557046
2023-10-09,-0.23312227
2023-10-10,-0.23808528
2023-10-11,-0.23717052
2023-10-12,-0.22837128
2023-10-13,-0.23166548
2023-10-14,-0.23463807
2023-10-15,-0.22727746
2023-10-16,-0.23418453
2023-10-17,-0.2412704
2023-10-18,-0.23064117
2023-10-19,-0.2399346
2023-10-20,-0.24675445
2023-10-21,-0.25337863
2023-10-22,-0.24327809
2023-10-23,-0.24107315
2023-10-24,-0.2394945
2023-10-25,-0.2434236
2023-10-26,-0.24082041
2023-10-27,-0.24792004
2023-10-28,-0.2447452
2023-10-29,-0.24510561
2023-10-30,-0.24797788
2023-10-31,-0.2523411
2023-11-01,-0.24449922
2023-11-02,-0.2404943
2023-11-03,-0.24344172
2023-11-04,-0.2473412
2023-11-05,-0.23959433
2023-11-06,-0.24707454
