Date,Forecast
2023-05-03,-0.21656805
2023-05-04,-0.21278386
2023-05-05,-0.207669
2023-05-06,-0.21380515
2023-05-07,-0.21173015
2023-05-08,-0.21683504
2023-05-09,-0.2120794
2023-05-10,-0.2171771
2023-05-11,-0.21557188
2023-05-12,-0.21740809
2023-05-13,-0.18851766
2023-05-14,-0.18485957
2023-05-15,-0.1926933
2023-05-16,-0.1874073
2023-05-17,-0.18666348
2023-05-18,-0.19248895
2023-05-19,-0.19212419
2023-05-20,-0.1880445
2023-05-21,-0.20104076
2023-05-22,-0.1853197
2023-05-23,-0.16031007
2023-05-24,-0.16065368
2023-05-25,-0.13217567
2023-05-26,-0.16533478
2023-05-27,-0.16836888
2023-05-28,-0.16713347
2023-05-29,-0.1683712
2023-05-30,-0.16573952
2023-05-31,-0.1587061
2023-06-01,-0.16183668
2023-06-02,-0.14236712
2023-06-03,-0.12744494
2023-06-04,-0.14774114
2023-06-05,-0.14069386
2023-06-06,-0.15832102
2023-06-07,-0.15477209
2023-06-08,-0.16418053
2023-06-09,-0.17463829
2023-06-10,-0.16926484
2023-06-11,-0.17633425
2023-06-12,-0.17404605
2023-06-13,-0.17534047
2023-06-14,-0.17674746
2023-06-15,-0.17884812
2023-06-16,-0.18174663
2023-06-17,-0.17795452
2023-06-18,-0.18018661
2023-06-19,-0.1815597
2023-06-20,-0.17897363
2023-06-21,-0.17959024
2023-06-22,-0.20382662
2023-06-23,-0.20657626
2023-06-24,-0.21416117
2023-06-25,-0.20724435
2023-06-26,-0.20256567
2023-06-27,-0.21356755
2023-06-28,-0.20540671
2023-06-29,-0.20807223
2023-06-30,-0.20356211
2023-07-01,-0.20723802
2023-07-02,-0.19519311
2023-07-03,-0.19687307
2023-07-04,-0.19225766
2023-07-05,-0.19047248
2023-07-06,-0.18930805
2023-07-07,-0.19540536
2023-07-08,-0.1911827
2023-07-09,-0.19561538
2023-07-10,-0.18629014
2023-07-11,-0.18531263
2023-07-12,-0.19586632
2023-07-13,-0.19571991
2023-07-14,-0.19778652
2023-07-15,-0.19562015
2023-07-16,-0.19428755
2023-07-17,-0.19807251
2023-07-18,-0.19263767
2023-07-19,-0.20157434
2023-07-20,-0.19198814
2023-07-21,-0.19630104
2023-07-22,-0.18343158
2023-07-23,-0.17952864
2023-07-24,-0.18419918
2023-07-25,-0.17760786
2023-07-26,-0.17393318
2023-07-27,-0.17510456
2023-07-28,-0.17496966
2023-07-29,-0.17475657
2023-07-30,-0.17205219
2023-07-31,-0.18146652
