Date,Forecast
2023-05-03,-0.21696715
2023-05-04,-0.21519186
2023-05-05,-0.22135864
2023-05-06,-0.22074743
2023-05-07,-0.21227628
2023-05-08,-0.21665655
2023-05-09,-0.21740271
2023-05-10,-0.21321338
2023-05-11,-0.21682751
2023-05-12,-0.21662584
2023-05-13,-0.19605486
2023-05-14,-0.18950948
2023-05-15,-0.18994828
2023-05-16,-0.19253106
2023-05-17,-0.19201529
2023-05-18,-0.19574742
2023-05-19,-0.19009684
2023-05-20,-0.1929544
2023-05-21,-0.19229458
2023-05-22,-0.19166885
2023-05-23,-0.17096794
2023-05-24,-0.17008057
2023-05-25,-0.16225195
2023-05-26,-0.16385563
2023-05-27,-0.17013454
2023-05-28,-0.16811794
2023-05-29,-0.16594057
2023-05-30,-0.1684182
2023-05-31,-0.16829748
2023-06-01,-0.1745862
2023-06-02,-0.14399646
2023-06-03,-0.13667779
2023-06-04,-0.1453302
2023-06-05,-0.14729393
2023-06-06,-0.14886127
2023-06-07,-0.14255539
2023-06-08,-0.15404959
2023-06-09,-0.1569576
2023-06-10,-0.17238638
2023-06-11,-0.1792279
2023-06-12,-0.18582696
2023-06-13,-0.18458813
2023-06-14,-0.19284254
2023-06-15,-0.18554495
2023-06-16,-0.190909
2023-06-17,-0.18678434
2023-06-18,-0.1870418
2023-06-19,-0.1818793
2023-06-20,-0.18188056
2023-06-21,-0.1837365
2023-06-22,-0.21231148
2023-06-23,-0.21694656
2023-06-24,-0.20978074
2023-06-25,-0.21727757
2023-06-26,-0.2111805
2023-06-27,-0.21140325
2023-06-28,-0.21097222
2023-06-29,-0.21071187
2023-06-30,-0.20895125
2023-07-01,-0.21463957
2023-07-02,-0.17262629
2023-07-03,-0.18997082
2023-07-04,-0.18606089
2023-07-05,-0.19763434
2023-07-06,-0.18790284
2023-07-07,-0.1951046
2023-07-08,-0.19350521
2023-07-09,-0.18990764
2023-07-10,-0.19602957
2023-07-11,-0.19007835
2023-07-12,-0.19922915
2023-07-13,-0.19816603
2023-07-14,-0.20817895
2023-07-15,-0.20241821
2023-07-16,-0.20194101
2023-07-17,-0.20355546
2023-07-18,-0.20413989
2023-07-19,-0.20392923
2023-07-20,-0.19953142
2023-07-21,-0.19677494
2023-07-22,-0.17961603
2023-07-23,-0.183749
2023-07-24,-0.17759205
2023-07-25,-0.1788862
2023-07-26,-0.184055
2023-07-27,-0.18040754
2023-07-28,-0.18413323
2023-07-29,-0.18000996
2023-07-30,-0.18133731
2023-07-31,-0.17921326
2023-08-01,-0.22066116
2023-08-02,-0.22107962
2023-08-03,-0.22068053
2023-08-04,-0.22572836
2023-08-05,-0.22040379
2023-08-06,-0.2306666
2023-08-07,-0.22018987
2023-08-08,-0.22400616
2023-08-09,-0.22011653
2023-08-10,-0.22119422
2023-08-11,-0.19475946
2023-08-12,-0.1959452
2023-08-13,-0.19428514
2023-08-14,-0.19134127
2023-08-15,-0.19420739
2023-08-16,-0.19902343
2023-08-17,-0.19991007
2023-08-18,-0.19249016
2023-08-19,-0.1943804
2023-08-20,-0.1867769
2023-08-21,-0.20628703
2023-08-22,-0.20930462
2023-08-23,-0.21176025
2023-08-24,-0.20778874
2023-08-25,-0.20565324
2023-08-26,-0.2110058
2023-08-27,-0.20543288
2023-08-28,-0.21577364
2023-08-29,-0.20619926
2023-08-30,-0.21498705
2023-08-31,-0.25852942
2023-09-01,-0.25355807
2023-09-02,-0.25168055
2023-09-03,-0.2548578
2023-09-04,-0.25036862
2023-09-05,-0.24161743
2023-09-06,-0.25514278
2023-09-07,-0.255165
2023-09-08,-0.2548673
2023-09-09,-0.24116577
2023-09-10,-0.23152618
2023-09-11,-0.23047006
2023-09-12,-0.22926527
2023-09-13,-0.22418803
2023-09-14,-0.21659532
2023-09-15,-0.22884797
2023-09-16,-0.2293344
2023-09-17,-0.22680634
2023-09-18,-0.23271175
2023-09-19,-0.22595839
2023-09-20,-0.22325663
2023-09-21,-0.21731743
2023-09-22,-0.20910345
2023-09-23,-0.22011064
2023-09-24,-0.21454336
2023-09-25,-0.22186899
2023-09-26,-0.217848
2023-09-27,-0.20648254
2023-09-28,-0.21088636
2023-09-29,-0.21710768
2023-09-30,-0.19559206
2023-10-01,-0.20192346
2023-10-02,-0.2010211
2023-10-03,-0.19579342
2023-10-04,-0.19825883
2023-10-05,-0.19589478
2023-10-06,-0.19716425
2023-10-07,-0.20225148
2023-10-08,-0.19875786
2023-10-09,-0.19745888
2023-10-10,-0.20508403
2023-10-11,-0.20246208
2023-10-12,-0.20316944
2023-10-13,-0.2070825
2023-10-14,-0.20890814
2023-10-15,-0.20582399
2023-10-16,-0.20349069
2023-10-17,-0.21272203
2023-10-18,-0.20385301
2023-10-19,-0.20861736
2023-10-20,-0.20983225
2023-10-21,-0.19638945
2023-10-22,-0.21333213
2023-10-23,-0.21417505
2023-10-24,-0.21036749
2023-10-25,-0.21288566
2023-10-26,-0.20898858
2023-10-27,-0.21785873
2023-10-28,-0.21386147
2023-10-29,-0.21316269
2023-10-30,-0.21278057
2023-10-31,-0.21151851
2023-11-01,-0.21380301
2023-11-02,-0.21326546
2023-11-03,-0.21319014
2023-11-04,-0.21310358
2023-11-05,-0.23616678
2023-11-06,-0.2106608
2023-11-07,-0.21014532
2023-11-08,-0.21575171
2023-11-09,-0.1778862
2023-11-10,-0.18342741
2023-11-11,-0.18854427
2023-11-12,-0.18438712
2023-11-13,-0.17991608
2023-11-14,-0.17422573
2023-11-15,-0.18289034
2023-11-16,-0.17977495
2023-11-17,-0.1861947
2023-11-18,-0.19047055
2023-11-19,-0.18801355
2023-11-20,-0.18576498
2023-11-21,-0.19404745
2023-11-22,-0.18655731
2023-11-23,-0.18586573
2023-11-24,-0.19122969
2023-11-25,-0.18512878
2023-11-26,-0.18527938
2023-11-27,-0.18707499
2023-11-28,-0.18556485
2023-11-29,-0.19012946
2023-11-30,-0.19421048
2023-12-01,-0.19959974
2023-12-02,-0.19610891
2023-12-03,-0.19466388
2023-12-04,-0.1885613
2023-12-05,-0.19018897
2023-12-06,-0.18891035
2023-12-07,-0.19528893
2023-12-08,-0.18555103
2023-12-09,-0.18512441
2023-12-10,-0.19341299
2023-12-11,-0.19303858
2023-12-12,-0.19568382
2023-12-13,-0.19521269
2023-12-14,-0.19049272
2023-12-15,-0.19769982
2023-12-16,-0.19540124
2023-12-17,-0.19574513
2023-12-18,-0.1953487
2023-12-19,-0.17606097
2023-12-20,-0.17546983
2023-12-21,-0.17112897
2023-12-22,-0.17371356
2023-12-23,-0.16850589
2023-12-24,-0.1715784
2023-12-25,-0.16620573
2023-12-26,-0.16993201
2023-12-27,-0.16902183
2023-12-28,-0.17052808
