Date,Forecast
2023-05-03,-0.21477203
2023-05-04,-0.20946549
2023-05-05,-0.20921838
2023-05-06,-0.21057567
2023-05-07,-0.21083349
2023-05-08,-0.20801693
2023-05-09,-0.21850592
2023-05-10,-0.20905727
2023-05-11,-0.2145111
2023-05-12,-0.21809073
2023-05-13,-0.18889755
2023-05-14,-0.20207718
2023-05-15,-0.19159555
2023-05-16,-0.1872022
2023-05-17,-0.1858745
2023-05-18,-0.17998485
2023-05-19,-0.18669134
2023-05-20,-0.18769749
2023-05-21,-0.18529832
2023-05-22,-0.18317024
2023-05-23,-0.1560961
2023-05-24,-0.1487456
2023-05-25,-0.1455471
2023-05-26,-0.1491668
2023-05-27,-0.159409
2023-05-28,-0.16673204
2023-05-29,-0.16496657
2023-05-30,-0.14578752
2023-05-31,-0.16301832
2023-06-01,-0.15856391
2023-06-02,-0.11176034
2023-06-03,-0.14206858
2023-06-04,-0.13549428
2023-06-05,-0.15431046
2023-06-06,-0.15179306
2023-06-07,-0.14172535
2023-06-08,-0.1575198
2023-06-09,-0.15451553
2023-06-10,-0.1768404
2023-06-11,-0.17835838
2023-06-12,-0.1811666
2023-06-13,-0.18330716
2023-06-14,-0.1783542
2023-06-15,-0.19438419
2023-06-16,-0.18333796
2023-06-17,-0.18153095
2023-06-18,-0.17352937
2023-06-19,-0.1785754
2023-06-20,-0.17416602
2023-06-21,-0.17738731
2023-06-22,-0.2160433
2023-06-23,-0.21362197
2023-06-24,-0.20785452
2023-06-25,-0.2157971
2023-06-26,-0.21540791
2023-06-27,-0.21432006
2023-06-28,-0.21470937
2023-06-29,-0.20944542
2023-06-30,-0.2068474
2023-07-01,-0.20847271
2023-07-02,-0.20044532
2023-07-03,-0.19692054
2023-07-04,-0.20331104
2023-07-05,-0.1989864
2023-07-06,-0.19273034
2023-07-07,-0.19766502
2023-07-08,-0.19977002
2023-07-09,-0.19891655
2023-07-10,-0.19500482
2023-07-11,-0.19553117
2023-07-12,-0.20631893
2023-07-13,-0.20428222
2023-07-14,-0.20648555
2023-07-15,-0.20502302
2023-07-16,-0.19996767
2023-07-17,-0.20543942
2023-07-18,-0.19805384
2023-07-19,-0.20450626
2023-07-20,-0.20744407
2023-07-21,-0.20148899
2023-07-22,-0.1862348
2023-07-23,-0.18463488
2023-07-24,-0.18609342
2023-07-25,-0.18268631
2023-07-26,-0.17988566
2023-07-27,-0.1839538
2023-07-28,-0.18959163
2023-07-29,-0.18106918
2023-07-30,-0.1838964
2023-07-31,-0.18027611
2023-08-01,-0.2300062
2023-08-02,-0.22742727
2023-08-03,-0.2275043
2023-08-04,-0.2286611
2023-08-05,-0.22334829
2023-08-06,-0.22950256
2023-08-07,-0.23258749
2023-08-08,-0.23318565
