Date,Forecast
2023-05-03,-0.2217951
2023-05-04,-0.22402218
2023-05-05,-0.21995358
2023-05-06,-0.22165897
2023-05-07,-0.21774743
2023-05-08,-0.21639265
2023-05-09,-0.2213344
2023-05-10,-0.21789092
2023-05-11,-0.22150204
2023-05-12,-0.21432538
2023-05-13,-0.20165972
2023-05-14,-0.1907694
2023-05-15,-0.19727755
2023-05-16,-0.19396345
2023-05-17,-0.19789037
2023-05-18,-0.19520487
2023-05-19,-0.19585331
2023-05-20,-0.1979407
2023-05-21,-0.19595118
2023-05-22,-0.19402866
2023-05-23,-0.16903584
2023-05-24,-0.16498369
2023-05-25,-0.16502285
2023-05-26,-0.16895825
2023-05-27,-0.1661498
2023-05-28,-0.16102791
2023-05-29,-0.1712788
2023-05-30,-0.16327012
2023-05-31,-0.16253626
2023-06-01,-0.16931318
2023-06-02,-0.13708179
2023-06-03,-0.14266782
2023-06-04,-0.16807544
2023-06-05,-0.16603231
2023-06-06,-0.14672723
2023-06-07,-0.14516307
2023-06-08,-0.15496136
2023-06-09,-0.15874451
2023-06-10,-0.15574494
2023-06-11,-0.17774254
2023-06-12,-0.19154757
2023-06-13,-0.19090919
2023-06-14,-0.19532256
2023-06-15,-0.19031559
2023-06-16,-0.19022663
2023-06-17,-0.19251066
2023-06-18,-0.1893556
2023-06-19,-0.18690366
2023-06-20,-0.19321708
2023-06-21,-0.19228937
2023-06-22,-0.21334186
2023-06-23,-0.20751077
2023-06-24,-0.2087597
2023-06-25,-0.20943837
2023-06-26,-0.2134077
2023-06-27,-0.21243756
2023-06-28,-0.21058664
2023-06-29,-0.21218908
2023-06-30,-0.21421151
2023-07-01,-0.21061082
2023-07-02,-0.19371627
2023-07-03,-0.19286205
2023-07-04,-0.19328085
2023-07-05,-0.19560175
2023-07-06,-0.1965247
2023-07-07,-0.1954481
2023-07-08,-0.19459729
2023-07-09,-0.19069645
2023-07-10,-0.19412145
2023-07-11,-0.1927514
2023-07-12,-0.20430598
2023-07-13,-0.19797607
2023-07-14,-0.20465662
2023-07-15,-0.20321885
2023-07-16,-0.19804963
2023-07-17,-0.2003894
2023-07-18,-0.20060498
2023-07-19,-0.19873938
2023-07-20,-0.20447199
2023-07-21,-0.21006018
2023-07-22,-0.18205743
2023-07-23,-0.18238288
2023-07-24,-0.18454246
2023-07-25,-0.18412554
2023-07-26,-0.18141104
2023-07-27,-0.18659885
2023-07-28,-0.19103947
