Date,Forecast
2023-05-03,-0.23670311
2023-05-04,-0.22167791
2023-05-05,-0.22917543
2023-05-06,-0.2192836
2023-05-07,-0.22256857
2023-05-08,-0.2168281
2023-05-09,-0.2231286
2023-05-10,-0.22217526
2023-05-11,-0.21629938
2023-05-12,-0.22240686
2023-05-13,-0.1950095
2023-05-14,-0.19914915
2023-05-15,-0.19272675
2023-05-16,-0.19549303
2023-05-17,-0.19687332
2023-05-18,-0.19740294
2023-05-19,-0.19347517
2023-05-20,-0.19880217
2023-05-21,-0.19718342
2023-05-22,-0.19720058
2023-05-23,-0.1594604
2023-05-24,-0.15135056
2023-05-25,-0.15956978
2023-05-26,-0.15566863
2023-05-27,-0.15700915
2023-05-28,-0.17620967
2023-05-29,-0.16575229
2023-05-30,-0.16317004
2023-05-31,-0.16202568
2023-06-01,-0.16688026
2023-06-02,-0.13903654
2023-06-03,-0.13402526
2023-06-04,-0.1532536
2023-06-05,-0.14492945
2023-06-06,-0.15930466
2023-06-07,-0.15350877
2023-06-08,-0.1671253
2023-06-09,-0.16987194
2023-06-10,-0.18462574
2023-06-11,-0.18415995
2023-06-12,-0.18999533
2023-06-13,-0.18819842
2023-06-14,-0.19544324
2023-06-15,-0.19607203
2023-06-16,-0.19317198
2023-06-17,-0.19771183
2023-06-18,-0.19898644
2023-06-19,-0.19165285
2023-06-20,-0.20292026
2023-06-21,-0.19263145
2023-06-22,-0.21622442
2023-06-23,-0.21938816
2023-06-24,-0.21560457
2023-06-25,-0.22295766
2023-06-26,-0.21927664
2023-06-27,-0.22358248
2023-06-28,-0.22671692
2023-06-29,-0.22108585
2023-06-30,-0.22390075
2023-07-01,-0.22418804
2023-07-02,-0.20446381
2023-07-03,-0.20481108
2023-07-04,-0.21229634
2023-07-05,-0.2133308
2023-07-06,-0.21489094
2023-07-07,-0.20572573
2023-07-08,-0.21026494
2023-07-09,-0.2133342
2023-07-10,-0.21299797
2023-07-11,-0.21440542
2023-07-12,-0.2158229
2023-07-13,-0.21471657
2023-07-14,-0.22018452
2023-07-15,-0.2149568
2023-07-16,-0.21728672
2023-07-17,-0.21322958
2023-07-18,-0.21717833
2023-07-19,-0.22044486
2023-07-20,-0.21789046
2023-07-21,-0.2199623
2023-07-22,-0.19934009
2023-07-23,-0.1931292
2023-07-24,-0.19840963
2023-07-25,-0.19586985
2023-07-26,-0.19786936
2023-07-27,-0.20082016
2023-07-28,-0.19445296
2023-07-29,-0.19358668
2023-07-30,-0.19607757
2023-07-31,-0.19466387
2023-08-01,-0.25611997
2023-08-02,-0.25696194
2023-08-03,-0.24661468
2023-08-04,-0.25699666
2023-08-05,-0.24308327
2023-08-06,-0.23964159
2023-08-07,-0.25242063
2023-08-08,-0.25154492
2023-08-09,-0.25657868
2023-08-10,-0.24613447
2023-08-11,-0.21523532
2023-08-12,-0.21966153
2023-08-13,-0.21678449
2023-08-14,-0.21157134
2023-08-15,-0.21799181
2023-08-16,-0.21973652
2023-08-17,-0.21639206
2023-08-18,-0.21567492
2023-08-19,-0.21773407
2023-08-20,-0.20582068
2023-08-21,-0.2547764
2023-08-22,-0.24615549
2023-08-23,-0.24810058
2023-08-24,-0.24483435
2023-08-25,-0.25373003
2023-08-26,-0.24979855
2023-08-27,-0.2537611
2023-08-28,-0.25267604
2023-08-29,-0.25289187
2023-08-30,-0.25319573
2023-08-31,-0.30551022
2023-09-01,-0.30449373
2023-09-02,-0.30652243
2023-09-03,-0.29856738
2023-09-04,-0.29940718
2023-09-05,-0.3166269
2023-09-06,-0.3047
2023-09-07,-0.30839542
2023-09-08,-0.30272523
2023-09-09,-0.31498122
2023-09-10,-0.26815152
2023-09-11,-0.27715892
2023-09-12,-0.28026947
2023-09-13,-0.26736686
2023-09-14,-0.27442378
2023-09-15,-0.27076072
2023-09-16,-0.27806142
2023-09-17,-0.27979153
2023-09-18,-0.2713272
2023-09-19,-0.26423088
2023-09-20,-0.2524811
2023-09-21,-0.25947315
2023-09-22,-0.2471672
2023-09-23,-0.24652101
2023-09-24,-0.2501459
2023-09-25,-0.25000352
2023-09-26,-0.25898814
2023-09-27,-0.2546883
2023-09-28,-0.25389108
2023-09-29,-0.2503272
2023-09-30,-0.23302807
2023-10-01,-0.22567295
2023-10-02,-0.22612233
2023-10-03,-0.22516298
2023-10-04,-0.22483785
2023-10-05,-0.22595343
2023-10-06,-0.22288506
2023-10-07,-0.22924238
2023-10-08,-0.23005442
2023-10-09,-0.23484482
2023-10-10,-0.23004082
2023-10-11,-0.23985438
2023-10-12,-0.23236914
2023-10-13,-0.23845074
2023-10-14,-0.23595102
2023-10-15,-0.23567678
2023-10-16,-0.22792155
2023-10-17,-0.23598664
2023-10-18,-0.22819072
2023-10-19,-0.23766424
2023-10-20,-0.24324477
2023-10-21,-0.23373821
2023-10-22,-0.24475032
2023-10-23,-0.2420805
2023-10-24,-0.24524376
2023-10-25,-0.23375472
2023-10-26,-0.24176842
2023-10-27,-0.24435616
2023-10-28,-0.23135015
2023-10-29,-0.24983843
2023-10-30,-0.24930544
2023-10-31,-0.24070616
2023-11-01,-0.24631591
2023-11-02,-0.24515001
2023-11-03,-0.24248014
2023-11-04,-0.24321803
2023-11-05,-0.24648215
2023-11-06,-0.23870066
2023-11-07,-0.24237846
2023-11-08,-0.25229743
2023-11-09,-0.19292544
2023-11-10,-0.19694342
2023-11-11,-0.1895583
2023-11-12,-0.20194805
2023-11-13,-0.19614117
2023-11-14,-0.19333364
2023-11-15,-0.20097303
2023-11-16,-0.19929272
2023-11-17,-0.1977146
2023-11-18,-0.19958596
2023-11-19,-0.21035057
2023-11-20,-0.2061808
2023-11-21,-0.20447722
2023-11-22,-0.20538455
2023-11-23,-0.20386405
2023-11-24,-0.20731379
2023-11-25,-0.20677893
2023-11-26,-0.20273727
2023-11-27,-0.20588583
2023-11-28,-0.20130402
2023-11-29,-0.2119242
2023-11-30,-0.20568971
2023-12-01,-0.21146363
2023-12-02,-0.20185538
2023-12-03,-0.21082877
2023-12-04,-0.20408534
2023-12-05,-0.20939791
2023-12-06,-0.20827341
2023-12-07,-0.20708498
2023-12-08,-0.20347214
2023-12-09,-0.21567102
2023-12-10,-0.21107443
2023-12-11,-0.20734642
2023-12-12,-0.19571099
2023-12-13,-0.20854694
2023-12-14,-0.2089037
2023-12-15,-0.20293912
2023-12-16,-0.20332165
2023-12-17,-0.20072155
2023-12-18,-0.20159046
2023-12-19,-0.16769627
2023-12-20,-0.16498326
2023-12-21,-0.16426174
2023-12-22,-0.16562553
2023-12-23,-0.16897911
2023-12-24,-0.17107877
2023-12-25,-0.1609276
2023-12-26,-0.1662881
2023-12-27,-0.16363336
2023-12-28,-0.17191225
