Date,Forecast
2023-05-03,-0.015050352
2023-05-04,-0.02076113
2023-05-05,-0.022271557
2023-05-06,-0.023321815
2023-05-07,-0.023916278
2023-05-08,-0.024569739
2023-05-09,-0.023275442
2023-05-10,-0.021561624
2023-05-11,-0.023842549
2023-05-12,-0.02499164
2023-05-13,-0.01315907
2023-05-14,-0.013042634
2023-05-15,-0.013771172
2023-05-16,-0.013754276
2023-05-17,-0.013925417
2023-05-18,-0.01396703
2023-05-19,-0.014190674
2023-05-20,-0.015096349
2023-05-21,-0.014824872
2023-05-22,-0.014835559
2023-05-23,-0.0118657
2023-05-24,-0.013526827
2023-05-25,-0.012744014
2023-05-26,-0.013890985
2023-05-27,-0.014108655
2023-05-28,-0.015036911
2023-05-29,-0.015879724
2023-05-30,-0.0136811305
2023-05-31,-0.01494756
2023-06-01,-0.015660565
2023-06-02,-0.014414659
2023-06-03,-0.0164881
2023-06-04,-0.018324582
2023-06-05,-0.017393034
2023-06-06,-0.018724995
2023-06-07,-0.016919313
2023-06-08,-0.01816901
2023-06-09,-0.020102723
2023-06-10,-0.019190736
2023-06-11,-0.018755104
2023-06-12,-0.013998135
2023-06-13,-0.01398581
2023-06-14,-0.014070525
2023-06-15,-0.014050113
2023-06-16,-0.014373342
2023-06-17,-0.01432771
2023-06-18,-0.014968774
2023-06-19,-0.014406339
2023-06-20,-0.014296073
2023-06-21,-0.014051313
2023-06-22,-0.014533073
2023-06-23,-0.01396846
2023-06-24,-0.014307123
2023-06-25,-0.014224322
2023-06-26,-0.0139200315
2023-06-27,-0.014153874
2023-06-28,-0.01433178
2023-06-29,-0.014000345
2023-06-30,-0.014116027
2023-07-01,-0.014019246
2023-07-02,-0.013506633
2023-07-03,-0.013975474
2023-07-04,-0.014157331
2023-07-05,-0.013731685
2023-07-06,-0.014083263
2023-07-07,-0.013667162
2023-07-08,-0.013256964
2023-07-09,-0.013850191
2023-07-10,-0.013648673
2023-07-11,-0.013875837
2023-07-12,-0.0130961565
2023-07-13,-0.013602587
2023-07-14,-0.013376594
2023-07-15,-0.0132168885
2023-07-16,-0.013387407
2023-07-17,-0.013547626
2023-07-18,-0.012789976
2023-07-19,-0.013125493
2023-07-20,-0.013203126
2023-07-21,-0.01330188
2023-07-22,-0.009649382
2023-07-23,-0.011526848
2023-07-24,-0.011781881
2023-07-25,-0.011639673
2023-07-26,-0.012288953
2023-07-27,-0.01271724
2023-07-28,-0.013016308
2023-07-29,-0.013556906
2023-07-30,-0.013935869
2023-07-31,-0.014521698
2023-08-01,-0.012973311
2023-08-02,-0.0126433065
2023-08-03,-0.012774601
2023-08-04,-0.013246124
2023-08-05,-0.013088323
2023-08-06,-0.013070893
2023-08-07,-0.013192979
2023-08-08,-0.013060466
2023-08-09,-0.012587566
2023-08-10,-0.012383166
2023-08-11,-0.021034649
2023-08-12,-0.021508934
2023-08-13,-0.02231108
2023-08-14,-0.021402089
2023-08-15,-0.022178264
2023-08-16,-0.022647798
2023-08-17,-0.021646883
2023-08-18,-0.022271413
2023-08-19,-0.021309897
2023-08-20,-0.022000663
2023-08-21,-0.015845068
2023-08-22,-0.016015183
2023-08-23,-0.015912909
2023-08-24,-0.015817786
2023-08-25,-0.015948607
2023-08-26,-0.015898047
2023-08-27,-0.015636437
2023-08-28,-0.015978305
2023-08-29,-0.015860522
2023-08-30,-0.016054798
2023-08-31,-0.015801195
2023-09-01,-0.016048834
2023-09-02,-0.015671182
2023-09-03,-0.016297786
2023-09-04,-0.015455928
2023-09-05,-0.015734544
2023-09-06,-0.015584188
2023-09-07,-0.015664244
2023-09-08,-0.015872143
2023-09-09,-0.015541711
2023-09-10,-0.014675646
2023-09-11,-0.01434284
2023-09-12,-0.014611457
2023-09-13,-0.014649511
2023-09-14,-0.01414017
2023-09-15,-0.014568244
2023-09-16,-0.0142158
2023-09-17,-0.015035694
2023-09-18,-0.013965879
2023-09-19,-0.014609147
2023-09-20,-0.014913278
2023-09-21,-0.014718431
2023-09-22,-0.015123668
2023-09-23,-0.014500228
2023-09-24,-0.014641022
2023-09-25,-0.015038353
2023-09-26,-0.0150180785
2023-09-27,-0.014930077
2023-09-28,-0.014537267
2023-09-29,-0.015030413
2023-09-30,-0.008651427
2023-10-01,-0.00714135
2023-10-02,-0.008439388
2023-10-03,-0.006496349
2023-10-04,-0.008547117
2023-10-05,-0.008832533
2023-10-06,-0.010033857
2023-10-07,-0.01032551
2023-10-08,-0.011026107
2023-10-09,-0.010922611
2023-10-10,-0.010364429
2023-10-11,-0.009642921
2023-10-12,-0.009670605
2023-10-13,-0.011673279
2023-10-14,-0.011782524
2023-10-15,-0.011927731
2023-10-16,-0.013123095
2023-10-17,-0.0121257305
2023-10-18,-0.012672224
2023-10-19,-0.01351473
2023-10-20,-0.0081633255
2023-10-21,-0.008291395
2023-10-22,-0.009553083
2023-10-23,-0.008548069
2023-10-24,-0.009649397
2023-10-25,-0.009245093
2023-10-26,-0.009106058
2023-10-27,-0.009910794
2023-10-28,-0.009596694
2023-10-29,-0.009864011
2023-10-30,-0.007619888
2023-10-31,-0.008281624
2023-11-01,-0.00862931
2023-11-02,-0.009173567
2023-11-03,-0.0093798
2023-11-04,-0.009722032
2023-11-05,-0.009982235
2023-11-06,-0.009471336
2023-11-07,-0.009291584
2023-11-08,-0.009758349
2023-11-09,-0.004427388
2023-11-10,-0.0043608174
2023-11-11,-0.004690444
2023-11-12,-0.004767908
2023-11-13,-0.004832151
2023-11-14,-0.0053570694
2023-11-15,-0.005161977
2023-11-16,-0.005574802
2023-11-17,-0.0060448777
2023-11-18,-0.0060212766
2023-11-19,-0.004942824
2023-11-20,-0.0052197613
2023-11-21,-0.0052223606
2023-11-22,-0.0049292794
2023-11-23,-0.004656249
2023-11-24,-0.005426416
2023-11-25,-0.0052734334
2023-11-26,-0.00539677
2023-11-27,-0.0054702777
2023-11-28,-0.005908378
2023-11-29,-0.004350459
2023-11-30,-0.0049446966
2023-12-01,-0.004891886
2023-12-02,-0.0046355734
2023-12-03,-0.004971431
2023-12-04,-0.004882182
2023-12-05,-0.0051388107
2023-12-06,-0.005451477
2023-12-07,-0.0055496027
2023-12-08,-0.005757996
2023-12-09,-0.008581729
2023-12-10,-0.0078098536
2023-12-11,-0.008034292
2023-12-12,-0.007580223
2023-12-13,-0.008094221
2023-12-14,-0.008322504
2023-12-15,-0.009139492
2023-12-16,-0.009864566
2023-12-17,-0.009739067
2023-12-18,-0.009936208
2023-12-19,-0.008006097
2023-12-20,-0.009239456
