Date,Forecast
2023-05-03,-0.21896926
2023-05-04,-0.21368556
2023-05-05,-0.2202714
2023-05-06,-0.22763352
2023-05-07,-0.21074185
2023-05-08,-0.22344416
2023-05-09,-0.2236648
2023-05-10,-0.22151525
2023-05-11,-0.22214101
2023-05-12,-0.21956845
2023-05-13,-0.1974747
2023-05-14,-0.19083561
2023-05-15,-0.19954953
2023-05-16,-0.19118038
2023-05-17,-0.19207296
2023-05-18,-0.19398528
2023-05-19,-0.19768271
2023-05-20,-0.19923225
2023-05-21,-0.19573177
2023-05-22,-0.19045523
2023-05-23,-0.17212059
2023-05-24,-0.1607842
2023-05-25,-0.17731836
2023-05-26,-0.1606106
2023-05-27,-0.16873932
2023-05-28,-0.1648928
2023-05-29,-0.1727153
2023-05-30,-0.1675004
2023-05-31,-0.1660638
2023-06-01,-0.17161582
2023-06-02,-0.13592967
2023-06-03,-0.14407541
2023-06-04,-0.14961249
2023-06-05,-0.1663616
2023-06-06,-0.14859825
2023-06-07,-0.16082354
2023-06-08,-0.1513835
2023-06-09,-0.17624027
2023-06-10,-0.17361969
2023-06-11,-0.1757065
2023-06-12,-0.17947069
2023-06-13,-0.18346989
2023-06-14,-0.18358795
2023-06-15,-0.18445218
2023-06-16,-0.18283482
2023-06-17,-0.18408951
2023-06-18,-0.18076889
2023-06-19,-0.18261085
2023-06-20,-0.17726928
2023-06-21,-0.18185836
2023-06-22,-0.21090022
2023-06-23,-0.21068226
2023-06-24,-0.20987819
2023-06-25,-0.20846626
2023-06-26,-0.20866247
2023-06-27,-0.21086878
2023-06-28,-0.2088819
2023-06-29,-0.21292782
2023-06-30,-0.21118489
2023-07-01,-0.19939
2023-07-02,-0.19038309
2023-07-03,-0.18258192
2023-07-04,-0.1890921
2023-07-05,-0.19529344
2023-07-06,-0.19391763
2023-07-07,-0.18985814
2023-07-08,-0.1944825
2023-07-09,-0.19056033
2023-07-10,-0.19336218
2023-07-11,-0.19353922
2023-07-12,-0.19630085
2023-07-13,-0.19783777
2023-07-14,-0.21121047
2023-07-15,-0.19360664
2023-07-16,-0.19285531
2023-07-17,-0.19741279
2023-07-18,-0.19571514
2023-07-19,-0.19792025
2023-07-20,-0.19088341
2023-07-21,-0.20327418
2023-07-22,-0.17765161
2023-07-23,-0.18011053
2023-07-24,-0.17715739
2023-07-25,-0.17348318
2023-07-26,-0.17619377
2023-07-27,-0.17437054
2023-07-28,-0.16650309
2023-07-29,-0.18106398
2023-07-30,-0.18635468
2023-07-31,-0.17388202
2023-08-01,-0.21885185
2023-08-02,-0.21656835
2023-08-03,-0.21892649
2023-08-04,-0.21659622
2023-08-05,-0.21115522
2023-08-06,-0.21628502
2023-08-07,-0.21628904
2023-08-08,-0.2159644
2023-08-09,-0.21628931
2023-08-10,-0.21777564
2023-08-11,-0.19341128
2023-08-12,-0.18889795
2023-08-13,-0.18674822
2023-08-14,-0.19725409
2023-08-15,-0.19308329
2023-08-16,-0.19117805
2023-08-17,-0.18956599
2023-08-18,-0.19032484
2023-08-19,-0.18970907
2023-08-20,-0.18538979
2023-08-21,-0.20459414
2023-08-22,-0.20479265
2023-08-23,-0.20239197
2023-08-24,-0.19929054
2023-08-25,-0.22021374
2023-08-26,-0.20540108
2023-08-27,-0.20467216
2023-08-28,-0.21018244
2023-08-29,-0.20677622
2023-08-30,-0.21203022
2023-08-31,-0.25279942
2023-09-01,-0.2512109
2023-09-02,-0.2434888
2023-09-03,-0.24997553
2023-09-04,-0.24058561
2023-09-05,-0.25286698
2023-09-06,-0.24147598
2023-09-07,-0.24688296
2023-09-08,-0.2492837
2023-09-09,-0.24997829
2023-09-10,-0.22515489
2023-09-11,-0.22905901
2023-09-12,-0.22172582
2023-09-13,-0.23053797
2023-09-14,-0.22403163
2023-09-15,-0.22673546
2023-09-16,-0.22403997
2023-09-17,-0.2278117
2023-09-18,-0.22370128
2023-09-19,-0.22118223
2023-09-20,-0.22395588
2023-09-21,-0.20959213
2023-09-22,-0.2132246
2023-09-23,-0.2144139
2023-09-24,-0.22026537
2023-09-25,-0.21292807
2023-09-26,-0.21749283
2023-09-27,-0.21614477
2023-09-28,-0.21851522
2023-09-29,-0.22205652
2023-09-30,-0.20034929
2023-10-01,-0.19525723
2023-10-02,-0.20235741
2023-10-03,-0.20029274
2023-10-04,-0.19928062
2023-10-05,-0.18049525
2023-10-06,-0.1996907
2023-10-07,-0.27203405
2023-10-08,-0.19259124
2023-10-09,-0.19936627
2023-10-10,-0.2054728
2023-10-11,-0.20496899
2023-10-12,-0.19998685
2023-10-13,-0.20775786
2023-10-14,-0.20258787
2023-10-15,-0.20551662
2023-10-16,-0.19909002
2023-10-17,-0.19914657
2023-10-18,-0.20000653
2023-10-19,-0.20524101
2023-10-20,-0.2187855
2023-10-21,-0.21138062
2023-10-22,-0.21799584
2023-10-23,-0.21324116
2023-10-24,-0.21162003
2023-10-25,-0.20902136
2023-10-26,-0.21172003
2023-10-27,-0.20925182
2023-10-28,-0.21039838
2023-10-29,-0.21431693
2023-10-30,-0.20723575
2023-10-31,-0.20770858
2023-11-01,-0.21317121
2023-11-02,-0.21572208
2023-11-03,-0.21164419
2023-11-04,-0.21194586
2023-11-05,-0.20728561
2023-11-06,-0.20988013
2023-11-07,-0.21658897
2023-11-08,-0.21002956
2023-11-09,-0.18364319
2023-11-10,-0.18630357
2023-11-11,-0.18058257
2023-11-12,-0.18486518
2023-11-13,-0.18490888
2023-11-14,-0.18406513
2023-11-15,-0.17834473
2023-11-16,-0.1827703
2023-11-17,-0.182615
2023-11-18,-0.1841137
2023-11-19,-0.18706556
2023-11-20,-0.19118409
2023-11-21,-0.19123726
2023-11-22,-0.19318473
2023-11-23,-0.18722144
2023-11-24,-0.18844964
2023-11-25,-0.19013631
2023-11-26,-0.18971744
2023-11-27,-0.19115447
2023-11-28,-0.18297794
2023-11-29,-0.19918886
2023-11-30,-0.19649062
2023-12-01,-0.19066735
2023-12-02,-0.19074209
2023-12-03,-0.20122424
2023-12-04,-0.19230187
2023-12-05,-0.1952382
2023-12-06,-0.19667093
2023-12-07,-0.19770528
2023-12-08,-0.19791391
2023-12-09,-0.19261271
2023-12-10,-0.19767372
2023-12-11,-0.1964603
2023-12-12,-0.19240856
2023-12-13,-0.19383
2023-12-14,-0.19464393
2023-12-15,-0.18879971
2023-12-16,-0.19206147
2023-12-17,-0.19468659
2023-12-18,-0.18889353
2023-12-19,-0.17169946
2023-12-20,-0.17610437
2023-12-21,-0.17350301
2023-12-22,-0.17344168
2023-12-23,-0.17098235
2023-12-24,-0.17926125
2023-12-25,-0.17020187
2023-12-26,-0.17408739
2023-12-27,-0.17628738
