Date,Forecast
2023-05-03,-0.21955858
2023-05-04,-0.21836445
2023-05-05,-0.2141065
2023-05-06,-0.21781075
2023-05-07,-0.21957119
2023-05-08,-0.21744685
2023-05-09,-0.20161375
2023-05-10,-0.21856527
2023-05-11,-0.21495867
2023-05-12,-0.21397215
2023-05-13,-0.19894843
2023-05-14,-0.19515905
2023-05-15,-0.19226135
2023-05-16,-0.19444874
2023-05-17,-0.1871887
2023-05-18,-0.19330741
2023-05-19,-0.19366793
2023-05-20,-0.18348335
2023-05-21,-0.18348409
2023-05-22,-0.1895134
2023-05-23,-0.17168725
2023-05-24,-0.16584253
2023-05-25,-0.15912397
2023-05-26,-0.16452134
2023-05-27,-0.162989
2023-05-28,-0.17222488
2023-05-29,-0.16634738
2023-05-30,-0.16841696
2023-05-31,-0.16524647
2023-06-01,-0.16513517
2023-06-02,-0.12889424
2023-06-03,-0.13005187
2023-06-04,-0.14379019
2023-06-05,-0.14731835
2023-06-06,-0.1663911
2023-06-07,-0.15426137
2023-06-08,-0.14985102
2023-06-09,-0.17356241
2023-06-10,-0.17597859
2023-06-11,-0.18057223
2023-06-12,-0.16456266
2023-06-13,-0.18225178
2023-06-14,-0.17981277
2023-06-15,-0.18497296
2023-06-16,-0.18085648
2023-06-17,-0.18404406
2023-06-18,-0.17994392
2023-06-19,-0.18201569
2023-06-20,-0.17990759
2023-06-21,-0.17923507
2023-06-22,-0.21247229
2023-06-23,-0.21384339
2023-06-24,-0.2162413
2023-06-25,-0.21352646
2023-06-26,-0.2176526
2023-06-27,-0.20842558
2023-06-28,-0.21566148
2023-06-29,-0.20677641
2023-06-30,-0.20963989
2023-07-01,-0.21522908
2023-07-02,-0.19146517
2023-07-03,-0.19705933
2023-07-04,-0.19574547
2023-07-05,-0.19189359
2023-07-06,-0.18821137
2023-07-07,-0.19316751
2023-07-08,-0.19596365
2023-07-09,-0.18866165
2023-07-10,-0.19442149
2023-07-11,-0.19222248
2023-07-12,-0.19481039
2023-07-13,-0.19525439
2023-07-14,-0.20246464
2023-07-15,-0.20003171
2023-07-16,-0.19568853
2023-07-17,-0.20122215
2023-07-18,-0.1979121
