Date,Forecast
2023-05-03,-0.21698473
2023-05-04,-0.2156601
2023-05-05,-0.21809477
2023-05-06,-0.2236759
2023-05-07,-0.21426214
2023-05-08,-0.2212797
2023-05-09,-0.21571867
2023-05-10,-0.21839403
2023-05-11,-0.22022733
2023-05-12,-0.22081856
2023-05-13,-0.19401175
2023-05-14,-0.19054659
2023-05-15,-0.18545675
2023-05-16,-0.19501433
2023-05-17,-0.18900329
2023-05-18,-0.20119767
2023-05-19,-0.19449145
2023-05-20,-0.19618204
2023-05-21,-0.1934548
2023-05-22,-0.19136919
2023-05-23,-0.17014271
2023-05-24,-0.16390938
2023-05-25,-0.15045172
2023-05-26,-0.17257737
2023-05-27,-0.16380045
2023-05-28,-0.16695248
2023-05-29,-0.17495628
2023-05-30,-0.16921356
2023-05-31,-0.1647888
2023-06-01,-0.16123815
2023-06-02,-0.15157734
2023-06-03,-0.15837222
2023-06-04,-0.1623495
2023-06-05,-0.16067083
2023-06-06,-0.15561709
2023-06-07,-0.14971592
2023-06-08,-0.16156884
2023-06-09,-0.16212696
2023-06-10,-0.17121886
2023-06-11,-0.16969934
2023-06-12,-0.18859026
2023-06-13,-0.18609674
2023-06-14,-0.18845966
2023-06-15,-0.1909718
2023-06-16,-0.19054538
2023-06-17,-0.18864605
2023-06-18,-0.19277298
2023-06-19,-0.18735762
2023-06-20,-0.19089958
2023-06-21,-0.18733938
2023-06-22,-0.20647034
2023-06-23,-0.21174008
2023-06-24,-0.20537783
2023-06-25,-0.21084265
2023-06-26,-0.21147285
2023-06-27,-0.2108336
2023-06-28,-0.2088583
2023-06-29,-0.20967382
2023-06-30,-0.21286413
2023-07-01,-0.21227737
2023-07-02,-0.19105509
2023-07-03,-0.1975469
2023-07-04,-0.19727546
2023-07-05,-0.19581236
2023-07-06,-0.20089217
2023-07-07,-0.20084244
2023-07-08,-0.19899122
2023-07-09,-0.18698725
2023-07-10,-0.1900872
2023-07-11,-0.19507001
2023-07-12,-0.20045835
2023-07-13,-0.19851193
2023-07-14,-0.20164695
2023-07-15,-0.19794564
2023-07-16,-0.20150273
2023-07-17,-0.19994396
2023-07-18,-0.19774368
2023-07-19,-0.19765052
2023-07-20,-0.20384428
2023-07-21,-0.19694537
2023-07-22,-0.1817825
2023-07-23,-0.1890226
2023-07-24,-0.1834324
2023-07-25,-0.18043661
2023-07-26,-0.18915556
2023-07-27,-0.18425551
2023-07-28,-0.18535574
2023-07-29,-0.19418246
2023-07-30,-0.18278292
2023-07-31,-0.180683
2023-08-01,-0.21833767
2023-08-02,-0.20738569
2023-08-03,-0.21651907
2023-08-04,-0.21822296
2023-08-05,-0.22086196
2023-08-06,-0.21900117
2023-08-07,-0.22278175
2023-08-08,-0.22622772
2023-08-09,-0.22557686
2023-08-10,-0.21924578
2023-08-11,-0.19809839
2023-08-12,-0.19296768
2023-08-13,-0.1996999
2023-08-14,-0.19517055
2023-08-15,-0.19205828
2023-08-16,-0.19157146
2023-08-17,-0.19532892
2023-08-18,-0.19552197
2023-08-19,-0.18885134
2023-08-20,-0.19279519
2023-08-21,-0.20909719
2023-08-22,-0.2120793
2023-08-23,-0.2091937
2023-08-24,-0.20759743
2023-08-25,-0.20642915
2023-08-26,-0.21379223
2023-08-27,-0.21458027
2023-08-28,-0.219691
2023-08-29,-0.21566528
2023-08-30,-0.21385045
2023-08-31,-0.256516
2023-09-01,-0.25201252
2023-09-02,-0.25555843
2023-09-03,-0.24972188
2023-09-04,-0.2605824
2023-09-05,-0.25162128
2023-09-06,-0.25113136
2023-09-07,-0.24565822
2023-09-08,-0.24674183
2023-09-09,-0.25316322
2023-09-10,-0.23916414
2023-09-11,-0.23141703
2023-09-12,-0.22807625
2023-09-13,-0.22281113
2023-09-14,-0.23517361
2023-09-15,-0.22744982
2023-09-16,-0.22910556
2023-09-17,-0.22739582
2023-09-18,-0.2310742
2023-09-19,-0.23023474
2023-09-20,-0.2173631
2023-09-21,-0.21369278
2023-09-22,-0.21755925
2023-09-23,-0.21362033
2023-09-24,-0.21172822
2023-09-25,-0.21797775
2023-09-26,-0.21652475
2023-09-27,-0.21092634
2023-09-28,-0.21852455
2023-09-29,-0.21980399
2023-09-30,-0.20284489
2023-10-01,-0.20414896
2023-10-02,-0.2045774
2023-10-03,-0.20103307
2023-10-04,-0.2127708
2023-10-05,-0.20378214
2023-10-06,-0.2050713
2023-10-07,-0.20260139
2023-10-08,-0.1945848
2023-10-09,-0.19990791
2023-10-10,-0.2064916
2023-10-11,-0.20189597
2023-10-12,-0.20470552
2023-10-13,-0.2022492
2023-10-14,-0.19291635
2023-10-15,-0.21081407
2023-10-16,-0.20505434
2023-10-17,-0.20406109
2023-10-18,-0.2039566
2023-10-19,-0.20325111
2023-10-20,-0.21645683
2023-10-21,-0.20863211
2023-10-22,-0.216094
2023-10-23,-0.2151455
2023-10-24,-0.21228097
2023-10-25,-0.21486877
2023-10-26,-0.21568348
2023-10-27,-0.2131951
2023-10-28,-0.2191758
2023-10-29,-0.214896
2023-10-30,-0.21497497
2023-10-31,-0.2126847
2023-11-01,-0.21844703
2023-11-02,-0.21790701
2023-11-03,-0.2083751
2023-11-04,-0.22030884
2023-11-05,-0.22060794
2023-11-06,-0.22464696
2023-11-07,-0.21280941
2023-11-08,-0.2142719
2023-11-09,-0.20009556
2023-11-10,-0.18303093
2023-11-11,-0.18278557
2023-11-12,-0.18231718
2023-11-13,-0.18604197
2023-11-14,-0.18478821
2023-11-15,-0.18610081
2023-11-16,-0.18779865
2023-11-17,-0.1902805
2023-11-18,-0.18374668
2023-11-19,-0.18858294
2023-11-20,-0.1850865
2023-11-21,-0.19426195
2023-11-22,-0.19437063
2023-11-23,-0.18811096
2023-11-24,-0.18983051
2023-11-25,-0.18903366
2023-11-26,-0.19326605
2023-11-27,-0.18444796
2023-11-28,-0.1848607
2023-11-29,-0.19809212
2023-11-30,-0.19489062
2023-12-01,-0.19619964
2023-12-02,-0.19252838
2023-12-03,-0.19947985
2023-12-04,-0.19483443
2023-12-05,-0.19469069
2023-12-06,-0.19472508
2023-12-07,-0.19686201
2023-12-08,-0.19695124
2023-12-09,-0.20034109
2023-12-10,-0.19567196
2023-12-11,-0.19209392
2023-12-12,-0.19700956
2023-12-13,-0.19671813
2023-12-14,-0.1962349
2023-12-15,-0.20186988
2023-12-16,-0.19931611
2023-12-17,-0.1949099
2023-12-18,-0.19694866
2023-12-19,-0.17840026
2023-12-20,-0.16905668
2023-12-21,-0.17357774
2023-12-22,-0.16901393
2023-12-23,-0.17322852
2023-12-24,-0.17157026
2023-12-25,-0.16844907
2023-12-26,-0.17704056
2023-12-27,-0.17151074
2023-12-28,-0.17261977
