Date,Forecast
2023-05-03,-0.213813
2023-05-04,-0.21562858
2023-05-05,-0.21369217
2023-05-06,-0.21625136
2023-05-07,-0.21914893
2023-05-08,-0.21762015
2023-05-09,-0.21053223
2023-05-10,-0.21948302
2023-05-11,-0.21843489
2023-05-12,-0.20792294
2023-05-13,-0.18927601
2023-05-14,-0.18833843
2023-05-15,-0.1921877
2023-05-16,-0.18836316
2023-05-17,-0.18754423
2023-05-18,-0.18764883
2023-05-19,-0.19322777
2023-05-20,-0.18550043
2023-05-21,-0.18812506
2023-05-22,-0.19313946
2023-05-23,-0.16075285
2023-05-24,-0.15069228
2023-05-25,-0.14277218
2023-05-26,-0.14844707
2023-05-27,-0.15672672
2023-05-28,-0.16443135
2023-05-29,-0.16750826
2023-05-30,-0.16418381
2023-05-31,-0.16355026
2023-06-01,-0.16782102
2023-06-02,-0.12927012
2023-06-03,-0.139297
2023-06-04,-0.14904104
2023-06-05,-0.14496315
2023-06-06,-0.15743858
2023-06-07,-0.14287394
2023-06-08,-0.15518215
2023-06-09,-0.17396013
2023-06-10,-0.19127716
2023-06-11,-0.17394838
2023-06-12,-0.18620595
2023-06-13,-0.18596548
2023-06-14,-0.1894045
2023-06-15,-0.19724514
2023-06-16,-0.1863451
2023-06-17,-0.18679127
2023-06-18,-0.19007033
2023-06-19,-0.18826912
2023-06-20,-0.20209688
2023-06-21,-0.19082548
2023-06-22,-0.21837813
2023-06-23,-0.21437879
2023-06-24,-0.21831404
2023-06-25,-0.2261256
2023-06-26,-0.21065699
2023-06-27,-0.22371414
2023-06-28,-0.22147793
2023-06-29,-0.21968807
2023-06-30,-0.21783674
2023-07-01,-0.21533468
2023-07-02,-0.20313807
2023-07-03,-0.2094989
2023-07-04,-0.19792354
2023-07-05,-0.20566988
2023-07-06,-0.20844023
2023-07-07,-0.20264553
2023-07-08,-0.20210846
2023-07-09,-0.20426145
2023-07-10,-0.2018139
2023-07-11,-0.20692813
2023-07-12,-0.20442109
2023-07-13,-0.20725863
2023-07-14,-0.21239471
2023-07-15,-0.21031518
2023-07-16,-0.20977403
2023-07-17,-0.20501022
2023-07-18,-0.21307486
2023-07-19,-0.20590706
2023-07-20,-0.21051018
2023-07-21,-0.21250433
2023-07-22,-0.20021287
2023-07-23,-0.19291973
2023-07-24,-0.1949535
2023-07-25,-0.19186029
2023-07-26,-0.18422829
2023-07-27,-0.19326365
2023-07-28,-0.18597242
2023-07-29,-0.18883952
2023-07-30,-0.18962453
2023-07-31,-0.19080314
2023-08-01,-0.23418298
2023-08-02,-0.23958613
2023-08-03,-0.24730374
2023-08-04,-0.23491968
2023-08-05,-0.2402697
2023-08-06,-0.24282008
2023-08-07,-0.2383361
2023-08-08,-0.23748031
2023-08-09,-0.23789302
2023-08-10,-0.23793955
2023-08-11,-0.20144719
2023-08-12,-0.20393263
2023-08-13,-0.20330973
2023-08-14,-0.20620862
2023-08-15,-0.20245162
2023-08-16,-0.20438848
2023-08-17,-0.2025136
2023-08-18,-0.19764782
2023-08-19,-0.20419459
2023-08-20,-0.20370163
2023-08-21,-0.23452859
2023-08-22,-0.23347227
2023-08-23,-0.22734211
2023-08-24,-0.24374251
2023-08-25,-0.22571053
2023-08-26,-0.23176117
2023-08-27,-0.23628822
2023-08-28,-0.22004123
2023-08-29,-0.2272165
2023-08-30,-0.23686609
2023-08-31,-0.27500185
2023-09-01,-0.2796353
2023-09-02,-0.2674389
2023-09-03,-0.2831302
2023-09-04,-0.2756589
2023-09-05,-0.27512354
2023-09-06,-0.27283373
2023-09-07,-0.27532995
2023-09-08,-0.27684486
2023-09-09,-0.27264783
2023-09-10,-0.25649413
2023-09-11,-0.26151094
2023-09-12,-0.24737085
2023-09-13,-0.25480852
2023-09-14,-0.25960052
2023-09-15,-0.2542684
2023-09-16,-0.25855857
2023-09-17,-0.2537653
2023-09-18,-0.25949386
2023-09-19,-0.25346366
2023-09-20,-0.23301534
2023-09-21,-0.24124826
2023-09-22,-0.23089856
2023-09-23,-0.2359679
2023-09-24,-0.23326164
2023-09-25,-0.22997066
2023-09-26,-0.23522867
2023-09-27,-0.23799862
2023-09-28,-0.2335602
2023-09-29,-0.23583739
2023-09-30,-0.21652643
2023-10-01,-0.21931991
2023-10-02,-0.21641484
2023-10-03,-0.21525002
2023-10-04,-0.21792942
2023-10-05,-0.21507725
2023-10-06,-0.21874864
2023-10-07,-0.21266729
2023-10-08,-0.21416026
2023-10-09,-0.21470813
2023-10-10,-0.22192919
2023-10-11,-0.22689137
2023-10-12,-0.22198881
2023-10-13,-0.21804489
2023-10-14,-0.225261
2023-10-15,-0.22440463
2023-10-16,-0.22008516
2023-10-17,-0.21008442
2023-10-18,-0.22116445
2023-10-19,-0.22021225
2023-10-20,-0.23173176
2023-10-21,-0.22864838
2023-10-22,-0.22821456
2023-10-23,-0.22916165
2023-10-24,-0.22503532
2023-10-25,-0.229017
2023-10-26,-0.2289823
2023-10-27,-0.22561395
2023-10-28,-0.22539976
2023-10-29,-0.22724386
2023-10-30,-0.2304529
2023-10-31,-0.23308016
2023-11-01,-0.22987781
2023-11-02,-0.2326077
2023-11-03,-0.23280933
2023-11-04,-0.23405527
2023-11-05,-0.23477049
2023-11-06,-0.22862796
2023-11-07,-0.22969025
2023-11-08,-0.22981404
2023-11-09,-0.18926893
2023-11-10,-0.19195385
2023-11-11,-0.19043186
2023-11-12,-0.18796112
2023-11-13,-0.18189262
2023-11-14,-0.18521297
2023-11-15,-0.18861963
2023-11-16,-0.18686786
2023-11-17,-0.19117793
2023-11-18,-0.19500412
2023-11-19,-0.1938764
2023-11-20,-0.18970746
2023-11-21,-0.19882792
2023-11-22,-0.19046909
2023-11-23,-0.19047163
2023-11-24,-0.19617191
2023-11-25,-0.19118385
2023-11-26,-0.19837028
2023-11-27,-0.2025557
2023-11-28,-0.19344038
2023-11-29,-0.20039928
2023-11-30,-0.20422806
2023-12-01,-0.20424128
2023-12-02,-0.19773047
2023-12-03,-0.20062868
2023-12-04,-0.19945028
2023-12-05,-0.20451468
2023-12-06,-0.19910218
2023-12-07,-0.19606364
2023-12-08,-0.20070072
2023-12-09,-0.19532627
2023-12-10,-0.19617511
2023-12-11,-0.19738653
2023-12-12,-0.19611461
2023-12-13,-0.19907756
2023-12-14,-0.19759919
2023-12-15,-0.20013408
2023-12-16,-0.19866623
2023-12-17,-0.19443507
2023-12-18,-0.18871704
2023-12-19,-0.17149559
2023-12-20,-0.16727991
2023-12-21,-0.17940317
2023-12-22,-0.16941361
2023-12-23,-0.16662809
2023-12-24,-0.16990173
2023-12-25,-0.16535412
2023-12-26,-0.17035921
2023-12-27,-0.17550746
2023-12-28,-0.16355656
