Date,Forecast
2023-05-03,-0.22332886
2023-05-04,-0.22563322
2023-05-05,-0.22104718
2023-05-06,-0.22651072
2023-05-07,-0.23448074
2023-05-08,-0.22395374
2023-05-09,-0.22564262
2023-05-10,-0.22625814
2023-05-11,-0.21908773
2023-05-12,-0.22146022
2023-05-13,-0.19690499
2023-05-14,-0.1950492
2023-05-15,-0.19239466
2023-05-16,-0.19630174
2023-05-17,-0.1945249
2023-05-18,-0.19908614
2023-05-19,-0.20554844
2023-05-20,-0.20017242
2023-05-21,-0.19701202
2023-05-22,-0.18989986
2023-05-23,-0.15619624
2023-05-24,-0.13658218
2023-05-25,-0.14654833
2023-05-26,-0.15560202
2023-05-27,-0.16650316
2023-05-28,-0.1658157
2023-05-29,-0.17328854
2023-05-30,-0.16250697
2023-05-31,-0.1611974
2023-06-01,-0.16078208
2023-06-02,-0.14512275
2023-06-03,-0.1316841
2023-06-04,-0.14674138
2023-06-05,-0.15583889
2023-06-06,-0.1496549
2023-06-07,-0.15072569
2023-06-08,-0.16399843
2023-06-09,-0.17631635
2023-06-10,-0.17467818
2023-06-11,-0.1835814
2023-06-12,-0.19178772
2023-06-13,-0.1897029
2023-06-14,-0.19567348
2023-06-15,-0.18857309
2023-06-16,-0.19281521
2023-06-17,-0.19278964
2023-06-18,-0.19316633
2023-06-19,-0.1948455
2023-06-20,-0.1931617
2023-06-21,-0.19509022
2023-06-22,-0.22621125
2023-06-23,-0.2259217
2023-06-24,-0.22144946
2023-06-25,-0.22265068
2023-06-26,-0.21972652
2023-06-27,-0.22039184
2023-06-28,-0.22247308
2023-06-29,-0.22908556
2023-06-30,-0.22729227
2023-07-01,-0.21288171
2023-07-02,-0.21788377
2023-07-03,-0.21420488
2023-07-04,-0.21993889
2023-07-05,-0.21144733
2023-07-06,-0.21126617
2023-07-07,-0.20893252
2023-07-08,-0.216691
2023-07-09,-0.2071376
2023-07-10,-0.20475468
2023-07-11,-0.21319589
2023-07-12,-0.21783543
2023-07-13,-0.2121348
2023-07-14,-0.21715483
2023-07-15,-0.2157103
2023-07-16,-0.21319194
2023-07-17,-0.2166885
2023-07-18,-0.21992542
2023-07-19,-0.21067661
2023-07-20,-0.21457085
2023-07-21,-0.20935087
2023-07-22,-0.19773714
2023-07-23,-0.19409989
2023-07-24,-0.19501027
2023-07-25,-0.19571699
2023-07-26,-0.20004883
2023-07-27,-0.19422048
2023-07-28,-0.19689967
2023-07-29,-0.19210991
2023-07-30,-0.19666646
2023-07-31,-0.1984956
2023-08-01,-0.24480322
2023-08-02,-0.24816485
2023-08-03,-0.2542442
2023-08-04,-0.24157417
2023-08-05,-0.24174723
2023-08-06,-0.24384458
2023-08-07,-0.2521117
2023-08-08,-0.24671459
2023-08-09,-0.24776345
2023-08-10,-0.24360356
2023-08-11,-0.21668081
2023-08-12,-0.21738358
2023-08-13,-0.21155134
2023-08-14,-0.22052544
2023-08-15,-0.21183701
2023-08-16,-0.21045598
2023-08-17,-0.20859629
2023-08-18,-0.20891191
2023-08-19,-0.2182425
2023-08-20,-0.21040754
2023-08-21,-0.24596725
2023-08-22,-0.24608673
2023-08-23,-0.25211188
2023-08-24,-0.24424262
2023-08-25,-0.24876668
2023-08-26,-0.24908125
2023-08-27,-0.24684936
2023-08-28,-0.24337094
2023-08-29,-0.24358027
2023-08-30,-0.24334787
2023-08-31,-0.29933938
2023-09-01,-0.30178332
2023-09-02,-0.30965835
2023-09-03,-0.29736316
2023-09-04,-0.30775654
2023-09-05,-0.30867532
2023-09-06,-0.30322337
2023-09-07,-0.30373564
2023-09-08,-0.2949221
2023-09-09,-0.29920337
2023-09-10,-0.2707729
2023-09-11,-0.2681261
2023-09-12,-0.2752575
2023-09-13,-0.27535978
2023-09-14,-0.27200443
2023-09-15,-0.2632849
2023-09-16,-0.27114397
2023-09-17,-0.2685418
2023-09-18,-0.27322584
2023-09-19,-0.27176982
2023-09-20,-0.25730446
2023-09-21,-0.24694377
2023-09-22,-0.24814168
2023-09-23,-0.243183
2023-09-24,-0.2481838
2023-09-25,-0.24350046
2023-09-26,-0.2571045
2023-09-27,-0.24009664
2023-09-28,-0.24500607
2023-09-29,-0.24800445
2023-09-30,-0.23267645
2023-10-01,-0.2232083
2023-10-02,-0.22655514
2023-10-03,-0.22522299
2023-10-04,-0.22485194
2023-10-05,-0.22745663
2023-10-06,-0.22135048
2023-10-07,-0.22696419
2023-10-08,-0.22722237
2023-10-09,-0.22547543
2023-10-10,-0.23015282
2023-10-11,-0.2335347
2023-10-12,-0.22769997
2023-10-13,-0.22489226
2023-10-14,-0.23666595
2023-10-15,-0.23117329
2023-10-16,-0.2368957
