Date,Forecast
2023-05-03,-0.044631
2023-05-04,-0.045073967
2023-05-05,-0.04530464
2023-05-06,-0.045120813
2023-05-07,-0.043811154
2023-05-08,-0.04484476
2023-05-09,-0.04336056
2023-05-10,-0.044807166
2023-05-11,-0.04491717
2023-05-12,-0.04493309
2023-05-13,-0.04599466
2023-05-14,-0.044534396
2023-05-15,-0.044896506
2023-05-16,-0.045369096
2023-05-17,-0.045789327
2023-05-18,-0.044607267
2023-05-19,-0.04514437
2023-05-20,-0.045880772
2023-05-21,-0.044565894
2023-05-22,-0.046268646
2023-05-23,-0.044822183
2023-05-24,-0.044620395
2023-05-25,-0.044989
2023-05-26,-0.044851877
2023-05-27,-0.043212965
2023-05-28,-0.044953547
2023-05-29,-0.044695187
2023-05-30,-0.044522535
2023-05-31,-0.045263857
2023-06-01,-0.044960395
2023-06-02,-0.04498277
2023-06-03,-0.04365822
2023-06-04,-0.04582479
2023-06-05,-0.045221485
2023-06-06,-0.044812966
2023-06-07,-0.04540145
2023-06-08,-0.043774314
2023-06-09,-0.043606706
2023-06-10,-0.04522285
2023-06-11,-0.045995012
2023-06-12,-0.044894997
2023-06-13,-0.045117103
2023-06-14,-0.044221446
2023-06-15,-0.044317584
2023-06-16,-0.04432015
2023-06-17,-0.044764657
2023-06-18,-0.044964705
2023-06-19,-0.044916864
2023-06-20,-0.045118522
2023-06-21,-0.043293204
2023-06-22,-0.045260552
2023-06-23,-0.045045983
2023-06-24,-0.04566148
2023-06-25,-0.04539301
2023-06-26,-0.044085268
2023-06-27,-0.045451388
2023-06-28,-0.045049917
2023-06-29,-0.045220718
2023-06-30,-0.041576177
2023-07-01,-0.044619936
2023-07-02,-0.044564165
2023-07-03,-0.0463624
2023-07-04,-0.045432378
2023-07-05,-0.044296432
2023-07-06,-0.044834808
2023-07-07,-0.045586318
2023-07-08,-0.047133666
2023-07-09,-0.04389392
2023-07-10,-0.043970842
2023-07-11,-0.045089692
2023-07-12,-0.04563488
2023-07-13,-0.043923043
2023-07-14,-0.044492487
2023-07-15,-0.045059662
2023-07-16,-0.044272203
2023-07-17,-0.04490381
2023-07-18,-0.045256518
2023-07-19,-0.045195855
2023-07-20,-0.045118608
2023-07-21,-0.04467832
2023-07-22,-0.043525293
2023-07-23,-0.043890387
2023-07-24,-0.04505754
2023-07-25,-0.045863625
2023-07-26,-0.04592899
2023-07-27,-0.047566053
2023-07-28,-0.043554686
2023-07-29,-0.045185633
2023-07-30,-0.04479684
2023-07-31,-0.044083226
2023-08-01,-0.04411691
2023-08-02,-0.045585413
2023-08-03,-0.04497569
2023-08-04,-0.04487536
2023-08-05,-0.043831088
2023-08-06,-0.04548018
2023-08-07,-0.044259332
2023-08-08,-0.044462338
2023-08-09,-0.04612774
2023-08-10,-0.04535668
2023-08-11,-0.044838686
2023-08-12,-0.04427247
2023-08-13,-0.044095088
2023-08-14,-0.044555593
2023-08-15,-0.044583797
2023-08-16,-0.043420658
2023-08-17,-0.044558138
2023-08-18,-0.044606436
2023-08-19,-0.042868238
2023-08-20,-0.044049174
2023-08-21,-0.044608418
2023-08-22,-0.043968543
2023-08-23,-0.04737784
2023-08-24,-0.045217052
2023-08-25,-0.047194786
2023-08-26,-0.04596494
2023-08-27,-0.045197025
2023-08-28,-0.044830896
2023-08-29,-0.044321302
2023-08-30,-0.04556682
2023-08-31,-0.044544388
2023-09-01,-0.04503896
2023-09-02,-0.04419853
2023-09-03,-0.045657158
2023-09-04,-0.04473823
2023-09-05,-0.04632257
2023-09-06,-0.04541627
2023-09-07,-0.044903785
2023-09-08,-0.04362028
2023-09-09,-0.04516552
2023-09-10,-0.046244774
2023-09-11,-0.046433315
2023-09-12,-0.045761336
2023-09-13,-0.0439431
2023-09-14,-0.04424207
2023-09-15,-0.043494985
2023-09-16,-0.04466734
2023-09-17,-0.045421436
2023-09-18,-0.04743791
2023-09-19,-0.04416327
2023-09-20,-0.044095468
2023-09-21,-0.045491356
2023-09-22,-0.044805404
2023-09-23,-0.04534456
2023-09-24,-0.04513505
2023-09-25,-0.045181874
2023-09-26,-0.045123663
2023-09-27,-0.045689486
2023-09-28,-0.046668667
2023-09-29,-0.044901427
2023-09-30,-0.045775857
2023-10-01,-0.044172257
2023-10-02,-0.044340283
2023-10-03,-0.045348488
2023-10-04,-0.04516782
2023-10-05,-0.04438694
2023-10-06,-0.04476757
2023-10-07,-0.045015067
2023-10-08,-0.04483896
2023-10-09,-0.044166107
2023-10-10,-0.044999514
2023-10-11,-0.045136333
2023-10-12,-0.045260873
2023-10-13,-0.045160323
2023-10-14,-0.043970138
2023-10-15,-0.045111198
2023-10-16,-0.042560764
2023-10-17,-0.045044
2023-10-18,-0.044790726
2023-10-19,-0.04512388
2023-10-20,-0.045396008
2023-10-21,-0.044309754
2023-10-22,-0.044513803
2023-10-23,-0.04533317
2023-10-24,-0.045017123
2023-10-25,-0.044522163
2023-10-26,-0.04434562
2023-10-27,-0.044803195
2023-10-28,-0.04523523
2023-10-29,-0.0443853
2023-10-30,-0.044990644
2023-10-31,-0.046846215
2023-11-01,-0.044396915
2023-11-02,-0.04454252
2023-11-03,-0.044261027
2023-11-04,-0.043440625
2023-11-05,-0.044671707
2023-11-06,-0.04472068
2023-11-07,-0.04397915
2023-11-08,-0.04418455
2023-11-09,-0.045548204
2023-11-10,-0.04486146
2023-11-11,-0.044375047
2023-11-12,-0.044505235
2023-11-13,-0.044776537
2023-11-14,-0.04659113
2023-11-15,-0.04342659
2023-11-16,-0.044674896
2023-11-17,-0.04419931
2023-11-18,-0.045641813
2023-11-19,-0.04565299
2023-11-20,-0.04436428
2023-11-21,-0.045805052
2023-11-22,-0.043254092
2023-11-23,-0.043862596
2023-11-24,-0.04503467
2023-11-25,-0.043605782
2023-11-26,-0.04502211
2023-11-27,-0.04559348
2023-11-28,-0.04489226
2023-11-29,-0.04532594
2023-11-30,-0.044688396
2023-12-01,-0.045079112
2023-12-02,-0.046151675
2023-12-03,-0.041605793
2023-12-04,-0.04507918
2023-12-05,-0.045288876
2023-12-06,-0.046686858
2023-12-07,-0.044067856
2023-12-08,-0.04599196
2023-12-09,-0.04463109
2023-12-10,-0.043735042
2023-12-11,-0.044833843
2023-12-12,-0.045258474
2023-12-13,-0.044737905
2023-12-14,-0.044768754
2023-12-15,-0.045112018
2023-12-16,-0.045601644
2023-12-17,-0.04430251
2023-12-18,-0.044478808
2023-12-19,-0.045418777
2023-12-20,-0.04562221
2023-12-21,-0.044903614
2023-12-22,-0.04527577
2023-12-23,-0.04424025
2023-12-24,-0.044188846
2023-12-25,-0.046428762
