Date,Forecast
2023-05-03,-0.43663144
2023-05-04,-0.43956578
2023-05-05,-0.42038035
2023-05-06,-0.43527156
2023-05-07,-0.4226456
2023-05-08,-0.42856845
2023-05-09,-0.4269889
2023-05-10,-0.42912084
2023-05-11,-0.43594605
2023-05-12,-0.42202148
2023-05-13,-0.33698404
2023-05-14,-0.33975574
2023-05-15,-0.3507016
2023-05-16,-0.32993335
2023-05-17,-0.346228
2023-05-18,-0.35310447
2023-05-19,-0.33603424
2023-05-20,-0.34519416
2023-05-21,-0.35022175
2023-05-22,-0.34292352
2023-05-23,-0.24911322
2023-05-24,-0.27058724
2023-05-25,-0.2650066
2023-05-26,-0.27655408
2023-05-27,-0.2867038
2023-05-28,-0.306504
2023-05-29,-0.32963184
2023-05-30,-0.32860398
2023-05-31,-0.33552113
2023-06-01,-0.34015507
2023-06-02,-0.26013732
2023-06-03,-0.27594364
2023-06-04,-0.29911005
2023-06-05,-0.28416988
2023-06-06,-0.28241098
2023-06-07,-0.30989644
2023-06-08,-0.3091987
2023-06-09,-0.34059364
2023-06-10,-0.3380673
2023-06-11,-0.34777957
2023-06-12,-0.31451568
2023-06-13,-0.30684745
2023-06-14,-0.30835077
2023-06-15,-0.30607888
2023-06-16,-0.30999872
2023-06-17,-0.31440085
2023-06-18,-0.30611357
2023-06-19,-0.30763596
2023-06-20,-0.31536973
2023-06-21,-0.3126005
2023-06-22,-0.3539884
2023-06-23,-0.34950906
2023-06-24,-0.3542227
2023-06-25,-0.35827172
2023-06-26,-0.36427373
2023-06-27,-0.34940544
2023-06-28,-0.35311157
2023-06-29,-0.35281074
2023-06-30,-0.3526167
2023-07-01,-0.34723
2023-07-02,-0.32133117
2023-07-03,-0.32772008
2023-07-04,-0.31946188
2023-07-05,-0.31971416
2023-07-06,-0.32620665
2023-07-07,-0.31720126
2023-07-08,-0.3181339
2023-07-09,-0.31950486
2023-07-10,-0.32655555
2023-07-11,-0.3102922
2023-07-12,-0.32385066
2023-07-13,-0.33915251
2023-07-14,-0.31642193
2023-07-15,-0.32766303
2023-07-16,-0.33417046
2023-07-17,-0.31873968
2023-07-18,-0.32103592
2023-07-19,-0.32027924
2023-07-20,-0.3289588
2023-07-21,-0.32116452
2023-07-22,-0.3141863
2023-07-23,-0.30614862
2023-07-24,-0.30203593
2023-07-25,-0.30337113
2023-07-26,-0.3021806
2023-07-27,-0.31221583
2023-07-28,-0.31250012
2023-07-29,-0.30024165
2023-07-30,-0.3089919
2023-07-31,-0.29969177
2023-08-01,-0.41854385
2023-08-02,-0.4232496
2023-08-03,-0.42557174
2023-08-04,-0.42697823
2023-08-05,-0.42499313
2023-08-06,-0.42788547
2023-08-07,-0.43180656
2023-08-08,-0.4116888
2023-08-09,-0.39932892
2023-08-10,-0.4223382
2023-08-11,-0.39286843
2023-08-12,-0.41910294
2023-08-13,-0.41457668
2023-08-14,-0.41236943
2023-08-15,-0.41312057
2023-08-16,-0.40610826
2023-08-17,-0.40640992
2023-08-18,-0.3953276
2023-08-19,-0.40243998
2023-08-20,-0.41027698
2023-08-21,-0.47617275
2023-08-22,-0.4746516
2023-08-23,-0.46277496
2023-08-24,-0.4780439
2023-08-25,-0.4832284
2023-08-26,-0.4787277
2023-08-27,-0.48231447
2023-08-28,-0.46137112
2023-08-29,-0.48465303
2023-08-30,-0.46218845
2023-08-31,-0.5187414
2023-09-01,-0.52895176
2023-09-02,-0.51407945
2023-09-03,-0.5154108
2023-09-04,-0.50527596
2023-09-05,-0.5029743
2023-09-06,-0.49647853
2023-09-07,-0.49550986
2023-09-08,-0.5175038
2023-09-09,-0.5179763
2023-09-10,-0.4741088
2023-09-11,-0.46789485
2023-09-12,-0.46273747
2023-09-13,-0.4512101
2023-09-14,-0.46098006
2023-09-15,-0.4675713
2023-09-16,-0.46765247
2023-09-17,-0.4769246
2023-09-18,-0.45900223
2023-09-19,-0.4565652
2023-09-20,-0.42032745
2023-09-21,-0.41384956
2023-09-22,-0.4213769
2023-09-23,-0.41567093
2023-09-24,-0.41643673
2023-09-25,-0.41307595
2023-09-26,-0.40635246
2023-09-27,-0.4127949
2023-09-28,-0.4242911
2023-09-29,-0.41127762
2023-09-30,-0.3860208
2023-10-01,-0.38390037
2023-10-02,-0.36680424
2023-10-03,-0.38115206
2023-10-04,-0.38827652
2023-10-05,-0.38365772
2023-10-06,-0.38473716
2023-10-07,-0.38093963
2023-10-08,-0.37884724
2023-10-09,-0.3726053
2023-10-10,-0.38189006
2023-10-11,-0.3829622
2023-10-12,-0.3730229
2023-10-13,-0.37937355
2023-10-14,-0.375085
2023-10-15,-0.3910983
2023-10-16,-0.3817068
2023-10-17,-0.3892561
2023-10-18,-0.3784572
2023-10-19,-0.41037074
2023-10-20,-0.39022434
2023-10-21,-0.3942136
2023-10-22,-0.40156925
2023-10-23,-0.3931697
2023-10-24,-0.38913456
2023-10-25,-0.37992617
2023-10-26,-0.4336519
2023-10-27,-0.39334834
2023-10-28,-0.38701048
2023-10-29,-0.3890499
2023-10-30,-0.4113116
2023-10-31,-0.42037177
2023-11-01,-0.41363087
2023-11-02,-0.4110317
2023-11-03,-0.4008028
2023-11-04,-0.40032765
2023-11-05,-0.401674
2023-11-06,-0.4089388
2023-11-07,-0.3907093
2023-11-08,-0.39022908
2023-11-09,-0.3554102
2023-11-10,-0.36187202
2023-11-11,-0.3572582
2023-11-12,-0.34548306
2023-11-13,-0.34963667
2023-11-14,-0.3640465
2023-11-15,-0.35301864
2023-11-16,-0.35959607
2023-11-17,-0.3509606
2023-11-18,-0.36429706
2023-11-19,-0.38364688
2023-11-20,-0.3765871
2023-11-21,-0.3746157
2023-11-22,-0.37373164
2023-11-23,-0.38276508
2023-11-24,-0.373778
2023-11-25,-0.37030467
2023-11-26,-0.36918625
2023-11-27,-0.36752743
2023-11-28,-0.37012362
2023-11-29,-0.38784686
2023-11-30,-0.38483498
2023-12-01,-0.38353005
2023-12-02,-0.37704185
2023-12-03,-0.3758726
2023-12-04,-0.38711604
2023-12-05,-0.38719058
2023-12-06,-0.36983556
2023-12-07,-0.3838663
2023-12-08,-0.3794353
2023-12-09,-0.3741172
2023-12-10,-0.3698645
2023-12-11,-0.36591476
2023-12-12,-0.36944482
2023-12-13,-0.36141372
2023-12-14,-0.35008252
2023-12-15,-0.37345645
2023-12-16,-0.3720032
2023-12-17,-0.36410055
2023-12-18,-0.36295068
2023-12-19,-0.32395622
2023-12-20,-0.32205832
2023-12-21,-0.3129324
2023-12-22,-0.32664043
2023-12-23,-0.32466906
2023-12-24,-0.3308252
2023-12-25,-0.31511527
2023-12-26,-0.32613704
2023-12-27,-0.32597995
2023-12-28,-0.32806668
