Date,Forecast
2023-05-03,-0.37257838
2023-05-04,-0.39522117
2023-05-05,-0.379444
2023-05-06,-0.37784332
2023-05-07,-0.38716522
2023-05-08,-0.37152573
2023-05-09,-0.38937837
2023-05-10,-0.37724668
2023-05-11,-0.36785585
2023-05-12,-0.37325493
2023-05-13,-0.32963833
2023-05-14,-0.33362088
2023-05-15,-0.3420631
2023-05-16,-0.340279
2023-05-17,-0.33622405
2023-05-18,-0.33029947
2023-05-19,-0.3313583
2023-05-20,-0.33053523
2023-05-21,-0.33891076
2023-05-22,-0.3333659
2023-05-23,-0.26262188
2023-05-24,-0.2576735
2023-05-25,-0.2535715
2023-05-26,-0.24424234
2023-05-27,-0.25042674
2023-05-28,-0.2754449
2023-05-29,-0.27123466
2023-05-30,-0.29142404
2023-05-31,-0.25810796
2023-06-01,-0.27481064
2023-06-02,-0.2627415
2023-06-03,-0.26172477
2023-06-04,-0.27457723
2023-06-05,-0.28632686
2023-06-06,-0.28978446
2023-06-07,-0.27241647
2023-06-08,-0.29765645
2023-06-09,-0.30566946
2023-06-10,-0.31739914
2023-06-11,-0.31230107
2023-06-12,-0.29247138
2023-06-13,-0.2914986
2023-06-14,-0.3002509
2023-06-15,-0.30648217
2023-06-16,-0.28996253
2023-06-17,-0.2991473
2023-06-18,-0.30002648
2023-06-19,-0.3045961
2023-06-20,-0.30002415
2023-06-21,-0.29484996
2023-06-22,-0.348234
2023-06-23,-0.34335086
2023-06-24,-0.34097022
2023-06-25,-0.35620895
2023-06-26,-0.3382887
2023-06-27,-0.35159197
2023-06-28,-0.34285823
2023-06-29,-0.3531183
2023-06-30,-0.34168205
2023-07-01,-0.33396965
2023-07-02,-0.31964228
2023-07-03,-0.33383715
2023-07-04,-0.32138625
2023-07-05,-0.31621858
2023-07-06,-0.31678495
2023-07-07,-0.31801578
2023-07-08,-0.31806582
2023-07-09,-0.31645703
2023-07-10,-0.3247248
2023-07-11,-0.31774133
2023-07-12,-0.3442846
2023-07-13,-0.35381055
2023-07-14,-0.33321464
2023-07-15,-0.34323552
2023-07-16,-0.33749363
2023-07-17,-0.34837997
2023-07-18,-0.33909202
2023-07-19,-0.3337177
2023-07-20,-0.33592868
2023-07-21,-0.34105384
2023-07-22,-0.33137897
2023-07-23,-0.34318602
2023-07-24,-0.32660466
2023-07-25,-0.3209206
2023-07-26,-0.3262321
2023-07-27,-0.32957885
2023-07-28,-0.32522514
2023-07-29,-0.33540863
2023-07-30,-0.3300687
2023-07-31,-0.33569282
2023-08-01,-0.38740075
2023-08-02,-0.39208946
2023-08-03,-0.3959893
2023-08-04,-0.4052071
2023-08-05,-0.4098652
2023-08-06,-0.4097049
2023-08-07,-0.40657932
2023-08-08,-0.4007762
2023-08-09,-0.41086578
2023-08-10,-0.40087643
2023-08-11,-0.3857395
2023-08-12,-0.37134665
2023-08-13,-0.37040928
2023-08-14,-0.3788485
2023-08-15,-0.37363026
2023-08-16,-0.3703089
2023-08-17,-0.36617038
2023-08-18,-0.3712754
2023-08-19,-0.376535
2023-08-20,-0.376696
2023-08-21,-0.3966436
2023-08-22,-0.40891322
2023-08-23,-0.4066608
2023-08-24,-0.417136
2023-08-25,-0.40439874
2023-08-26,-0.4112306
2023-08-27,-0.41169468
2023-08-28,-0.39007375
2023-08-29,-0.40749785
2023-08-30,-0.40326717
2023-08-31,-0.4447962
2023-09-01,-0.43837127
2023-09-02,-0.44992286
2023-09-03,-0.44853717
2023-09-04,-0.43946415
2023-09-05,-0.45306244
2023-09-06,-0.44804478
2023-09-07,-0.45372498
2023-09-08,-0.44232112
2023-09-09,-0.44680527
2023-09-10,-0.42750984
2023-09-11,-0.41971326
2023-09-12,-0.42366207
2023-09-13,-0.43511373
2023-09-14,-0.4184697
2023-09-15,-0.4283927
2023-09-16,-0.43806472
2023-09-17,-0.42080078
2023-09-18,-0.42904067
2023-09-19,-0.42952102
2023-09-20,-0.40935558
2023-09-21,-0.401186
2023-09-22,-0.40072578
2023-09-23,-0.4010502
2023-09-24,-0.41144714
2023-09-25,-0.39870957
2023-09-26,-0.39503494
2023-09-27,-0.41023803
2023-09-28,-0.38973293
2023-09-29,-0.40099868
2023-09-30,-0.38674232
2023-10-01,-0.39560002
2023-10-02,-0.37380043
2023-10-03,-0.38139066
2023-10-04,-0.38351834
2023-10-05,-0.38118148
2023-10-06,-0.37689438
2023-10-07,-0.37417448
2023-10-08,-0.3759464
2023-10-09,-0.39090386
2023-10-10,-0.39178082
2023-10-11,-0.3868273
2023-10-12,-0.38843456
2023-10-13,-0.4023218
2023-10-14,-0.39249778
2023-10-15,-0.39681798
2023-10-16,-0.380865
2023-10-17,-0.3937768
2023-10-18,-0.38119602
2023-10-19,-0.3788792
2023-10-20,-0.4035976
2023-10-21,-0.39728713
2023-10-22,-0.4061827
2023-10-23,-0.39243263
2023-10-24,-0.3968302
2023-10-25,-0.39332122
2023-10-26,-0.39535186
2023-10-27,-0.39306453
2023-10-28,-0.40039143
2023-10-29,-0.3921013
2023-10-30,-0.39868554
2023-10-31,-0.39989406
2023-11-01,-0.39575776
2023-11-02,-0.39321882
2023-11-03,-0.3944152
2023-11-04,-0.39053
2023-11-05,-0.39830983
2023-11-06,-0.38452363
2023-11-07,-0.37720013
2023-11-08,-0.39364585
2023-11-09,-0.35660085
2023-11-10,-0.36028266
2023-11-11,-0.35011518
2023-11-12,-0.35203582
2023-11-13,-0.3621224
2023-11-14,-0.34905282
2023-11-15,-0.36919242
2023-11-16,-0.35323045
2023-11-17,-0.35660067
2023-11-18,-0.36162087
2023-11-19,-0.3631037
2023-11-20,-0.34802395
2023-11-21,-0.3527456
2023-11-22,-0.35725063
2023-11-23,-0.35273474
2023-11-24,-0.3563141
2023-11-25,-0.34230337
2023-11-26,-0.34966165
2023-11-27,-0.35276818
2023-11-28,-0.34980655
