Date,Forecast
2023-05-03,-0.3817077
2023-05-04,-0.36563998
2023-05-05,-0.36569518
2023-05-06,-0.36476502
2023-05-07,-0.3615103
2023-05-08,-0.38082874
2023-05-09,-0.36047488
2023-05-10,-0.3698415
2023-05-11,-0.36216068
2023-05-12,-0.3739079
2023-05-13,-0.3362976
2023-05-14,-0.32256645
2023-05-15,-0.32188424
2023-05-16,-0.33376372
2023-05-17,-0.3376616
2023-05-18,-0.3248392
2023-05-19,-0.33741587
2023-05-20,-0.3333794
2023-05-21,-0.32782865
2023-05-22,-0.33057147
2023-05-23,-0.25604793
2023-05-24,-0.24217135
2023-05-25,-0.24402767
2023-05-26,-0.23765439
2023-05-27,-0.2529549
2023-05-28,-0.2632475
2023-05-29,-0.26723766
2023-05-30,-0.28033152
2023-05-31,-0.26726443
2023-06-01,-0.26659676
2023-06-02,-0.27475736
2023-06-03,-0.28483772
2023-06-04,-0.27260095
2023-06-05,-0.28959844
2023-06-06,-0.27396518
2023-06-07,-0.2767704
2023-06-08,-0.28469154
2023-06-09,-0.28212947
2023-06-10,-0.30293524
2023-06-11,-0.31038848
2023-06-12,-0.30927363
2023-06-13,-0.3049624
2023-06-14,-0.3053481
2023-06-15,-0.30851418
2023-06-16,-0.2997042
2023-06-17,-0.30080628
2023-06-18,-0.2977612
2023-06-19,-0.2923992
2023-06-20,-0.3198102
2023-06-21,-0.31136617
2023-06-22,-0.34226802
2023-06-23,-0.3483123
2023-06-24,-0.3455289
2023-06-25,-0.34568527
2023-06-26,-0.34680566
2023-06-27,-0.3373539
2023-06-28,-0.3348187
2023-06-29,-0.34321132
2023-06-30,-0.32736903
2023-07-01,-0.3461654
2023-07-02,-0.32816863
2023-07-03,-0.3172831
2023-07-04,-0.32053608
2023-07-05,-0.32001573
2023-07-06,-0.31495547
2023-07-07,-0.31982586
2023-07-08,-0.32351735
2023-07-09,-0.32082856
2023-07-10,-0.31664237
2023-07-11,-0.31349376
2023-07-12,-0.35521793
2023-07-13,-0.35298297
2023-07-14,-0.34909353
2023-07-15,-0.34617317
2023-07-16,-0.33748636
2023-07-17,-0.34613454
2023-07-18,-0.3450274
2023-07-19,-0.3454393
2023-07-20,-0.33199137
2023-07-21,-0.33606488
2023-07-22,-0.32960078
2023-07-23,-0.3370506
2023-07-24,-0.33041298
2023-07-25,-0.3400245
2023-07-26,-0.32082412
2023-07-27,-0.33312988
2023-07-28,-0.32392415
2023-07-29,-0.3282122
2023-07-30,-0.33233356
2023-07-31,-0.33020425
2023-08-01,-0.41292995
2023-08-02,-0.39865983
2023-08-03,-0.41240376
2023-08-04,-0.40465295
2023-08-05,-0.40561053
2023-08-06,-0.40489548
2023-08-07,-0.4094828
2023-08-08,-0.39891988
2023-08-09,-0.40896454
2023-08-10,-0.42263222
2023-08-11,-0.38799065
2023-08-12,-0.39400172
