Date,Forecast
2023-05-03,-0.36026973
2023-05-04,-0.36776814
2023-05-05,-0.37100413
2023-05-06,-0.37821636
2023-05-07,-0.37080783
2023-05-08,-0.36152798
2023-05-09,-0.36704543
2023-05-10,-0.366404
2023-05-11,-0.36603573
2023-05-12,-0.3591847
2023-05-13,-0.34755075
2023-05-14,-0.3385059
2023-05-15,-0.34213585
2023-05-16,-0.3345999
2023-05-17,-0.32823315
2023-05-18,-0.3302106
2023-05-19,-0.3327712
2023-05-20,-0.3358819
2023-05-21,-0.33810562
2023-05-22,-0.332877
2023-05-23,-0.2714844
2023-05-24,-0.25911373
2023-05-25,-0.25815973
2023-05-26,-0.26055068
2023-05-27,-0.27107427
2023-05-28,-0.3477465
2023-05-29,-0.2715183
2023-05-30,-0.272179
2023-05-31,-0.25145122
2023-06-01,-0.28774327
2023-06-02,-0.28532705
2023-06-03,-0.26919737
2023-06-04,-0.2872424
2023-06-05,-0.28517154
2023-06-06,-0.27257085
2023-06-07,-0.28040874
2023-06-08,-0.27188948
2023-06-09,-0.26907933
2023-06-10,-0.30143607
2023-06-11,-0.28479475
2023-06-12,-0.31171954
2023-06-13,-0.3085635
2023-06-14,-0.3052204
2023-06-15,-0.30451852
2023-06-16,-0.30153945
2023-06-17,-0.30463827
2023-06-18,-0.3121605
2023-06-19,-0.30138126
2023-06-20,-0.3092784
2023-06-21,-0.30370617
2023-06-22,-0.34052157
2023-06-23,-0.3493799
2023-06-24,-0.34976184
2023-06-25,-0.3437969
2023-06-26,-0.34141117
2023-06-27,-0.34559697
2023-06-28,-0.3457797
2023-06-29,-0.34701985
2023-06-30,-0.3428504
2023-07-01,-0.3383811
2023-07-02,-0.32986945
2023-07-03,-0.32272997
2023-07-04,-0.32970876
2023-07-05,-0.31770915
2023-07-06,-0.3185727
2023-07-07,-0.31127357
2023-07-08,-0.31323516
2023-07-09,-0.3343052
2023-07-10,-0.32243943
2023-07-11,-0.31271958
2023-07-12,-0.33528465
2023-07-13,-0.3434026
2023-07-14,-0.35204816
2023-07-15,-0.34598908
2023-07-16,-0.33812293
2023-07-17,-0.3465377
2023-07-18,-0.34106374
2023-07-19,-0.33923256
2023-07-20,-0.3389504
2023-07-21,-0.35269898
2023-07-22,-0.33199775
2023-07-23,-0.32925445
2023-07-24,-0.3277694
2023-07-25,-0.3379394
2023-07-26,-0.33696473
2023-07-27,-0.32850102
2023-07-28,-0.33459866
2023-07-29,-0.32308593
2023-07-30,-0.32093704
2023-07-31,-0.32498676
2023-08-01,-0.40565273
2023-08-02,-0.39691514
2023-08-03,-0.405382
2023-08-04,-0.39549515
2023-08-05,-0.40513152
2023-08-06,-0.40200382
2023-08-07,-0.39543605
2023-08-08,-0.3922265
2023-08-09,-0.40491676
2023-08-10,-0.3957466
2023-08-11,-0.38345227
2023-08-12,-0.37851134
2023-08-13,-0.36586383
2023-08-14,-0.3854768
2023-08-15,-0.37665296
2023-08-16,-0.36867574
2023-08-17,-0.36617148
2023-08-18,-0.3688089
2023-08-19,-0.36794895
2023-08-20,-0.37673655
2023-08-21,-0.40836406
2023-08-22,-0.40956897
2023-08-23,-0.40579838
2023-08-24,-0.40143016
2023-08-25,-0.3972481
2023-08-26,-0.40462285
2023-08-27,-0.40200981
2023-08-28,-0.39439803
