Date,Forecast
2023-05-03,-0.38024193
2023-05-04,-0.38248098
2023-05-05,-0.37715554
2023-05-06,-0.3749695
2023-05-07,-0.3820481
2023-05-08,-0.3742115
2023-05-09,-0.37744647
2023-05-10,-0.38425887
2023-05-11,-0.38282776
2023-05-12,-0.37815166
2023-05-13,-0.34281185
2023-05-14,-0.3369853
2023-05-15,-0.33235845
2023-05-16,-0.34224296
2023-05-17,-0.33924592
2023-05-18,-0.3395781
2023-05-19,-0.3352998
2023-05-20,-0.34025666
2023-05-21,-0.3410714
2023-05-22,-0.3260993
2023-05-23,-0.27783132
2023-05-24,-0.24735987
2023-05-25,-0.21943349
2023-05-26,-0.24467577
2023-05-27,-0.25655076
2023-05-28,-0.24741623
2023-05-29,-0.26863196
2023-05-30,-0.26909634
2023-05-31,-0.29953092
2023-06-01,-0.28660342
2023-06-02,-0.23589386
2023-06-03,-0.25565466
2023-06-04,-0.29171732
2023-06-05,-0.27555397
2023-06-06,-0.2801512
2023-06-07,-0.27195168
2023-06-08,-0.27858192
2023-06-09,-0.29649702
2023-06-10,-0.28363314
2023-06-11,-0.30691376
2023-06-12,-0.2983509
2023-06-13,-0.28747085
2023-06-14,-0.29789725
2023-06-15,-0.29949632
2023-06-16,-0.2988918
2023-06-17,-0.29828596
2023-06-18,-0.29869613
2023-06-19,-0.29929847
2023-06-20,-0.2979082
2023-06-21,-0.30402413
2023-06-22,-0.3435217
2023-06-23,-0.33996606
2023-06-24,-0.3409833
2023-06-25,-0.33871973
2023-06-26,-0.35636756
2023-06-27,-0.33752477
2023-06-28,-0.34987617
2023-06-29,-0.35120243
2023-06-30,-0.3413428
2023-07-01,-0.33247644
2023-07-02,-0.3242058
2023-07-03,-0.3125367
2023-07-04,-0.3181808
2023-07-05,-0.31683347
2023-07-06,-0.32205924
2023-07-07,-0.31898278
2023-07-08,-0.31402457
2023-07-09,-0.31750354
2023-07-10,-0.30998942
2023-07-11,-0.3222831
2023-07-12,-0.3305667
2023-07-13,-0.34203178
2023-07-14,-0.35067448
2023-07-15,-0.33562756
2023-07-16,-0.33818698
2023-07-17,-0.33824113
2023-07-18,-0.34724355
2023-07-19,-0.34029183
2023-07-20,-0.33605796
2023-07-21,-0.3440721
2023-07-22,-0.33448637
2023-07-23,-0.32704154
2023-07-24,-0.33130497
2023-07-25,-0.3295611
2023-07-26,-0.32169816
2023-07-27,-0.31790403
2023-07-28,-0.32750052
2023-07-29,-0.32655865
2023-07-30,-0.33327675
2023-07-31,-0.3383431
2023-08-01,-0.4111513
2023-08-02,-0.40297267
2023-08-03,-0.40699804
2023-08-04,-0.39253968
2023-08-05,-0.39234284
2023-08-06,-0.39423713
2023-08-07,-0.40280282
2023-08-08,-0.39454785
2023-08-09,-0.40727928
2023-08-10,-0.39389288
2023-08-11,-0.36492902
2023-08-12,-0.3752821
2023-08-13,-0.3731262
2023-08-14,-0.36484864
2023-08-15,-0.36643422
2023-08-16,-0.37162688
2023-08-17,-0.35617635
2023-08-18,-0.36946023
2023-08-19,-0.3656033
2023-08-20,-0.36904514
2023-08-21,-0.41040924
2023-08-22,-0.40211427
2023-08-23,-0.39890707
2023-08-24,-0.39340487
2023-08-25,-0.3985454
2023-08-26,-0.4001079
2023-08-27,-0.40363568
2023-08-28,-0.40321118
2023-08-29,-0.38604409
2023-08-30,-0.40955245
2023-08-31,-0.45049426
2023-09-01,-0.4464041
