Date,Forecast
2023-05-03,-0.37390766
2023-05-04,-0.36705258
2023-05-05,-0.3701329
2023-05-06,-0.36394805
2023-05-07,-0.3690538
2023-05-08,-0.37352687
2023-05-09,-0.37669823
2023-05-10,-0.36937138
2023-05-11,-0.36766148
2023-05-12,-0.3526671
2023-05-13,-0.3381126
2023-05-14,-0.34140956
2023-05-15,-0.33471832
2023-05-16,-0.33224362
2023-05-17,-0.34709442
2023-05-18,-0.334896
2023-05-19,-0.34331897
2023-05-20,-0.3400726
2023-05-21,-0.33177295
2023-05-22,-0.33720505
2023-05-23,-0.27205592
2023-05-24,-0.24944809
2023-05-25,-0.2574881
2023-05-26,-0.27806273
2023-05-27,-0.2703075
2023-05-28,-0.29681915
2023-05-29,-0.2800452
2023-05-30,-0.27460182
2023-05-31,-0.27120075
2023-06-01,-0.2773989
2023-06-02,-0.2683611
2023-06-03,-0.2670118
2023-06-04,-0.2860096
2023-06-05,-0.27402416
2023-06-06,-0.2857381
2023-06-07,-0.2733607
2023-06-08,-0.27417484
2023-06-09,-0.27295348
2023-06-10,-0.30100864
2023-06-11,-0.2952691
2023-06-12,-0.30177304
2023-06-13,-0.31019676
2023-06-14,-0.3092525
2023-06-15,-0.31611675
2023-06-16,-0.2988651
2023-06-17,-0.29585934
2023-06-18,-0.31123343
2023-06-19,-0.31098
2023-06-20,-0.30039108
2023-06-21,-0.31910905
2023-06-22,-0.3423444
2023-06-23,-0.3351352
2023-06-24,-0.33410254
2023-06-25,-0.3524131
2023-06-26,-0.34086075
2023-06-27,-0.3417267
2023-06-28,-0.3446104
2023-06-29,-0.33131766
2023-06-30,-0.34080413
2023-07-01,-0.3414943
2023-07-02,-0.32541326
2023-07-03,-0.32945997
2023-07-04,-0.33846742
2023-07-05,-0.31693986
2023-07-06,-0.31747243
2023-07-07,-0.3225144
2023-07-08,-0.31909966
2023-07-09,-0.32008678
2023-07-10,-0.3263849
2023-07-11,-0.32327095
2023-07-12,-0.3324675
2023-07-13,-0.343558
2023-07-14,-0.32242778
2023-07-15,-0.33705506
2023-07-16,-0.3337525
2023-07-17,-0.3358919
2023-07-18,-0.3494421
2023-07-19,-0.34588042
2023-07-20,-0.34095588
2023-07-21,-0.33342445
2023-07-22,-0.33048838
2023-07-23,-0.33816245
2023-07-24,-0.33093917
2023-07-25,-0.33623573
2023-07-26,-0.32300815
2023-07-27,-0.3312276
2023-07-28,-0.32561448
2023-07-29,-0.32035947
2023-07-30,-0.33078438
2023-07-31,-0.33588806
2023-08-01,-0.40051994
2023-08-02,-0.4007839
2023-08-03,-0.3918088
2023-08-04,-0.404414
2023-08-05,-0.40375146
2023-08-06,-0.40905544
2023-08-07,-0.4039808
2023-08-08,-0.41128713
2023-08-09,-0.40458637
2023-08-10,-0.40311417
2023-08-11,-0.38287422
2023-08-12,-0.38810045
2023-08-13,-0.3713907
2023-08-14,-0.39815763
2023-08-15,-0.3865258
2023-08-16,-0.38339818
2023-08-17,-0.38000938
2023-08-18,-0.39127663
2023-08-19,-0.37915775
2023-08-20,-0.36578
2023-08-21,-0.4191375
2023-08-22,-0.41448584
2023-08-23,-0.41045997
2023-08-24,-0.41689968
2023-08-25,-0.40556583
2023-08-26,-0.4116887
2023-08-27,-0.41395077
2023-08-28,-0.42237437
2023-08-29,-0.41511872
2023-08-30,-0.42103794
2023-08-31,-0.46988896
2023-09-01,-0.47691056
2023-09-02,-0.46595803
2023-09-03,-0.4720268
2023-09-04,-0.47155562
2023-09-05,-0.46145332
2023-09-06,-0.4735772
2023-09-07,-0.45458776
2023-09-08,-0.46220157
2023-09-09,-0.47542745
2023-09-10,-0.43359193
2023-09-11,-0.43808043
2023-09-12,-0.44640392
2023-09-13,-0.46104524
2023-09-14,-0.4411881
2023-09-15,-0.4442343
2023-09-16,-0.44677803
2023-09-17,-0.43366653
2023-09-18,-0.4286628
2023-09-19,-0.44486064
2023-09-20,-0.40756562
2023-09-21,-0.40919167
2023-09-22,-0.4101354
2023-09-23,-0.4028465
2023-09-24,-0.41184247
2023-09-25,-0.420915
2023-09-26,-0.40641594
2023-09-27,-0.41067314
2023-09-28,-0.40987536
2023-09-29,-0.4153245
2023-09-30,-0.39831865
2023-10-01,-0.38797387
2023-10-02,-0.39170173
2023-10-03,-0.38923827
2023-10-04,-0.3890563
2023-10-05,-0.3854776
2023-10-06,-0.38864514
2023-10-07,-0.38463187
2023-10-08,-0.38440174
2023-10-09,-0.40008205
2023-10-10,-0.4014164
2023-10-11,-0.3893976
2023-10-12,-0.39631054
2023-10-13,-0.3905512
2023-10-14,-0.39866856
2023-10-15,-0.40205878
2023-10-16,-0.39226028
2023-10-17,-0.39437297
2023-10-18,-0.4011989
2023-10-19,-0.40277207
2023-10-20,-0.41020942
2023-10-21,-0.3922281
2023-10-22,-0.40666318
2023-10-23,-0.39856493
2023-10-24,-0.39456326
2023-10-25,-0.40242916
2023-10-26,-0.3921483
2023-10-27,-0.39829108
2023-10-28,-0.40320992
2023-10-29,-0.39563283
2023-10-30,-0.39584327
2023-10-31,-0.39724973
2023-11-01,-0.3969296
2023-11-02,-0.38315463
2023-11-03,-0.39770758
2023-11-04,-0.3900844
2023-11-05,-0.40530986
2023-11-06,-0.40496102
2023-11-07,-0.39626983
2023-11-08,-0.39192623
2023-11-09,-0.35953906
2023-11-10,-0.3515398
2023-11-11,-0.36288488
2023-11-12,-0.35743833
2023-11-13,-0.36065117
2023-11-14,-0.3585837
2023-11-15,-0.34910554
2023-11-16,-0.34881595
2023-11-17,-0.3565418
2023-11-18,-0.35900652
2023-11-19,-0.35836005
2023-11-20,-0.3565613
2023-11-21,-0.35860085
2023-11-22,-0.35816136
2023-11-23,-0.36167407
2023-11-24,-0.35105348
2023-11-25,-0.35553432
2023-11-26,-0.37460017
2023-11-27,-0.35777137
2023-11-28,-0.3541332
2023-11-29,-0.3605141
2023-11-30,-0.36240822
2023-12-01,-0.36577702
2023-12-02,-0.36927533
2023-12-03,-0.38094088
2023-12-04,-0.3664099
2023-12-05,-0.3671756
2023-12-06,-0.3720105
2023-12-07,-0.36168185
2023-12-08,-0.36518067
2023-12-09,-0.36840358
2023-12-10,-0.35834107
2023-12-11,-0.3541464
2023-12-12,-0.35460925
2023-12-13,-0.35664326
2023-12-14,-0.3580349
2023-12-15,-0.36044875
2023-12-16,-0.35448813
2023-12-17,-0.3530679
2023-12-18,-0.34940174
2023-12-19,-0.33359027
2023-12-20,-0.32078144
2023-12-21,-0.3237401
2023-12-22,-0.32827827
2023-12-23,-0.31347522
2023-12-24,-0.31302312
2023-12-25,-0.32920316
2023-12-26,-0.31991562
2023-12-27,-0.3206686
2023-12-28,-0.32355744
