Date,Forecast
2023-05-03,-0.3882482
2023-05-04,-0.36851197
2023-05-05,-0.37436458
2023-05-06,-0.36881202
2023-05-07,-0.37179393
2023-05-08,-0.37019882
2023-05-09,-0.3676651
2023-05-10,-0.3722804
2023-05-11,-0.378974
2023-05-12,-0.38665947
2023-05-13,-0.3349183
2023-05-14,-0.3319775
2023-05-15,-0.33181173
2023-05-16,-0.3260185
2023-05-17,-0.33888793
2023-05-18,-0.32784542
2023-05-19,-0.33034158
2023-05-20,-0.33521694
2023-05-21,-0.33261776
2023-05-22,-0.3299513
2023-05-23,-0.26539698
2023-05-24,-0.25628024
2023-05-25,-0.2664971
2023-05-26,-0.25241616
2023-05-27,-0.24204004
2023-05-28,-0.25243798
2023-05-29,-0.26440164
2023-05-30,-0.2729193
2023-05-31,-0.26202407
2023-06-01,-0.26952475
2023-06-02,-0.25195345
2023-06-03,-0.2639506
2023-06-04,-0.29825562
2023-06-05,-0.2828475
2023-06-06,-0.28552622
2023-06-07,-0.285784
2023-06-08,-0.28792593
2023-06-09,-0.30830094
2023-06-10,-0.30915955
2023-06-11,-0.29745752
2023-06-12,-0.30154625
2023-06-13,-0.2874295
2023-06-14,-0.29822358
2023-06-15,-0.30044785
2023-06-16,-0.3015353
2023-06-17,-0.30007663
2023-06-18,-0.29362786
2023-06-19,-0.3043218
2023-06-20,-0.29089317
2023-06-21,-0.30095643
2023-06-22,-0.34386313
2023-06-23,-0.3425436
2023-06-24,-0.34085408
2023-06-25,-0.343803
2023-06-26,-0.34038472
2023-06-27,-0.3426853
2023-06-28,-0.3396623
2023-06-29,-0.3410347
2023-06-30,-0.35142615
2023-07-01,-0.3456625
2023-07-02,-0.31901363
2023-07-03,-0.31113854
2023-07-04,-0.310345
2023-07-05,-0.31339023
2023-07-06,-0.32131472
2023-07-07,-0.31959218
2023-07-08,-0.3327728
2023-07-09,-0.32174748
2023-07-10,-0.3174848
2023-07-11,-0.32102343
2023-07-12,-0.34347877
2023-07-13,-0.34703314
2023-07-14,-0.34291297
2023-07-15,-0.35121667
2023-07-16,-0.34247294
2023-07-17,-0.33066273
2023-07-18,-0.33454236
2023-07-19,-0.3368529
2023-07-20,-0.33037767
2023-07-21,-0.3360511
2023-07-22,-0.33421943
2023-07-23,-0.3240796
2023-07-24,-0.33383673
2023-07-25,-0.33681804
2023-07-26,-0.32369176
2023-07-27,-0.32941228
2023-07-28,-0.33097
2023-07-29,-0.32910702
2023-07-30,-0.31415215
2023-07-31,-0.32239372
2023-08-01,-0.39819813
2023-08-02,-0.4015627
2023-08-03,-0.41658154
2023-08-04,-0.40959322
2023-08-05,-0.40150353
2023-08-06,-0.4028037
2023-08-07,-0.39946568
2023-08-08,-0.40507644
2023-08-09,-0.4059093
2023-08-10,-0.40533558
2023-08-11,-0.37303814
2023-08-12,-0.3744395
2023-08-13,-0.38230905
2023-08-14,-0.36616403
2023-08-15,-0.38787565
2023-08-16,-0.3656305
2023-08-17,-0.3844991
2023-08-18,-0.37917528
2023-08-19,-0.3727199
2023-08-20,-0.36837465
2023-08-21,-0.4035102
2023-08-22,-0.41733897
2023-08-23,-0.3999525
2023-08-24,-0.40323412
2023-08-25,-0.40201348
2023-08-26,-0.39392817
2023-08-27,-0.39753842
2023-08-28,-0.4024738
2023-08-29,-0.39199683
2023-08-30,-0.40286887
2023-08-31,-0.44827774
2023-09-01,-0.4520691
2023-09-02,-0.45356673
2023-09-03,-0.46387437
2023-09-04,-0.44613278
2023-09-05,-0.44863963
2023-09-06,-0.44665298
2023-09-07,-0.44667953
2023-09-08,-0.44403896
2023-09-09,-0.43721032
2023-09-10,-0.42594975
2023-09-11,-0.42187837
2023-09-12,-0.42551655
2023-09-13,-0.4218627
2023-09-14,-0.42690316
2023-09-15,-0.43034977
2023-09-16,-0.43074444
2023-09-17,-0.42861828
2023-09-18,-0.4342263
2023-09-19,-0.43110114
2023-09-20,-0.39555585
2023-09-21,-0.382229
2023-09-22,-0.3786997
2023-09-23,-0.38887882
2023-09-24,-0.40853313
2023-09-25,-0.3968059
2023-09-26,-0.39872727
2023-09-27,-0.39404076
2023-09-28,-0.39822757
2023-09-29,-0.3912133
2023-09-30,-0.38566968
2023-10-01,-0.3869993
2023-10-02,-0.38178998
2023-10-03,-0.37710202
2023-10-04,-0.3253296
2023-10-05,-0.37087452
2023-10-06,-0.38995373
2023-10-07,-0.36950317
2023-10-08,-0.3741664
2023-10-09,-0.3732679
2023-10-10,-0.39932647
2023-10-11,-0.3886205
2023-10-12,-0.3960722
2023-10-13,-0.39057434
2023-10-14,-0.39292675
2023-10-15,-0.3913934
2023-10-16,-0.382552
2023-10-17,-0.3968449
2023-10-18,-0.3757909
2023-10-19,-0.3887708
2023-10-20,-0.39533752
2023-10-21,-0.39947307
2023-10-22,-0.40644845
2023-10-23,-0.4079045
2023-10-24,-0.39060888
2023-10-25,-0.38829082
2023-10-26,-0.3906022
2023-10-27,-0.3898287
2023-10-28,-0.3842742
2023-10-29,-0.3992104
2023-10-30,-0.3897573
2023-10-31,-0.39894825
2023-11-01,-0.38748065
2023-11-02,-0.40001926
2023-11-03,-0.39124572
2023-11-04,-0.39793357
2023-11-05,-0.37937382
2023-11-06,-0.39308366
2023-11-07,-0.4012967
2023-11-08,-0.3981632
2023-11-09,-0.3532982
2023-11-10,-0.35069335
2023-11-11,-0.3588467
2023-11-12,-0.3498787
2023-11-13,-0.34214303
2023-11-14,-0.34635788
2023-11-15,-0.35063413
2023-11-16,-0.33854747
2023-11-17,-0.3524293
2023-11-18,-0.36331698
2023-11-19,-0.34918037
2023-11-20,-0.36742145
2023-11-21,-0.36594903
2023-11-22,-0.35554236
2023-11-23,-0.36291832
2023-11-24,-0.34608543
2023-11-25,-0.3686736
2023-11-26,-0.35449407
2023-11-27,-0.34266973
2023-11-28,-0.33699992
2023-11-29,-0.3542602
2023-11-30,-0.36246186
2023-12-01,-0.36616683
2023-12-02,-0.34967318
2023-12-03,-0.36433905
2023-12-04,-0.36171794
2023-12-05,-0.35368827
2023-12-06,-0.3495793
2023-12-07,-0.36481163
2023-12-08,-0.35537884
2023-12-09,-0.3469639
2023-12-10,-0.3503791
2023-12-11,-0.35283577
2023-12-12,-0.35440102
2023-12-13,-0.34658927
2023-12-14,-0.34991768
2023-12-15,-0.34588087
2023-12-16,-0.3562976
2023-12-17,-0.35022944
2023-12-18,-0.35355878
2023-12-19,-0.32310855
2023-12-20,-0.3222942
2023-12-21,-0.31520322
2023-12-22,-0.3226947
2023-12-23,-0.32007354
2023-12-24,-0.31356603
2023-12-25,-0.32403877
2023-12-26,-0.31089813
2023-12-27,-0.32294407
2023-12-28,-0.31627488
