Date,Forecast
2023-05-03,-0.37206784
2023-05-04,-0.36957526
2023-05-05,-0.36398837
2023-05-06,-0.36814544
2023-05-07,-0.36147827
2023-05-08,-0.37051556
2023-05-09,-0.36553207
2023-05-10,-0.3710036
2023-05-11,-0.37257594
2023-05-12,-0.36194694
2023-05-13,-0.3300206
2023-05-14,-0.32646787
2023-05-15,-0.33694622
2023-05-16,-0.33271807
2023-05-17,-0.326683
2023-05-18,-0.323559
2023-05-19,-0.28028777
2023-05-20,-0.32161218
2023-05-21,-0.32997978
2023-05-22,-0.33577305
2023-05-23,-0.25696754
2023-05-24,-0.2634986
2023-05-25,-0.24933174
2023-05-26,-0.24872433
2023-05-27,-0.26233724
2023-05-28,-0.27051616
2023-05-29,-0.2501853
2023-05-30,-0.26459664
2023-05-31,-0.26616448
2023-06-01,-0.261549
2023-06-02,-0.28191555
2023-06-03,-0.27366692
2023-06-04,-0.2824367
2023-06-05,-0.28295594
2023-06-06,-0.27856684
2023-06-07,-0.26356715
2023-06-08,-0.27886456
2023-06-09,-0.28493065
2023-06-10,-0.2812492
2023-06-11,-0.29811004
2023-06-12,-0.31177557
2023-06-13,-0.30930093
2023-06-14,-0.31328994
2023-06-15,-0.30373654
2023-06-16,-0.30539468
2023-06-17,-0.31143445
2023-06-18,-0.3112775
2023-06-19,-0.30815387
2023-06-20,-0.30118313
2023-06-21,-0.30218637
2023-06-22,-0.34329388
2023-06-23,-0.3402343
2023-06-24,-0.3394685
2023-06-25,-0.34739766
2023-06-26,-0.3474648
2023-06-27,-0.32812142
2023-06-28,-0.33396617
2023-06-29,-0.3436514
2023-06-30,-0.34590012
2023-07-01,-0.34330502
2023-07-02,-0.32076955
2023-07-03,-0.32433185
2023-07-04,-0.31602716
2023-07-05,-0.3247863
2023-07-06,-0.3222987
2023-07-07,-0.32160538
2023-07-08,-0.32249558
2023-07-09,-0.31886294
2023-07-10,-0.3147025
2023-07-11,-0.3163809
2023-07-12,-0.34716725
2023-07-13,-0.3407111
2023-07-14,-0.33313057
2023-07-15,-0.3398567
2023-07-16,-0.34038076
2023-07-17,-0.34739295
2023-07-18,-0.3219501
2023-07-19,-0.3375367
2023-07-20,-0.32992843
2023-07-21,-0.34130615
2023-07-22,-0.32423046
2023-07-23,-0.34098554
2023-07-24,-0.33940715
2023-07-25,-0.32485783
2023-07-26,-0.33665088
2023-07-27,-0.33120617
2023-07-28,-0.32300946
2023-07-29,-0.32727015
2023-07-30,-0.3311573
2023-07-31,-0.33324596
2023-08-01,-0.42063928
2023-08-02,-0.40561616
2023-08-03,-0.40803623
2023-08-04,-0.39257622
2023-08-05,-0.40973714
2023-08-06,-0.40300247
2023-08-07,-0.40723136
2023-08-08,-0.40267798
2023-08-09,-0.3947201
2023-08-10,-0.4060988
2023-08-11,-0.3836185
2023-08-12,-0.37682584
2023-08-13,-0.37970492
2023-08-14,-0.3714373
2023-08-15,-0.38469166
2023-08-16,-0.3716519
2023-08-17,-0.37642774
2023-08-18,-0.37703472
2023-08-19,-0.3849576
2023-08-20,-0.3756518
2023-08-21,-0.41370094
2023-08-22,-0.3919107
2023-08-23,-0.41271824
2023-08-24,-0.4126699
2023-08-25,-0.42245448
2023-08-26,-0.40505096
2023-08-27,-0.40423408
2023-08-28,-0.41271552
2023-08-29,-0.40857127
2023-08-30,-0.41125867
2023-08-31,-0.46457046
2023-09-01,-0.45620927
2023-09-02,-0.45926693
2023-09-03,-0.46609592
2023-09-04,-0.45462933
2023-09-05,-0.46278137
2023-09-06,-0.4580889
2023-09-07,-0.45762217
2023-09-08,-0.45438886
2023-09-09,-0.46429864
2023-09-10,-0.4299255
2023-09-11,-0.42424443
2023-09-12,-0.42545116
2023-09-13,-0.42650735
2023-09-14,-0.4321097
2023-09-15,-0.42374203
2023-09-16,-0.4348602
2023-09-17,-0.4281192
2023-09-18,-0.4334113
2023-09-19,-0.4283637
2023-09-20,-0.39693034
2023-09-21,-0.4011215
2023-09-22,-0.394945
2023-09-23,-0.3886467
2023-09-24,-0.38913494
2023-09-25,-0.3869178
2023-09-26,-0.40569875
2023-09-27,-0.39214015
2023-09-28,-0.39700192
2023-09-29,-0.39321315
2023-09-30,-0.38075444
2023-10-01,-0.38279474
2023-10-02,-0.37978354
2023-10-03,-0.38271496
2023-10-04,-0.37707087
2023-10-05,-0.3838572
2023-10-06,-0.3744954
2023-10-07,-0.38487035
2023-10-08,-0.3570158
2023-10-09,-0.3912307
2023-10-10,-0.38539132
2023-10-11,-0.39623332
2023-10-12,-0.3873708
2023-10-13,-0.3830901
2023-10-14,-0.3952911
2023-10-15,-0.3842983
2023-10-16,-0.3917724
2023-10-17,-0.38516048
2023-10-18,-0.38528007
2023-10-19,-0.3915018
2023-10-20,-0.3904868
2023-10-21,-0.3865568
2023-10-22,-0.39762086
2023-10-23,-0.39652115
2023-10-24,-0.38406083
2023-10-25,-0.38134414
2023-10-26,-0.37712106
2023-10-27,-0.39865756
2023-10-28,-0.40085667
2023-10-29,-0.38678586
2023-10-30,-0.39047745
2023-10-31,-0.3810162
2023-11-01,-0.39962208
2023-11-02,-0.37632906
2023-11-03,-0.37015897
2023-11-04,-0.37923992
2023-11-05,-0.38029492
2023-11-06,-0.38773078
2023-11-07,-0.38194084
2023-11-08,-0.39397767
2023-11-09,-0.35030478
2023-11-10,-0.35764045
2023-11-11,-0.34361416
2023-11-12,-0.35625744
2023-11-13,-0.3525318
2023-11-14,-0.34454978
2023-11-15,-0.34334716
2023-11-16,-0.3490486
2023-11-17,-0.35563618
2023-11-18,-0.36249405
2023-11-19,-0.3490594
2023-11-20,-0.36033207
2023-11-21,-0.34961852
2023-11-22,-0.34402877
2023-11-23,-0.3455458
2023-11-24,-0.3485699
2023-11-25,-0.3555341
2023-11-26,-0.34745568
2023-11-27,-0.34616578
2023-11-28,-0.34919026
2023-11-29,-0.36605823
2023-11-30,-0.36978173
2023-12-01,-0.36416417
2023-12-02,-0.3585759
2023-12-03,-0.35212404
2023-12-04,-0.36396357
2023-12-05,-0.37326396
2023-12-06,-0.37132126
2023-12-07,-0.3732313
2023-12-08,-0.35169175
2023-12-09,-0.3566761
2023-12-10,-0.34554535
2023-12-11,-0.3606349
2023-12-12,-0.3465473
2023-12-13,-0.35536304
2023-12-14,-0.35248372
2023-12-15,-0.3530048
2023-12-16,-0.3577764
2023-12-17,-0.35240504
2023-12-18,-0.35606885
2023-12-19,-0.32065946
2023-12-20,-0.3201534
2023-12-21,-0.32596987
2023-12-22,-0.32326022
2023-12-23,-0.32002312
2023-12-24,-0.3135347
2023-12-25,-0.31817818
2023-12-26,-0.32992443
2023-12-27,-0.32317296
2023-12-28,-0.32474792
